POW_SA2_CODE_2021,Mng_NNI_A_15_19,Mng_NNI_A_20_24,Mng_NNI_A_25_34,Mng_NNI_A_35_44,Mng_NNI_A_45_54,Mng_NNI_A_55_64,Mng_NNI_A_65_74,Mng_NNI_A_75ov,Mng_NNI_Tot,Mng_1_149_A_15_19,Mng_1_149_A_20_24,Mng_1_149_A_25_34,Mng_1_149_A_35_44,Mng_1_149_A_45_54,Mng_1_149_A_55_64,Mng_1_149_A_65_74,Mng_1_149_A_75ov,Mng_1_149_Tot,Mng_150_299_A_15_19,Mng_150_299_A_20_24,Mng_150_299_A_25_34,Mng_150_299_A_35_44,Mng_150_299_A_45_54,Mng_150_299_A_55_64,Mng_150_299_A_65_74,Mng_150_299_A_75ov,Mng_150_299_Tot,Mng_300_399_A_15_19,Mng_300_399_A_20_24,Mng_300_399_A_25_34,Mng_300_399_A_35_44,Mng_300_399_A_45_54,Mng_300_399_A_55_64,Mng_300_399_A_65_74,Mng_300_399_A_75ov,Mng_300_399_Tot,Mng_400_499_A_15_19,Mng_400_499_A_20_24,Mng_400_499_A_25_34,Mng_400_499_A_35_44,Mng_400_499_A_45_54,Mng_400_499_A_55_64,Mng_400_499_A_65_74,Mng_400_499_A_75ov,Mng_400_499_Tot,Mng_500_649_A_15_19,Mng_500_649_A_20_24,Mng_500_649_A_25_34,Mng_500_649_A_35_44,Mng_500_649_A_45_54,Mng_500_649_A_55_64,Mng_500_649_A_65_74,Mng_500_649_A_75ov,Mng_500_649_Tot,Mng_650_799_A_15_19,Mng_650_799_A_20_24,Mng_650_799_A_25_34,Mng_650_799_A_35_44,Mng_650_799_A_45_54,Mng_650_799_A_55_64,Mng_650_799_A_65_74,Mng_650_799_A_75ov,Mng_650_799_Tot,Mng_800_999_A_15_19,Mng_800_999_A_20_24,Mng_800_999_A_25_34,Mng_800_999_A_35_44,Mng_800_999_A_45_54,Mng_800_999_A_55_64,Mng_800_999_A_65_74,Mng_800_999_A_75ov,Mng_800_999_Tot,Mng_1000_1249_A_15_19,Mng_1000_1249_A_20_24,Mng_1000_1249_A_25_34,Mng_1000_1249_A_35_44,Mng_1000_1249_A_45_54,Mng_1000_1249_A_55_64,Mng_1000_1249_A_65_74,Mng_1000_1249_A_75ov,Mng_1000_1249_Tot,Mng_1250_1499_A_15_19,Mng_1250_1499_A_20_24,Mng_1250_1499_A_25_34,Mng_1250_1499_A_35_44,Mng_1250_1499_A_45_54,Mng_1250_1499_A_55_64,Mng_1250_1499_A_65_74,Mng_1250_1499_A_75ov,Mng_1250_1499_Tot,Mng_1500_1749_A_15_19,Mng_1500_1749_A_20_24,Mng_1500_1749_A_25_34,Mng_1500_1749_A_35_44,Mng_1500_1749_A_45_54,Mng_1500_1749_A_55_64,Mng_1500_1749_A_65_74,Mng_1500_1749_A_75ov,Mng_1500_1749_Tot,Mng_1750_1999_A_15_19,Mng_1750_1999_A_20_24,Mng_1750_1999_A_25_34,Mng_1750_1999_A_35_44,Mng_1750_1999_A_45_54,Mng_1750_1999_A_55_64,Mng_1750_1999_A_65_74,Mng_1750_1999_A_75ov,Mng_1750_1999_Tot,Mng_2000_2999_A_15_19,Mng_2000_2999_A_20_24,Mng_2000_2999_A_25_34,Mng_2000_2999_A_35_44,Mng_2000_2999_A_45_54,Mng_2000_2999_A_55_64,Mng_2000_2999_A_65_74,Mng_2000_2999_A_75ov,Mng_2000_2999_Tot,Mng_3000_3499_A_15_19,Mng_3000_3499_A_20_24,Mng_3000_3499_A_25_34,Mng_3000_3499_A_35_44,Mng_3000_3499_A_45_54,Mng_3000_3499_A_55_64,Mng_3000_3499_A_65_74,Mng_3000_3499_A_75ov,Mng_3000_3499_Tot,Mng_3500mo_A_15_19,Mng_3500mo_A_20_24,Mng_3500mo_A_25_34,Mng_3500mo_A_35_44,Mng_3500mo_A_45_54,Mng_3500mo_A_55_64,Mng_3500mo_A_65_74,Mng_3500mo_A_75ov,Mng_3500mo_Tot,Mng_PINS_A_15_19,Mng_PINS_A_20_24,Mng_PINS_A_25_34,Mng_PINS_A_35_44,Mng_PINS_A_45_54,Mng_PINS_A_55_64,Mng_PINS_A_65_74,Mng_PINS_A_75ov,Mng_PINS_Tot,Mng_Tot_A_15_19,Mng_Tot_A_20_24,Mng_Tot_A_25_34,Mng_Tot_A_35_44,Mng_Tot_A_45_54,Mng_Tot_A_55_64,Mng_Tot_A_65_74,Mng_Tot_A_75ov,Mng_Tot_Tot,Pro_NNI_A_15_19,Pro_NNI_A_20_24,Pro_NNI_A_25_34,Pro_NNI_A_35_44,Pro_NNI_A_45_54,Pro_NNI_A_55_64,Pro_NNI_A_65_74,Pro_NNI_A_75ov,Pro_NNI_Tot,Pro_1_149_A_15_19,Pro_1_149_A_20_24,Pro_1_149_A_25_34,Pro_1_149_A_35_44,Pro_1_149_A_45_54,Pro_1_149_A_55_64,Pro_1_149_A_65_74,Pro_1_149_A_75ov,Pro_1_149_Tot,Pro_150_299_A_15_19,Pro_150_299_A_20_24,Pro_150_299_A_25_34,Pro_150_299_A_35_44,Pro_150_299_A_45_54,Pro_150_299_A_55_64,Pro_150_299_A_65_74,Pro_150_299_A_75ov,Pro_150_299_Tot,Pro_300_399_A_15_19,Pro_300_399_A_20_24,Pro_300_399_A_25_34,Pro_300_399_A_35_44,Pro_300_399_A_45_54,Pro_300_399_A_55_64,Pro_300_399_A_65_74,Pro_300_399_A_75ov,Pro_300_399_Tot,Pro_400_499_A_15_19,Pro_400_499_A_20_24,Pro_400_499_A_25_34,Pro_400_499_A_35_44,Pro_400_499_A_45_54,Pro_400_499_A_55_64,Pro_400_499_A_65_74,Pro_400_499_A_75ov,Pro_400_499_Tot,Pro_500_649_A_15_19,Pro_500_649_A_20_24
308031214,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,3,3,4,0,0,0,0,0,5,0,4,0,0,6,0,0,0,12,0,6,4,11,3,0,0,0,26,0,6,14,8,4,9,0,0,43,0,4,25,21,13,11,3,0,79,0,0,13,7,13,6,0,0,45,0,0,10,13,14,16,0,0,52,0,0,4,4,3,6,0,0,22,0,0,10,21,25,25,0,0,79,0,0,0,0,8,3,0,0,13,0,0,0,5,6,5,6,0,21,0,0,0,0,0,0,0,0,0,8,20,96,97,101,73,22,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0
308031215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,3,0,3,0,6,5,4,0,0,15,0,0,3,0,0,0,0,0,10,0,5,9,3,5,5,0,0,25,0,0,9,26,6,10,0,0,55,0,0,19,7,12,12,4,0,49,0,0,10,24,17,12,5,0,62,0,0,0,9,17,7,7,0,41,0,0,15,35,39,32,0,0,127,0,0,0,15,8,8,0,0,30,0,0,5,13,23,8,0,0,48,0,0,0,0,6,0,0,0,10,0,9,72,131,147,111,20,0,490,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,4,4,0,3,0,0,12,0,0,0,0,0,0,5,0,6,0,0
308031216,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,7,0,0,0,10,0,3,4,0,4,0,0,0,10,0,0,5,0,6,0,0,0,10,0,0,5,4,4,5,0,0,17,0,0,3,0,6,5,0,0,13,0,0,5,4,4,3,0,0,15,0,0,3,9,17,4,0,0,34,0,0,0,3,0,0,0,0,9,0,0,0,0,4,5,0,0,4,0,0,0,0,0,0,0,0,0,0,10,20,28,50,31,5,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
308031217,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,6,0,3,4,0,0,13,0,0,0,0,3,4,0,0,18,0,0,15,7,15,10,8,0,47,0,11,19,12,12,9,3,0,58,0,11,27,27,21,10,0,0,106,0,4,27,26,25,19,0,0,108,0,0,20,21,28,24,0,0,96,0,0,21,18,31,23,8,0,104,0,5,26,53,68,57,15,0,219,0,0,3,15,27,19,3,3,71,0,0,7,24,26,24,4,0,83,0,0,0,0,0,0,0,4,11,3,29,176,207,262,208,41,13,940,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,3,4,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,8,0,0,3,0,3,4,0,0,13,0,0
308031218,0,0,0,0,3,5,6,0,10,4,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,10,0,0,0,0,0,0,0,0,5,0,0,4,3,5,5,0,0,15,0,0,0,5,0,0,4,0,13,0,0,0,3,5,5,4,0,22,0,0,8,0,4,0,0,0,16,0,0,0,0,4,0,0,0,10,0,0,0,0,6,4,0,0,13,0,0,0,4,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,16,17,33,28,23,14,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
308031219,0,0,0,4,9,13,3,0,34,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,5,0,0,7,3,26,0,0,0,3,0,9,3,0,16,0,0,3,7,0,8,0,0,14,0,0,0,7,0,7,0,0,19,0,0,3,0,3,12,10,0,32,0,0,0,8,0,16,11,0,38,0,0,3,9,8,6,6,0,25,0,0,3,4,0,8,0,0,16,0,0,4,0,3,0,3,0,7,0,0,6,5,12,3,7,0,25,0,0,0,7,0,3,4,0,8,0,0,0,4,0,8,3,0,15,0,0,0,0,5,0,9,0,13,0,0,30,59,52,85,66,20,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0
308031220,0,0,0,4,0,6,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,0,0,0,0,0,0,7,0,8,0,0,0,3,0,0,0,3,8,0,0,0,0,4,4,3,0,17,0,0,0,3,4,4,7,0,14,0,0,3,3,3,10,10,0,26,0,0,0,5,3,0,0,0,16,0,0,0,0,0,0,0,0,10,0,0,0,5,3,4,0,0,16,0,0,0,0,0,5,3,0,12,0,0,4,12,8,4,3,6,25,0,0,0,3,0,9,3,0,20,0,0,0,4,10,10,9,0,33,0,0,0,0,0,6,4,3,10,0,4,17,45,43,61,58,19,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308031221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308031222,0,0,0,0,3,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,5,0,17,0,0,4,5,3,0,0,0,16,0,0,3,6,8,3,3,0,28,0,4,10,12,11,11,4,0,50,0,5,6,9,10,8,0,0,35,0,0,3,9,15,6,0,0,35,0,0,10,4,12,7,0,0,32,0,0,3,26,38,17,0,0,94,0,0,0,4,3,4,0,0,14,0,0,0,0,8,8,4,0,24,0,0,0,0,0,0,0,0,0,5,8,37,76,127,83,26,7,363,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,3,0,0,4,0,0,3,3,0,6,0,3,5,0,0,3,6,0,19,0,0
308031223,0,0,0,5,0,0,0,0,3,4,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,4,0,5,4,0,4,3,3,0,23,4,0,0,4,9,5,0,0,24,4,11,3,10,3,3,6,0,37,0,9,17,23,15,11,5,3,80,0,0,27,14,22,22,4,0,89,0,0,16,6,12,13,4,0,58,0,0,12,10,21,15,0,0,59,0,0,6,10,15,8,3,0,46,0,0,9,21,35,24,0,0,85,0,0,0,12,8,8,0,0,29,0,0,0,10,17,5,0,0,32,0,0,0,4,0,0,0,0,5,10,23,97,127,164,128,30,6,588,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,3,0,3,0,0,0,0,13,3,0,0,3,9,10,5,0,29,0,0,6,6,4,3,6,0,20,0,4
