POW_SA2_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
308051537,0,0,0,49,46,0,0,0,0,46,38,0,0,0,0,38,38,0,0,0,0,49,17,0,0,0,0,20,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,337,14,9,5,5,362
308051538,6,0,0,95,85,3,9,4,0,102,78,11,10,0,0,102,60,0,10,0,0,77,49,0,10,0,0,59,14,0,0,0,0,20,3,0,0,0,0,7,0,0,0,0,0,6,757,41,79,7,5,878
308051539,6,0,0,255,292,13,9,0,0,324,299,7,13,0,0,314,253,16,6,5,0,280,157,0,6,3,0,168,40,8,11,0,0,56,13,0,0,0,0,14,0,0,3,0,0,10,2820,63,85,22,17,3003
309011224,30,11,0,312,217,71,42,9,4,348,249,57,25,9,3,348,198,43,32,11,0,286,156,30,21,9,0,219,88,25,18,3,0,138,29,12,4,16,0,56,8,4,3,3,0,18,3700,388,277,90,22,4469
309011225,100,8,14,1349,1034,262,112,18,8,1439,911,223,105,20,9,1268,769,197,86,18,7,1075,560,131,95,14,5,807,233,80,52,16,4,389,82,36,19,10,3,150,22,20,17,6,3,65,10995,1644,913,153,75,13783
309011226,51,10,0,466,327,65,80,10,0,485,303,61,50,8,4,422,216,46,35,4,0,307,198,32,37,7,0,270,88,22,18,0,0,119,35,12,11,4,0,58,11,3,0,8,0,20,3552,451,424,65,21,4517
309011227,73,7,6,1007,805,122,83,17,7,1031,738,119,65,18,4,946,560,97,68,8,11,742,380,81,60,12,0,534,171,43,38,13,3,268,77,32,24,8,0,142,21,16,10,15,7,66,8754,917,679,134,58,10548
309011228,52,10,3,298,173,60,59,5,4,301,171,51,52,6,0,279,152,39,42,8,6,249,105,41,25,3,0,171,37,21,29,7,7,94,36,9,15,8,0,66,5,8,8,7,0,25,2029,390,400,69,24,2912
309011229,37,3,0,303,180,60,48,5,4,292,192,48,31,6,4,274,148,36,21,4,4,215,115,29,31,0,0,188,53,17,20,0,0,93,19,7,6,4,0,36,11,3,0,0,0,16,2309,414,336,40,16,3120
309021230,25,6,4,313,249,39,20,8,3,318,261,51,30,5,0,349,262,45,33,10,0,339,189,31,36,4,8,263,83,16,21,4,0,124,29,7,12,3,3,49,5,3,0,3,0,18,2911,327,273,52,26,3591
309021231,62,11,7,756,683,82,62,7,0,832,603,65,72,8,0,752,579,66,57,10,4,714,455,51,45,3,3,560,190,28,27,0,0,251,52,8,17,11,0,86,17,9,4,4,0,35,5915,512,545,63,45,7076
309021232,62,14,5,393,259,74,60,6,5,402,225,57,55,8,4,348,214,48,48,7,0,323,198,40,42,6,0,286,80,32,24,6,0,142,26,12,18,5,0,61,3,8,0,3,0,17,2517,443,434,79,23,3502
309021233,46,4,0,273,212,45,36,5,0,296,155,29,42,3,0,240,171,26,30,7,4,238,119,27,30,4,0,188,51,12,30,6,0,89,17,15,8,3,0,42,7,4,10,0,5,20,2027,282,352,56,16,2734
309021234,56,10,3,417,284,95,64,8,0,456,258,58,60,6,0,391,236,48,47,6,0,339,166,35,51,12,0,267,46,27,39,7,0,125,22,13,13,5,0,52,8,8,5,4,0,25,2964,544,545,76,31,4152
309031235,34,9,0,706,580,98,56,8,6,743,559,116,69,12,6,756,473,110,61,8,4,659,325,46,43,3,3,424,152,39,26,10,3,229,55,21,13,4,0,95,33,16,5,0,0,54,5242,649,426,88,29,6435
