POW_SA2_CODE_2021,UIE_IDNS_OMOE_Nil_em,UIE_IDNS_OMOE_1_19_em,UIE_IDNS_OMOE_20mo_em,UIE_IDNS_OMOE_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMOE_Nil_em,UIE_Tot_OMOE_1_19_em,UIE_Tot_OMOE_20mo_em,UIE_Tot_OMOE_NE_NS,UIE_Tot_Tot
109021179,3,3,0,0,8,103,83,4,3,191
109031180,0,0,0,0,3,103,53,5,0,153
109031181,7,0,0,0,7,178,65,0,3,243
109031182,8,0,0,0,8,123,82,6,0,215
109031183,12,0,0,0,11,288,145,0,12,449
109031184,4,0,0,0,3,115,55,5,0,183
109031185,10,0,0,0,7,246,106,0,7,360
110011186,21,6,0,0,21,555,169,19,0,745
110011187,3,6,0,0,7,186,109,0,0,300
110011188,0,7,0,0,6,173,73,0,0,256
110011189,5,4,0,0,10,182,93,0,9,289
110021190,12,4,0,0,9,303,135,3,8,442
110021191,18,6,3,0,25,274,132,3,6,419
110021192,10,0,0,0,10,170,72,0,7,249
110021193,10,3,0,0,7,232,88,0,9,332
110021194,6,0,0,0,10,209,95,0,3,308
110031195,4,0,0,0,8,161,80,3,4,246
110031196,9,0,0,0,9,144,136,0,0,285
110031197,8,3,0,0,9,100,79,0,5,189
110031198,0,0,0,0,9,124,75,5,0,207
110041199,6,0,0,0,7,180,79,3,0,261
110041200,8,0,0,0,8,178,58,0,0,234
110041201,10,0,0,0,13,246,76,0,5,331
110041202,4,4,0,0,8,307,86,3,4,391
110041203,16,5,0,0,26,366,216,11,4,591
110041204,12,5,0,0,19,122,98,0,0,224
110041205,21,3,0,0,25,533,196,0,16,748
111011206,13,3,0,0,16,317,124,3,5,450
111011207,6,0,0,0,6,85,20,0,0,105
111011208,24,4,0,0,23,543,154,8,5,714
111011209,18,0,0,0,23,473,125,9,0,612
111011210,0,0,0,0,0,101,14,0,0,117
111011211,0,0,0,0,0,75,25,0,0,97
111011212,6,0,0,0,6,220,64,4,0,287
111011213,7,0,0,0,7,196,35,0,0,231
111011214,7,4,0,0,10,388,133,10,0,523
111021215,3,0,0,0,3,135,26,0,0,164
111021216,9,0,0,0,9,158,35,0,0,194
111021217,4,3,0,0,6,200,43,4,0,247
111021218,24,0,0,0,26,418,127,3,0,545
111021219,11,0,0,0,11,248,78,3,0,331
111021220,9,0,0,0,8,156,42,0,0,195
111021221,5,0,0,0,7,133,27,0,0,164
111031222,15,0,0,0,15,362,87,3,0,451
111031223,6,3,3,0,12,145,48,7,0,201
111031224,15,8,3,0,24,470,144,25,0,637
111031225,10,3,0,0,13,400,115,3,0,518
111031226,4,0,0,0,4,163,32,0,0,195
111031227,8,3,0,0,14,398,76,7,0,479
111031228,5,0,0,0,5,294,91,0,0,387
111031229,20,7,0,0,31,536,198,40,3,773
111031230,0,0,0,0,4,15,8,0,0,26
111031231,12,0,0,0,14,167,32,0,0,199
111031232,3,0,0,0,3,102,35,0,0,130
111031233,15,0,0,0,17,319,45,8,0,368
111031234,13,0,0,0,14,211,49,3,0,257
111031235,14,3,0,0,20,303,71,6,0,384
112011236,27,7,0,0,35,566,221,0,7,793
112011237,18,4,0,0,23,666,200,5,12,886
112011238,25,0,0,0,28,500,110,3,0,612
112011239,22,5,0,0,27,477,92,0,3,568
112011240,55,7,0,0,62,907,213,10,0,1134
112011241,9,0,0,0,7,138,39,0,4,179
112011242,10,0,0,0,12,350,88,0,0,432
112011243,41,10,0,0,48,615,132,0,6,751
112021244,10,4,0,0,10,207,102,3,4,314
112021245,4,0,0,0,11,280,75,0,4,357
112021246,13,0,0,0,13,244,50,0,0,298
112021247,15,3,0,0,16,254,73,0,0,331
112021248,21,0,0,0,29,683,267,23,3,972
112021249,31,4,0,0,33,678,155,0,17,846
112031250,20,4,0,0,30,504,115,0,3,617
112031251,18,7,0,0,16,354,127,0,3,487
112031252,24,0,0,0,30,413,81,0,5,506
112031253,20,9,0,0,25,435,112,6,3,552
112031254,28,5,0,0,34,572,138,0,3,721
112031550,17,0,0,0,17,277,42,0,0,319
112031551,0,0,0,0,3,103,20,0,0,119
112031552,19,6,0,0,24,290,107,3,0,401
113011256,17,3,0,0,22,328,174,9,0,515
113011257,9,4,0,0,10,377,214,0,8,600
113011258,3,0,0,0,7,231,99,0,5,337
113011259,0,0,0,0,0,156,107,0,5,276
113021260,7,0,0,0,7,146,76,0,0,230
113021261,11,0,0,0,16,123,77,0,8,210
113021262,3,0,0,0,4,144,48,0,4,199
113031263,3,0,0,0,3,155,111,0,4,267
113031264,6,0,0,0,6,108,60,0,0,175
113031265,3,0,0,0,4,139,73,0,5,225
113031266,9,0,0,0,10,234,138,0,9,386
113031267,13,11,4,0,27,313,163,15,5,489
113031268,5,3,0,0,8,85,26,0,0,107
113031269,13,0,0,0,17,245,81,7,4,332
113031270,25,7,0,0,33,486,247,12,0,754
113031271,13,4,0,0,20,596,248,0,10,855
114011272,16,5,0,0,20,378,141,4,7,527
114011273,0,0,0,0,0,71,29,0,0,91
114011274,8,0,0,0,5,116,46,0,0,163
114011275,0,0,0,0,0,3,0,0,0,3
114011276,4,4,0,0,10,198,78,0,0,277
114011277,19,5,0,0,23,323,83,4,3,409
114011278,29,8,0,0,32,481,261,10,10,756
114011279,11,3,0,0,13,259,67,0,6,333
114011280,5,0,0,0,5,81,37,0,0,120
114011281,7,3,0,0,9,100,27,0,0,129
114011282,19,6,0,5,21,501,167,7,12,684
114011283,10,0,0,0,10,195,52,0,3,253
114021284,21,5,0,0,21,509,130,5,6,649
114021285,3,0,0,0,3,126,24,0,0,149
114021286,18,4,0,0,20,361,81,3,3,449
114021287,18,8,0,0,20,318,106,0,3,426
114021288,6,0,0,0,7,222,39,0,4,264
114021289,18,0,0,0,20,283,55,0,5,345
115011290,10,0,0,0,12,321,58,0,0,379
115011291,36,5,0,0,43,531,191,14,0,733
115011294,6,0,0,0,6,115,12,0,0,132
115011296,10,0,0,0,14,207,27,0,0,238
115011553,15,0,0,0,20,249,82,0,0,327
115011554,0,0,0,0,0,73,7,0,0,77
115011555,8,0,0,0,8,212,33,0,0,247
115011556,5,0,0,0,5,203,52,0,0,257
115011557,4,0,0,0,3,80,13,0,0,95
115011558,9,0,0,0,9,290,24,0,0,317
115011621,13,3,0,0,15,311,53,0,0,362
115011622,5,0,0,0,5,118,8,0,0,131
115021297,28,3,0,0,30,632,157,4,3,800
115021298,11,0,0,0,11,174,36,3,0,210
115031299,6,0,0,0,6,123,23,0,0,139
115031300,20,0,0,0,19,613,135,0,3,750
115041301,13,5,0,0,22,320,96,0,0,419
115041623,7,0,0,0,7,135,27,0,0,168
115041624,11,0,0,0,11,207,21,0,0,228
115041625,3,0,0,0,3,306,48,3,0,352
116011303,23,4,0,0,30,431,146,20,4,600
116011304,6,0,0,0,6,189,23,0,0,211
116011306,3,0,0,0,3,148,35,0,0,188
116011307,24,3,0,0,28,505,95,3,6,609
116011560,5,0,0,0,5,124,11,0,0,135
116011561,9,0,0,0,9,137,24,0,0,169
116011626,14,4,0,0,14,188,40,3,0,225
116011627,0,0,0,0,0,106,13,0,0,123
116021309,7,0,0,0,7,218,21,0,0,238
116021562,0,0,0,0,0,36,13,0,0,43
116021563,8,0,0,0,12,256,23,0,0,277
116021628,5,0,0,0,5,234,26,0,0,259
116021629,3,0,0,0,0,168,21,0,0,188
116021630,15,9,0,0,18,240,53,3,0,295
116021631,7,0,0,0,7,115,14,0,0,129
116021632,10,0,0,0,10,224,18,0,0,242
116021633,7,0,0,0,4,147,25,0,0,172
116031313,3,0,0,0,0,108,20,0,0,131
116031314,6,0,0,0,4,121,22,0,0,143
116031315,0,0,0,0,4,166,25,0,0,188
116031316,10,0,0,0,6,112,20,0,0,136
116031317,10,0,0,0,14,216,44,0,0,266
116031318,16,0,0,0,21,143,34,0,0,180
116031319,22,3,0,0,24,280,65,6,0,342
117011320,13,7,0,0,20,140,33,0,0,177
117011321,16,5,0,0,20,322,58,0,0,387
117011323,7,0,0,0,7,219,33,4,0,252
117011324,3,0,0,0,3,42,0,0,0,46
117011325,6,0,0,0,9,29,6,0,0,38
117011634,7,0,0,0,7,131,22,3,0,154
117011635,24,4,0,4,35,392,67,8,4,469
117021327,30,0,0,0,25,597,70,3,0,666
117021328,20,0,0,0,18,282,44,8,0,330
117021636,18,9,0,0,31,499,98,4,0,606
117021637,20,3,0,0,24,389,68,0,0,458
117031329,23,0,0,0,30,512,122,10,0,639
117031330,47,3,0,0,56,900,88,3,3,996
117031331,15,7,0,0,20,593,80,4,0,675
117031333,23,6,0,0,33,611,81,5,0,695
117031336,31,4,0,0,39,728,137,14,4,881
117031638,21,5,0,0,24,284,44,0,0,329
117031639,15,3,0,0,11,195,25,0,0,218
117031640,18,0,0,0,18,506,123,8,0,632
117031641,34,0,0,0,31,338,59,8,0,405
117031642,32,3,0,0,37,429,51,5,0,487
117031643,22,0,0,0,18,328,41,6,0,369
117031644,221,23,4,5,257,3358,1063,1498,10,5931
117031645,56,9,0,0,72,831,227,52,0,1109
117031646,19,0,0,0,15,247,40,3,5,290
117031647,20,0,0,0,23,286,46,0,0,333
117031648,9,0,0,0,14,189,24,0,0,217
118011339,17,0,0,0,17,557,66,0,0,628
118011340,25,0,0,0,27,641,74,0,0,714
118011341,34,4,0,0,37,784,185,11,0,983
118011342,0,0,0,0,0,0,0,0,0,0
118011344,8,0,0,0,3,287,32,0,0,323
118011345,35,6,0,0,40,595,77,0,0,680
118011346,11,3,0,0,18,335,47,5,0,392
118011347,15,0,0,0,17,282,46,0,5,335
118011649,27,0,0,0,26,417,39,0,0,457
118011650,17,0,0,0,20,423,99,3,0,528
118021564,16,0,0,0,16,207,39,0,0,248
118021565,12,0,0,0,11,236,43,0,0,280
118021566,11,0,0,0,8,210,52,0,0,262
118021567,10,0,0,0,10,212,26,6,0,242
118021568,11,0,0,0,8,191,46,0,0,232
118021569,20,4,0,0,23,400,39,5,0,443
118021570,20,3,0,0,20,403,128,5,0,537
118021651,21,0,0,0,23,514,73,0,0,594
118021652,10,0,0,0,10,188,19,4,0,209
118021653,0,0,0,0,0,203,44,0,0,248
118021654,9,0,0,0,9,87,15,0,0,99
119011354,10,6,0,0,14,204,50,0,0,257
119011355,13,0,0,0,16,226,28,3,0,263
119011356,23,8,0,0,34,286,89,7,0,387
119011358,11,0,0,0,11,287,66,0,0,351
119011360,8,0,0,0,9,209,47,0,0,254
119011361,11,0,0,0,6,217,40,0,0,266
119011571,14,0,0,0,12,240,62,0,0,302
119011572,27,0,0,0,30,302,125,9,0,431
119011655,8,0,0,0,9,205,31,0,0,242
119011656,9,0,0,0,9,143,22,0,0,166
119011657,3,0,0,0,3,138,25,0,0,164
119011658,8,0,0,0,8,181,58,0,0,242
119021362,4,3,0,0,12,266,54,3,0,329
119021366,17,3,0,0,18,250,61,0,0,310
119021367,10,6,0,0,16,160,30,0,0,196
119021573,10,0,0,0,10,252,34,0,0,286
119021574,3,0,0,0,3,134,6,0,0,139
119021659,6,0,0,0,9,157,32,0,0,194
119021660,9,4,0,0,7,136,49,0,0,182
119021661,9,0,0,0,9,167,26,3,0,199
119021662,7,5,0,0,8,309,57,0,0,369
119021663,14,0,0,0,19,129,26,0,0,162
119031370,5,3,0,0,8,164,31,0,0,193
119031371,0,0,0,0,3,162,56,0,0,220
119031372,11,8,0,0,14,330,95,0,0,428
119031373,3,0,0,0,8,129,39,0,0,169
119031374,11,0,0,0,11,322,45,0,0,373
119031664,9,0,0,0,11,216,105,0,0,322
119031665,5,0,0,0,10,167,23,0,0,195
119031666,14,0,0,0,14,226,71,0,0,300
119031667,4,0,0,0,4,117,28,4,0,150
119041377,3,3,0,0,8,191,57,3,0,246
119041378,11,8,0,0,17,289,149,0,0,436
119041379,8,0,0,0,7,211,44,0,0,256
119041380,16,0,0,0,12,180,37,0,0,221
119041381,18,4,0,0,20,332,74,3,0,416
119041382,9,0,0,0,8,244,62,5,3,315
119041668,15,0,0,0,14,235,40,0,0,271
119041669,6,0,0,0,6,152,29,0,0,178
119041670,5,0,0,0,5,203,25,0,0,233
119041671,5,0,0,0,4,108,12,0,0,120
120011383,12,4,0,0,18,444,62,0,0,504
120011385,11,0,0,0,12,401,75,4,0,473
120011386,15,3,0,0,17,454,78,6,0,544
120011672,16,0,0,0,16,276,51,0,0,330
120011673,13,4,0,0,19,214,35,0,0,245
120021387,19,0,0,0,20,524,59,10,0,581
120021389,19,4,0,0,19,487,66,0,0,555
120021674,15,0,0,0,10,308,45,0,0,351
120021675,20,8,0,0,25,608,108,3,0,729
120031392,9,0,0,0,9,228,37,0,0,265
120031393,9,3,0,0,13,247,53,0,0,301
120031394,13,0,0,0,14,411,51,3,0,463
120031395,10,0,0,0,10,362,52,0,0,412
120031396,18,7,0,0,18,332,79,0,0,423
120031576,7,4,0,0,6,126,25,0,0,149
120031676,7,0,0,0,7,175,21,0,0,194
120031677,4,0,0,0,4,230,56,0,0,282
120031678,14,5,0,0,16,378,117,3,0,503
120031679,9,0,0,0,11,202,26,4,0,225
120031680,5,4,0,0,7,243,60,3,0,306
120031681,11,0,0,0,8,137,17,3,0,157
121011399,14,5,0,0,17,344,20,0,0,369
121011401,37,4,0,0,38,574,132,4,5,719
121011682,0,0,0,0,0,143,20,0,0,159
121011683,10,3,0,0,18,329,48,4,0,379
121011684,32,5,0,0,40,651,212,18,0,885
121011685,9,4,0,0,13,293,58,3,0,355
121011686,17,0,0,0,18,410,71,3,0,484
121011687,8,0,0,0,10,302,41,0,0,350
121021403,17,0,0,0,18,451,69,0,0,526
121021404,5,0,0,0,9,280,45,4,0,328
121021406,20,0,0,0,20,399,66,0,0,464
121021577,10,0,0,0,13,317,105,3,3,429
121021578,10,0,0,0,10,206,29,0,0,241
121021579,10,0,0,0,10,158,29,0,0,182
121031407,18,0,0,0,13,437,80,0,0,517
121031408,18,0,0,0,18,518,70,5,0,594
121031409,19,0,0,0,20,404,55,9,0,474
121031410,10,0,0,0,14,404,66,3,0,480
121031411,17,0,0,0,18,441,75,3,3,526
121031412,11,0,0,0,13,360,90,3,0,454
121041413,19,0,0,0,21,442,56,0,0,498
121041414,31,0,0,0,32,513,116,3,0,625
121041416,21,4,0,0,28,516,77,4,0,594
121041417,53,4,0,0,59,583,144,26,0,752
121041688,17,0,0,0,17,364,51,3,0,422
121041689,17,0,0,0,17,416,60,0,0,484
122011418,26,0,0,0,29,583,72,6,0,662
122011419,29,4,0,0,33,674,109,3,0,790
122021420,28,0,0,0,24,558,81,0,0,648
122021421,20,0,0,0,20,328,53,0,0,381
122021422,23,0,0,0,20,482,60,7,0,541
122021690,30,4,0,0,36,594,124,14,0,725
122021691,14,0,0,0,14,303,53,0,0,368
122031424,10,0,0,0,10,295,34,0,0,334
122031425,7,6,0,0,8,211,36,3,0,254
122031427,5,0,0,0,6,296,56,0,0,356
122031429,31,7,0,0,38,898,194,5,0,1101
122031430,22,3,0,0,25,446,51,4,0,498
122031432,5,0,0,0,5,153,23,0,0,180
122031692,11,0,0,0,10,214,41,0,0,258
122031693,17,0,0,0,20,331,58,0,0,399
122031694,6,0,0,0,6,217,25,4,0,245
122031695,22,0,0,0,25,426,90,7,0,514
122031696,23,3,0,0,31,486,92,7,0,592
122031697,15,0,0,0,15,278,48,0,0,324
123011433,8,0,0,0,5,273,76,0,0,353
123011698,7,0,0,0,7,167,51,4,0,220
123011699,14,0,0,0,15,285,65,0,0,352
123011700,3,0,0,0,3,161,30,0,0,193
123011701,13,0,0,0,12,233,42,4,0,274
123011702,8,0,0,0,8,90,12,0,0,101
123021436,0,0,0,0,0,152,24,0,0,178
123021437,27,6,0,0,33,419,174,9,3,601
123021438,6,0,0,0,12,199,24,0,0,230
123021439,0,0,0,0,0,0,0,0,0,0
123021441,3,0,0,0,8,168,29,3,0,204
123021443,19,0,0,0,16,278,65,5,0,355
123021444,7,0,0,0,7,184,36,0,0,217
123021703,8,0,0,0,8,120,12,0,0,138
123021704,4,0,0,0,6,85,10,0,0,96
123021705,18,8,0,0,26,254,77,10,0,344
123021706,14,0,0,0,14,121,13,0,0,133
123031445,6,0,0,0,6,111,36,0,0,152
123031446,10,0,0,0,10,199,39,0,0,240
123031447,13,3,0,0,20,346,117,4,0,466
123031448,8,0,0,0,8,166,47,0,0,216
124011449,6,0,0,0,5,248,51,0,0,305
124011450,12,0,0,0,17,415,89,4,0,507
124011451,0,0,0,0,0,0,0,0,0,0
124011452,16,0,0,0,27,635,141,0,3,781
124011453,9,0,0,0,9,340,70,0,0,404
124011454,5,0,4,0,8,459,111,3,0,576
124011455,11,0,0,0,4,177,42,0,0,223
124021456,0,0,0,0,0,4,0,0,0,4
124031457,13,0,0,0,11,145,24,0,0,173
124031459,9,0,0,0,9,210,61,3,0,275
124031460,13,0,0,0,13,214,36,0,0,249
124031461,12,4,0,0,18,229,77,5,0,313
124031462,14,0,0,0,14,264,69,4,0,335
124031463,6,0,0,0,6,226,71,0,0,293
124031464,24,0,0,0,24,433,170,8,0,618
124031465,3,0,0,0,5,89,38,0,0,127
124031707,11,0,0,0,16,231,32,0,0,267
124031708,6,0,0,0,6,166,29,0,0,194
124041466,9,3,0,0,16,323,128,3,0,449
124041467,17,6,0,0,19,331,104,4,0,430
124041468,3,0,0,0,8,168,45,0,0,213
124051469,3,0,0,0,3,131,25,0,0,160
124051470,9,0,0,0,9,185,37,0,0,219
124051580,0,0,0,0,0,95,16,0,0,110
124051581,10,3,0,0,18,276,103,3,0,386
125011475,0,0,0,0,0,4,0,0,0,8
125011582,17,0,0,0,14,204,63,4,3,269
125011583,13,0,0,0,10,134,19,5,0,156
125011584,10,5,0,0,10,108,18,3,0,118
125011585,0,0,0,0,0,70,19,0,0,93
125011586,29,0,0,0,32,361,90,0,0,453
125011587,9,0,0,0,9,83,17,0,0,107
125011709,14,9,0,0,22,257,61,5,0,323
125011710,29,5,0,0,27,337,31,0,0,372
125021477,23,0,0,0,26,420,85,7,0,505
125021478,8,0,0,0,8,256,35,0,0,291
125021711,8,0,0,0,8,183,52,0,0,236
125021712,8,0,0,0,11,269,35,0,0,302
125031479,15,5,0,0,17,229,52,0,0,286
