POW_SA2_CODE_2021,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
319011498,402,86,146,78,107,58,161,623,39,1701
319011499,663,285,375,250,302,240,399,989,85,3590
319011500,208,255,227,402,181,508,72,253,32,2138
319011501,275,494,684,502,436,164,304,410,75,3330
319011502,171,228,265,336,197,128,175,238,22,1764
319021503,549,245,213,229,235,166,173,790,68,2675
319021504,281,143,97,144,113,101,120,301,30,1334
319021505,547,857,648,853,643,696,298,1009,110,5672
319021506,582,392,286,417,219,203,205,441,60,2802
319021507,389,67,138,49,82,22,88,265,17,1135
319021508,455,142,181,140,129,105,165,228,49,1601
319021509,342,324,472,253,198,153,266,285,62,2352
319021510,4,0,0,0,0,0,0,0,0,4
319031511,184,185,221,174,123,186,107,278,40,1501
319031512,876,1805,1450,1558,1419,1298,751,1192,201,10550
319031513,87,252,149,340,135,151,95,142,19,1370
319031514,878,305,514,216,321,189,400,800,82,3705
319031515,321,74,104,51,69,38,58,140,21,870
319041516,96,82,131,73,123,45,84,93,24,750
319041517,132,131,224,88,120,51,217,124,35,1120
319041518,885,2515,1086,1687,1322,1629,308,978,173,10589
319041519,28,78,68,167,49,17,11,33,5,451
319041520,310,493,349,1043,316,283,59,339,62,3265
319041521,401,549,580,578,382,340,190,545,68,3625
319051522,169,119,213,179,127,148,104,261,34,1351
319051523,32,33,39,67,22,12,25,58,10,305
319051524,863,1620,1330,1719,1456,1028,666,1036,188,9904
319051525,297,86,154,87,116,60,223,277,34,1341
319051526,90,77,207,101,97,72,47,85,5,778
397979799,7,49,30,8,17,0,30,36,9,183
399999499,8840,12803,35104,13657,5438,4209,10941,22174,2961,116135
401011001,16851,45195,7427,11612,25341,5749,1238,4253,2190,119861
401011002,1043,4331,749,1716,1439,436,95,591,144,10546
401021003,331,243,220,188,164,90,68,228,12,1551
401021004,611,1162,625,684,481,413,149,440,62,4627
401021005,365,231,280,421,135,176,56,238,35,1935
401021006,734,427,547,575,304,317,212,822,82,4024
401021007,991,1562,1091,1313,1024,1363,432,936,126,8835
401021008,296,174,227,75,112,61,97,176,22,1244
401021009,85,109,121,108,62,63,25,79,10,667
401021010,246,248,164,135,109,36,72,156,26,1193
401031011,453,1200,471,624,422,284,120,267,54,3904
401031012,378,724,404,347,299,379,33,233,39,2838
401031013,1574,3746,977,1791,2191,1031,89,508,173,12079
401041014,97,327,114,94,106,71,22,63,13,903
401041015,592,952,814,1281,562,651,385,618,86,5941
401041016,410,1099,575,490,436,362,186,258,51,3872
401051017,1877,4017,1343,1463,2020,1478,182,719,158,13251
401051018,775,1347,838,862,676,795,176,721,83,6275
401051019,889,1770,780,1011,936,543,168,513,105,6717
401061020,169,471,199,238,205,244,34,133,11,1705
401061021,595,926,591,769,543,694,95,400,68,4686
401061022,284,707,218,437,301,170,22,165,32,2335
401071023,1277,2523,917,1232,1199,612,138,551,134,8585
401071024,1756,3833,1208,2430,1793,963,119,792,177,13065
402011025,376,364,544,186,291,109,267,308,49,2491
402011026,648,1383,698,1329,782,1048,172,734,100,6906
402011027,284,102,252,90,106,37,167,413,27,1470
402021028,137,564,235,584,184,223,57,216,37,2237
402021029,409,611,539,489,445,136,631,502,85,3840
402021030,788,3901,752,2092,1097,1123,351,1105,188,11408
402021031,86,289,134,443,62,99,36,100,26,1270
402021032,312,422,348,482,197,463,161,452,47,2889
402021033,61,55,75,46,41,24,16,56,3,372
402021034,280,347,246,463,193,803,104,406,54,2899
402021035,1069,143,300,175,243,215,554,1105,94,3902
402031036,1971,1799,2360,1301,1682,1887,2752,1844,321,15915
402031038,573,805,895,872,601,676,275,653,79,5428
402031175,252,1086,298,1198,291,179,79,322,54,3762
402031176,193,345,236,380,210,298,71,290,37,2060
402041039,31,7,87,8,61,49,168,60,9,475
402041040,203,479,270,647,205,415,93,272,42,2633
402041041,350,488,672,344,387,264,248,351,65,3175
402041042,90,173,115,144,68,250,56,75,11,981
402041043,191,471,246,431,165,114,146,202,34,1993
402041044,141,401,137,307,123,259,56,221,30,1669
402041046,961,1501,1088,1485,1159,1089,786,1142,184,9404
402041047,322,520,545,495,390,335,214,381,47,3266
402041048,2054,2882,2223,1760,1389,395,1746,2113,358,14919
402041171,1104,2278,756,762,841,473,500,607,137,7452
402041172,1039,452,1220,427,997,574,1666,1046,145,7565
402051049,412,643,551,725,353,682,326,466,51,4227
402051050,57,132,90,95,66,67,20,60,13,601
402051051,119,198,172,125,138,134,25,99,14,1041
402051052,991,2144,1287,1860,1793,1778,327,1028,192,11390
402051053,186,620,285,347,259,126,52,145,39,2067
402051054,184,311,332,338,179,224,74,210,18,1863
402051055,292,487,486,633,330,376,357,372,49,3374
403011056,499,1126,511,1756,432,469,55,398,70,5303
403011057,981,1410,1234,1479,945,1081,141,750,121,8147
403021058,835,752,1177,721,690,824,381,588,106,6076
403021059,163,356,217,251,139,310,49,186,17,1682
403021060,136,281,154,93,115,99,46,75,13,1011
403021061,907,1805,719,1184,1494,541,202,488,122,7472
403021062,257,496,414,791,269,189,432,295,50,3182
403021063,76,236,137,232,87,63,27,94,24,979
403021064,666,790,584,1223,520,1866,140,568,92,6454
403031065,107,387,93,250,119,37,9,72,15,1090
403031066,475,6812,454,1254,1181,63,115,345,115,10814
403031067,305,504,363,418,265,389,35,249,29,2556
403031068,778,1316,1062,876,699,729,305,586,84,6442
403031069,625,1874,584,752,503,459,54,389,68,5305
403031070,449,533,663,361,391,409,164,551,81,3602
403041071,163,415,180,413,179,260,39,234,22,1911
403041072,248,389,450,476,225,314,106,321,44,2573
403041073,482,1471,307,1249,984,1071,127,454,116,6258
403041074,267,617,365,799,344,412,94,284,53,3240
403041075,94,77,117,38,54,26,16,52,15,488
403041076,42,110,69,75,41,19,10,53,10,439
403041077,127,256,217,219,125,150,53,144,11,1302
403041078,124,109,231,209,100,120,66,190,12,1162
403041079,40,87,47,159,39,18,11,49,8,460
403041080,158,283,240,357,169,196,19,188,15,1631
403041081,0,10,9,0,10,0,16,19,11,73
403041082,966,464,1961,52,822,350,1075,1023,116,6835
403041083,709,632,403,457,347,367,159,647,51,3778
403041084,235,800,328,669,295,298,52,271,37,2988
403041085,154,372,189,292,211,322,27,182,23,1764
403041086,274,465,349,423,259,370,107,363,36,2647
403041088,267,261,188,156,109,68,123,182,21,1375
403041089,127,179,187,253,101,179,34,193,14,1270
403041177,338,449,602,565,277,609,201,457,59,3554
403041178,78,148,130,167,100,86,33,77,6,827
404011090,636,2226,938,566,756,267,491,639,99,6609
404011091,491,963,651,606,484,510,129,346,84,4264
404011092,372,854,456,605,346,471,56,333,41,3537
404011093,1832,2356,1793,1524,1487,873,768,1207,228,12079
404011094,427,419,905,218,405,245,365,364,59,3417
404011095,279,459,355,659,200,169,64,190,34,2404
404011096,472,442,372,721,308,964,47,363,58,3742
404011097,946,1204,1115,1089,1030,1069,755,900,146,8259
404021098,11,3,13,0,3,11,53,18,0,114
404021099,380,597,470,633,290,269,223,332,46,3243
404021100,718,1093,1277,638,535,160,460,526,128,5533
