POW_SA2_CODE_2021,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
507011154,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,12,3,7,0,0,8,0,0,12,8,29,73,63,52,21,4,254,68,32,34,21,30,22,0,203,0,3,0,0,0,0,0,5,366,374,447,423,346,120,17,2088
507011155,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,0,15,3,3,5,4,0,0,0,18,3,29,51,42,21,4,0,148,41,85,71,45,51,11,0,309,0,10,5,8,4,4,0,28,786,1553,1761,1477,919,185,11,6690
507011158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,3,7,6,0,0,0,0,0,10,0,24,16,23,22,16,0,111,33,20,20,10,7,4,0,92,0,0,0,0,0,0,0,0,179,203,165,149,127,40,5,875
507011159,0,3,4,0,0,0,0,17,4,0,0,0,0,0,0,3,0,3,6,0,5,0,0,10,10,9,7,6,4,0,0,33,9,39,71,72,52,18,4,260,209,128,121,94,64,26,0,646,7,7,0,6,0,0,0,16,1149,1296,1267,1273,762,209,24,5978
507011160,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,7,0,3,0,3,0,0,10,8,6,3,0,4,0,0,21,4,33,44,36,47,28,3,192,115,42,38,34,46,7,0,280,5,0,3,0,0,0,0,11,528,426,465,415,373,117,16,2345
507011161,9,5,0,0,0,0,0,20,0,0,0,0,0,0,0,0,10,4,3,0,0,0,0,12,21,8,3,0,0,0,0,34,4,46,110,60,33,9,0,263,283,116,75,53,54,12,0,591,0,5,5,0,0,0,0,18,1167,790,746,556,369,72,6,3705
507011163,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,20,45,27,23,7,0,127,25,28,20,18,18,0,0,104,0,0,0,0,0,0,0,5,212,306,295,242,208,55,4,1327
507011259,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,6,0,0,0,0,0,14,0,35,69,42,32,16,0,205,75,74,41,40,32,8,0,266,4,0,0,0,0,0,0,4,457,479,461,419,353,87,10,2271
507011260,7,5,4,0,0,0,0,21,0,0,0,0,0,0,0,0,15,12,7,9,0,0,0,36,21,17,13,12,0,0,0,57,6,67,105,93,79,16,4,373,175,169,143,119,112,38,0,761,7,15,8,3,4,0,0,35,1343,2028,2208,1866,1303,303,28,9089
507021164,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,8,3,5,5,0,0,0,0,11,8,19,54,106,85,51,9,333,94,49,38,27,34,15,0,250,0,0,6,0,0,0,0,8,413,422,397,443,336,125,20,2159
