POW_SA2_CODE_2021,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
801101134,0,0,0,0,0,120,110,8,3,238
801101135,0,0,0,0,0,219,144,6,8,377
801101136,0,0,0,0,0,230,111,9,7,354
801101137,0,0,0,0,0,3,0,0,0,3
801101139,0,0,0,0,0,83,40,7,0,130
801101145,0,0,0,0,0,0,0,0,0,0
801101146,0,0,0,0,0,19,12,0,0,25
801111140,0,3,0,0,6,238,200,41,7,489
801111141,0,0,0,0,0,3,0,4,0,6
897979799,0,0,0,0,0,0,0,0,0,0
899999499,3,36,8,0,50,4381,2952,426,120,7892
901011001,0,0,0,0,0,620,179,32,28,854
901021002,0,0,0,0,0,153,75,5,0,230
901031003,0,0,0,0,0,396,52,25,15,476
901041004,11,24,5,0,39,554,421,76,15,1072
997979799,0,0,0,0,0,0,0,0,0,0
999999499,0,5,0,0,3,72,56,9,0,135
