POW_SA2_CODE_2021,F_SthAfrica_ES_NS,F_SthAfrica_Tot,F_SriLanka_E,F_SriLanka_OM_IE,F_SriLanka_OM_UIE,F_SriLanka_CFW,F_SriLanka_ES_NS,F_SriLanka_Tot,F_Taiwan_E,F_Taiwan_OM_IE,F_Taiwan_OM_UIE,F_Taiwan_CFW,F_Taiwan_ES_NS,F_Taiwan_Tot,F_Thailand_E,F_Thailand_OM_IE,F_Thailand_OM_UIE,F_Thailand_CFW,F_Thailand_ES_NS,F_Thailand_Tot,F_UK_E,F_UK_OM_IE,F_UK_OM_UIE,F_UK_CFW,F_UK_ES_NS,F_UK_Tot,F_USA_E,F_USA_OM_IE,F_USA_OM_UIE,F_USA_CFW,F_USA_ES_NS,F_USA_Tot,F_Vietnam_E,F_Vietnam_OM_IE,F_Vietnam_OM_UIE,F_Vietnam_CFW,F_Vietnam_ES_NS,F_Vietnam_Tot,F_Elsewhere_E,F_Elsewhere_OM_IE,F_Elsewhere_OM_UIE,F_Elsewhere_CFW,F_Elsewhere_ES_NS,F_Elsewhere_Tot,F_COB_NS_E,F_COB_NS_OM_IE,F_COB_NS_OM_UIE,F_COB_NS_CFW,F_COB_NS_ES_NS,F_COB_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_Australia_E,P_Australia_OM_IE,P_Australia_OM_UIE,P_Australia_CFW,P_Australia_ES_NS,P_Australia_Tot,P_Afghanistan_E,P_Afghanistan_OM_IE,P_Afghanistan_OM_UIE,P_Afghanistan_CFW,P_Afghanistan_ES_NS,P_Afghanistan_Tot,P_Bangladesh_E,P_Bangladesh_OM_IE,P_Bangladesh_OM_UIE,P_Bangladesh_CFW,P_Bangladesh_ES_NS,P_Bangladesh_Tot,P_Canada_E,P_Canada_OM_IE,P_Canada_OM_UIE,P_Canada_CFW,P_Canada_ES_NS,P_Canada_Tot,P_China_E,P_China_OM_IE,P_China_OM_UIE,P_China_CFW,P_China_ES_NS,P_China_Tot,P_Croatia_E,P_Croatia_OM_IE,P_Croatia_OM_UIE,P_Croatia_CFW,P_Croatia_ES_NS,P_Croatia_Tot,P_Egypt_E,P_Egypt_OM_IE,P_Egypt_OM_UIE,P_Egypt_CFW,P_Egypt_ES_NS,P_Egypt_Tot,P_Fiji_E,P_Fiji_OM_IE,P_Fiji_OM_UIE,P_Fiji_CFW,P_Fiji_ES_NS,P_Fiji_Tot,P_Germany_E,P_Germany_OM_IE,P_Germany_OM_UIE,P_Germany_CFW,P_Germany_ES_NS,P_Germany_Tot,P_Greece_E,P_Greece_OM_IE,P_Greece_OM_UIE,P_Greece_CFW,P_Greece_ES_NS,P_Greece_Tot,P_HongKong_E,P_HongKong_OM_IE,P_HongKong_OM_UIE,P_HongKong_CFW,P_HongKong_ES_NS,P_HongKong_Tot,P_India_E,P_India_OM_IE,P_India_OM_UIE,P_India_CFW,P_India_ES_NS,P_India_Tot,P_Indonesia_E,P_Indonesia_OM_IE,P_Indonesia_OM_UIE,P_Indonesia_CFW,P_Indonesia_ES_NS,P_Indonesia_Tot,P_Iran_E,P_Iran_OM_IE,P_Iran_OM_UIE,P_Iran_CFW,P_Iran_ES_NS,P_Iran_Tot,P_Iraq_E,P_Iraq_OM_IE,P_Iraq_OM_UIE,P_Iraq_CFW,P_Iraq_ES_NS,P_Iraq_Tot,P_Ireland_E,P_Ireland_OM_IE,P_Ireland_OM_UIE,P_Ireland_CFW,P_Ireland_ES_NS,P_Ireland_Tot,P_Italy_E,P_Italy_OM_IE,P_Italy_OM_UIE,P_Italy_CFW,P_Italy_ES_NS,P_Italy_Tot,P_Japan_E,P_Japan_OM_IE,P_Japan_OM_UIE,P_Japan_CFW,P_Japan_ES_NS,P_Japan_Tot,P_KoreaSouth_E,P_KoreaSouth_OM_IE,P_KoreaSouth_OM_UIE,P_KoreaSouth_CFW,P_KoreaSouth_ES_NS,P_KoreaSouth_Tot,P_Lebanon_E,P_Lebanon_OM_IE,P_Lebanon_OM_UIE,P_Lebanon_CFW,P_Lebanon_ES_NS,P_Lebanon_Tot,P_Malaysia_E,P_Malaysia_OM_IE,P_Malaysia_OM_UIE,P_Malaysia_CFW,P_Malaysia_ES_NS,P_Malaysia_Tot,P_Nepal_E,P_Nepal_OM_IE,P_Nepal_OM_UIE,P_Nepal_CFW,P_Nepal_ES_NS,P_Nepal_Tot,P_Netherlands_E,P_Netherlands_OM_IE,P_Netherlands_OM_UIE,P_Netherlands_CFW,P_Netherlands_ES_NS,P_Netherlands_Tot,P_NZ_E,P_NZ_OM_IE,P_NZ_OM_UIE,P_NZ_CFW,P_NZ_ES_NS,P_NZ_Tot
214021383,0,7,3,0,0,0,0,9,4,0,0,0,0,4,5,0,7,0,0,11,87,9,17,7,3,116,7,0,0,0,0,10,0,0,0,0,0,0,42,12,8,0,0,63,26,3,7,0,0,38,1852,221,282,76,48,2486,2746,581,624,106,111,4168,15,3,9,0,0,24,0,0,0,0,0,0,6,0,3,0,0,14,31,9,7,3,0,47,4,3,0,0,0,4,0,0,0,0,0,5,3,0,0,0,0,6,8,0,3,0,0,19,10,3,0,0,0,12,8,0,0,0,0,7,46,5,0,0,0,55,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,18,18,5,3,0,3,30,4,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0,0,13,14,0,0,0,0,14,6,3,7,0,0,13,52,21,18,0,0,89
214021384,0,14,15,0,0,0,0,15,0,0,0,0,0,0,7,7,0,0,0,18,214,7,19,5,3,243,4,0,0,0,0,4,11,5,0,0,0,18,88,0,4,0,0,99,40,0,3,3,0,50,3616,195,244,58,50,4156,4642,453,463,68,86,5713,6,0,0,0,0,9,0,0,0,0,0,8,16,0,5,0,0,26,24,3,3,0,0,46,6,0,0,0,0,6,8,0,0,0,0,8,7,0,0,0,0,7,10,0,3,0,4,15,10,3,0,0,0,15,4,0,0,0,0,7,128,13,8,0,0,149,5,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,23,4,0,0,0,30,13,5,3,0,0,23,7,0,0,0,0,3,0,0,0,0,0,4,0,5,0,0,0,9,11,0,7,0,0,19,14,0,0,0,0,16,5,10,0,0,4,13,102,14,4,4,0,122
214021385,0,22,19,0,3,0,0,21,19,0,0,0,0,15,54,0,4,0,0,60,168,21,26,8,0,224,3,0,6,0,0,7,28,0,3,4,0,31,222,12,6,4,3,252,16,0,0,0,0,19,3374,255,304,95,20,4053,4504,639,542,117,29,5830,55,0,3,0,0,56,4,0,0,0,0,4,10,0,0,0,0,11,44,11,4,3,0,66,8,0,0,0,0,7,4,0,0,0,0,10,16,0,0,0,0,16,18,8,0,0,0,27,0,0,0,0,0,3,4,6,0,0,0,10,164,12,10,0,4,187,46,0,0,0,0,44,3,0,0,0,0,4,3,0,0,0,0,4,18,3,0,0,0,25,7,10,5,0,0,17,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,5,64,4,5,0,0,71,24,0,0,0,0,24,17,8,3,0,0,26,153,23,21,4,0,196
214021591,0,24,21,0,0,0,0,23,4,0,0,0,0,4,9,0,0,0,0,14,229,17,29,0,0,281,17,0,4,0,0,21,8,3,0,0,0,14,79,8,10,4,0,106,18,0,0,0,0,20,3265,223,248,51,22,3809,4695,589,374,57,33,5750,8,3,0,0,0,17,3,0,0,0,0,5,10,0,0,0,0,8,27,3,7,0,0,41,5,0,0,0,0,5,8,0,0,0,0,9,14,0,0,0,0,14,24,5,3,0,0,29,9,0,0,0,0,10,4,0,0,4,0,9,150,7,10,0,0,169,14,0,5,0,0,18,4,0,0,0,0,4,0,0,0,0,0,0,27,8,8,0,0,40,17,3,3,0,0,21,7,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,3,8,18,0,0,0,0,24,10,0,0,0,0,10,4,3,0,0,3,14,108,14,12,3,0,138
214021592,0,26,19,0,3,0,0,16,3,0,0,0,0,5,16,0,0,0,0,26,353,28,18,0,0,401,22,0,0,0,0,21,14,0,0,0,0,15,121,8,13,5,0,148,26,3,0,0,0,33,4041,232,246,43,27,4586,4085,408,347,46,36,4924,8,4,0,0,0,10,3,0,0,0,0,3,20,5,0,0,0,22,45,18,3,11,0,80,5,0,0,0,0,9,7,3,0,0,0,9,10,0,0,0,0,15,20,5,5,0,0,25,9,0,0,0,0,14,8,0,0,0,0,6,165,12,5,4,5,184,14,0,0,0,0,20,3,3,5,0,0,15,0,0,0,0,0,0,38,8,6,0,0,53,22,6,3,0,0,37,6,0,0,0,0,11,5,0,3,0,0,6,3,0,0,0,0,8,26,6,0,0,0,36,11,0,0,0,0,11,21,4,0,0,0,22,85,9,3,0,0,108
215011386,0,8,3,0,0,0,0,3,20,0,0,0,0,20,0,0,0,0,0,3,27,0,0,0,0,27,4,0,0,0,0,6,3,0,0,0,0,9,35,0,0,0,0,39,21,0,0,0,0,28,1887,57,74,31,11,2062,3061,123,143,48,23,3399,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,22,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,3,93,7,4,0,0,105,4,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,3,0,0,0,0,3,3,0,0,3,0,10,4,0,0,0,0,4,60,3,3,0,0,61
215011387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,9,3,0,3,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,9,3,0,0,0,9,221,52,87,74,10,453,480,171,241,160,26,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,20
215011388,0,21,6,0,0,0,0,6,0,0,0,0,0,0,12,4,0,0,0,10,52,0,4,5,0,56,10,0,0,0,0,12,8,0,0,0,0,8,48,0,3,0,0,55,51,4,5,3,0,62,4117,152,179,62,31,4544,6700,442,389,91,80,7698,0,0,0,0,0,0,6,0,0,0,0,14,6,0,0,0,0,5,9,3,0,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,113,6,3,0,0,119,3,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,15,0,0,0,0,16,10,4,0,0,0,15,3,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,13,0,0,0,0,13,22,0,0,0,0,20,7,0,0,0,0,5,50,0,0,0,0,47
215011389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,3,0,0,0,6,205,44,62,71,10,386,509,152,248,169,30,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,5,0,0,0,0,6
215011390,0,7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,20,0,8,0,0,22,0,0,0,0,0,0,3,0,0,0,0,4,30,0,0,6,0,36,14,0,0,0,0,8,1000,60,142,77,13,1289,1594,196,443,184,38,2452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,35,0,0,4,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,5,0,0,5,0,7,16,0,0,0,0,21
