POW_SA2_CODE_2021,LG_650_799_Mng,LG_650_799_Pro,LG_650_799_TecTW,LG_650_799_CoPSW,LG_650_799_ClAW,LG_650_799_SWks,LG_650_799_MaOpDv,LG_650_799_Lab,LG_650_799_IDNS,LG_650_799_Tot,LG_800_999_Mng,LG_800_999_Pro,LG_800_999_TecTW,LG_800_999_CoPSW,LG_800_999_ClAW,LG_800_999_SWks,LG_800_999_MaOpDv,LG_800_999_Lab,LG_800_999_IDNS,LG_800_999_Tot,LG_1000_1249_Mng,LG_1000_1249_Pro,LG_1000_1249_TecTW,LG_1000_1249_CoPSW,LG_1000_1249_ClAW,LG_1000_1249_SWks,LG_1000_1249_MaOpDv,LG_1000_1249_Lab,LG_1000_1249_IDNS,LG_1000_1249_Tot,LG_1250_1499_Mng,LG_1250_1499_Pro,LG_1250_1499_TecTW,LG_1250_1499_CoPSW,LG_1250_1499_ClAW,LG_1250_1499_SWks,LG_1250_1499_MaOpDv,LG_1250_1499_Lab,LG_1250_1499_IDNS,LG_1250_1499_Tot,LG_1500_1749_Mng,LG_1500_1749_Pro,LG_1500_1749_TecTW,LG_1500_1749_CoPSW,LG_1500_1749_ClAW,LG_1500_1749_SWks,LG_1500_1749_MaOpDv,LG_1500_1749_Lab,LG_1500_1749_IDNS,LG_1500_1749_Tot,LG_1750_1999_Mng,LG_1750_1999_Pro,LG_1750_1999_TecTW,LG_1750_1999_CoPSW,LG_1750_1999_ClAW,LG_1750_1999_SWks,LG_1750_1999_MaOpDv,LG_1750_1999_Lab,LG_1750_1999_IDNS,LG_1750_1999_Tot,LG_2000_2999_Mng,LG_2000_2999_Pro,LG_2000_2999_TecTW,LG_2000_2999_CoPSW,LG_2000_2999_ClAW,LG_2000_2999_SWks,LG_2000_2999_MaOpDv,LG_2000_2999_Lab,LG_2000_2999_IDNS,LG_2000_2999_Tot,LG_3000_3499_Mng,LG_3000_3499_Pro,LG_3000_3499_TecTW,LG_3000_3499_CoPSW,LG_3000_3499_ClAW,LG_3000_3499_SWks,LG_3000_3499_MaOpDv,LG_3000_3499_Lab,LG_3000_3499_IDNS,LG_3000_3499_Tot,LG_3500mo_Mng,LG_3500mo_Pro,LG_3500mo_TecTW,LG_3500mo_CoPSW,LG_3500mo_ClAW,LG_3500mo_SWks,LG_3500mo_MaOpDv,LG_3500mo_Lab,LG_3500mo_IDNS,LG_3500mo_Tot,LG_PINS_Mng,LG_PINS_Pro,LG_PINS_TecTW,LG_PINS_CoPSW,LG_PINS_ClAW,LG_PINS_SWks,LG_PINS_MaOpDv,LG_PINS_Lab,LG_PINS_IDNS,LG_PINS_Tot,LG_Tot_Mng,LG_Tot_Pro,LG_Tot_TecTW,LG_Tot_CoPSW,LG_Tot_ClAW,LG_Tot_SWks,LG_Tot_MaOpDv,LG_Tot_Lab,LG_Tot_IDNS,LG_Tot_Tot,Pvte_NNI_Mng,Pvte_NNI_Pro,Pvte_NNI_TecTW,Pvte_NNI_CoPSW,Pvte_NNI_ClAW,Pvte_NNI_SWks,Pvte_NNI_MaOpDv,Pvte_NNI_Lab,Pvte_NNI_IDNS,Pvte_NNI_Tot,Pvte_1_149_Mng,Pvte_1_149_Pro,Pvte_1_149_TecTW,Pvte_1_149_CoPSW,Pvte_1_149_ClAW,Pvte_1_149_SWks,Pvte_1_149_MaOpDv,Pvte_1_149_Lab,Pvte_1_149_IDNS,Pvte_1_149_Tot,Pvte_150_299_Mng,Pvte_150_299_Pro,Pvte_150_299_TecTW,Pvte_150_299_CoPSW,Pvte_150_299_ClAW,Pvte_150_299_SWks,Pvte_150_299_MaOpDv,Pvte_150_299_Lab,Pvte_150_299_IDNS,Pvte_150_299_Tot,Pvte_300_399_Mng,Pvte_300_399_Pro,Pvte_300_399_TecTW,Pvte_300_399_CoPSW,Pvte_300_399_ClAW,Pvte_300_399_SWks,Pvte_300_399_MaOpDv,Pvte_300_399_Lab,Pvte_300_399_IDNS,Pvte_300_399_Tot,Pvte_400_499_Mng,Pvte_400_499_Pro,Pvte_400_499_TecTW,Pvte_400_499_CoPSW,Pvte_400_499_ClAW,Pvte_400_499_SWks,Pvte_400_499_MaOpDv,Pvte_400_499_Lab,Pvte_400_499_IDNS,Pvte_400_499_Tot,Pvte_500_649_Mng,Pvte_500_649_Pro,Pvte_500_649_TecTW,Pvte_500_649_CoPSW,Pvte_500_649_ClAW,Pvte_500_649_SWks,Pvte_500_649_MaOpDv,Pvte_500_649_Lab,Pvte_500_649_IDNS,Pvte_500_649_Tot,Pvte_650_799_Mng,Pvte_650_799_Pro,Pvte_650_799_TecTW,Pvte_650_799_CoPSW,Pvte_650_799_ClAW,Pvte_650_799_SWks,Pvte_650_799_MaOpDv,Pvte_650_799_Lab,Pvte_650_799_IDNS,Pvte_650_799_Tot,Pvte_800_999_Mng,Pvte_800_999_Pro,Pvte_800_999_TecTW,Pvte_800_999_CoPSW,Pvte_800_999_ClAW,Pvte_800_999_SWks,Pvte_800_999_MaOpDv,Pvte_800_999_Lab,Pvte_800_999_IDNS,Pvte_800_999_Tot,Pvte_1000_1249_Mng,Pvte_1000_1249_Pro,Pvte_1000_1249_TecTW,Pvte_1000_1249_CoPSW,Pvte_1000_1249_ClAW,Pvte_1000_1249_SWks,Pvte_1000_1249_MaOpDv,Pvte_1000_1249_Lab,Pvte_1000_1249_IDNS,Pvte_1000_1249_Tot
101031016,0,0,0,3,0,0,0,0,0,5,0,0,4,4,9,0,0,4,0,12,0,0,0,0,7,0,5,3,0,15,0,0,0,0,6,0,3,4,0,18,0,12,0,0,0,0,0,0,0,16,0,6,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,24,8,9,24,0,9,15,0,87,8,5,4,7,0,0,0,9,0,31,4,4,5,36,8,41,4,27,0,126,5,4,6,41,9,20,9,35,0,126,30,4,14,49,11,12,19,46,4,192,22,8,21,90,13,16,39,43,0,259,41,19,45,166,33,44,63,93,4,509,73,20,66,237,62,70,80,130,9,743,73,38,97,209,62,92,64,136,4,778,142,37,141,142,46,61,51,74,8,705
101041017,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,3,0,8,0,0,7,4,0,0,0,3,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,13,4,0,3,8,0,41,0,0,3,4,0,0,0,11,0,23,0,0,0,30,0,61,3,46,0,148,9,4,13,30,10,72,3,33,0,173,10,3,16,16,17,51,10,26,6,154,12,10,34,30,23,69,7,57,3,244,36,13,75,57,45,101,23,69,5,421,40,27,71,72,68,92,33,67,3,481,69,41,127,99,86,116,53,77,7,669,89,57,113,75,79,85,67,54,0,635
101041018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,8,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,26,0,5,0,38,3,4,6,4,0,9,4,8,0,38,3,0,5,7,10,7,0,11,0,49,5,12,17,8,9,9,5,13,0,64,7,7,23,27,18,16,4,14,0,117,9,19,26,41,8,19,0,22,4,153,15,22,37,45,14,21,0,21,0,176,30,22,35,29,18,13,8,19,5,178
101041019,0,4,0,0,10,0,3,0,0,19,3,9,3,3,10,0,3,0,4,30,0,15,5,4,15,0,7,5,3,57,5,8,13,5,18,0,10,14,0,68,6,22,4,0,10,0,5,0,0,52,7,15,3,3,5,0,3,0,0,43,16,5,0,0,8,0,3,0,0,39,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,52,76,33,18,84,3,34,29,11,342,0,3,0,0,0,5,0,5,0,20,0,6,5,38,0,50,0,38,0,141,4,9,8,24,4,39,4,32,0,129,4,13,22,32,11,35,4,24,0,149,13,23,29,35,26,31,11,46,3,218,17,39,45,80,55,61,15,54,0,376,29,51,54,95,66,82,18,82,0,481,55,69,95,97,91,74,31,102,9,623,55,117,87,104,87,52,59,126,4,688
101041020,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,13,33,0,0,0,0,0,0,0,0,44,29,6,4,8,3,0,0,16,0,74,25,10,6,4,8,3,0,11,0,73,44,4,10,4,6,9,7,8,0,105,44,11,14,7,4,0,4,19,5,115,56,19,42,12,17,7,10,22,0,182,63,13,21,19,18,12,7,33,5,191,50,26,39,15,15,5,21,32,5,201,67,18,25,21,11,4,15,22,0,178
101041021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,7,0,4,0,11,0,14,0,7,0,34,0,0,0,10,6,3,0,5,0,32,0,0,3,8,0,6,0,12,0,36,9,4,9,16,3,4,0,6,0,47,0,6,13,26,5,10,0,10,0,76,5,7,25,44,9,5,6,16,0,114,4,13,20,31,12,6,3,15,0,105,8,15,25,27,6,0,0,9,0,100
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,8,4,6,9,0,13,0,37,0,0,0,9,0,12,3,10,0,39,3,8,10,10,10,10,4,17,0,72,3,8,11,10,9,9,0,15,0,70,9,19,17,24,16,13,0,46,0,138,3,5,16,29,24,20,3,29,0,133,16,7,29,24,19,17,16,42,0,165,19,15,47,18,19,22,19,20,0,178
101041024,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,0,0,0,8,0,20,8,0,0,0,0,3,0,3,3,21,4,0,0,7,0,5,0,9,0,24,10,0,8,0,4,4,3,3,0,33,3,0,9,7,6,0,5,10,0,37,13,0,10,7,4,6,3,9,0,51,21,0,14,11,9,6,8,14,0,90,17,3,13,11,11,14,8,12,0,92,25,7,29,5,15,5,6,21,0,112,26,5,17,6,9,6,20,18,0,114
101041025,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,10,0,0,0,0,6,0,0,3,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,9,0,8,8,0,44,8,0,0,4,0,4,4,3,0,24,3,4,3,38,7,76,3,51,0,193,5,8,11,35,8,41,7,23,5,141,17,13,16,34,19,43,4,40,4,184,20,13,33,55,15,42,8,49,0,247,18,21,57,85,49,87,13,64,0,398,34,30,104,109,78,72,27,69,4,516,56,39,113,94,73,79,45,58,0,556,79,55,114,78,70,46,42,51,4,529
101041026,4,0,4,4,6,0,0,7,0,29,3,3,3,5,12,0,13,9,0,59,0,13,15,14,38,0,14,13,3,102,5,23,16,3,26,0,12,0,0,81,9,31,11,0,13,0,0,0,0,69,3,9,6,0,3,0,0,0,0,21,10,5,7,3,0,0,0,0,0,27,4,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,42,98,63,49,113,3,41,33,8,445,0,0,4,0,6,3,0,6,0,11,4,0,8,18,3,52,7,23,0,119,0,5,14,17,9,20,4,18,5,89,10,9,14,21,9,15,6,21,5,106,10,13,35,24,26,33,9,37,0,179,21,21,48,62,29,38,16,42,8,274,11,24,62,66,70,45,18,43,4,341,35,47,71,65,72,42,42,39,6,423,55,49,77,47,49,28,45,29,3,375
