POW_SA2_CODE_2021,LG_650_799_Mng,LG_650_799_Pro,LG_650_799_TecTW,LG_650_799_CoPSW,LG_650_799_ClAW,LG_650_799_SWks,LG_650_799_MaOpDv,LG_650_799_Lab,LG_650_799_IDNS,LG_650_799_Tot,LG_800_999_Mng,LG_800_999_Pro,LG_800_999_TecTW,LG_800_999_CoPSW,LG_800_999_ClAW,LG_800_999_SWks,LG_800_999_MaOpDv,LG_800_999_Lab,LG_800_999_IDNS,LG_800_999_Tot,LG_1000_1249_Mng,LG_1000_1249_Pro,LG_1000_1249_TecTW,LG_1000_1249_CoPSW,LG_1000_1249_ClAW,LG_1000_1249_SWks,LG_1000_1249_MaOpDv,LG_1000_1249_Lab,LG_1000_1249_IDNS,LG_1000_1249_Tot,LG_1250_1499_Mng,LG_1250_1499_Pro,LG_1250_1499_TecTW,LG_1250_1499_CoPSW,LG_1250_1499_ClAW,LG_1250_1499_SWks,LG_1250_1499_MaOpDv,LG_1250_1499_Lab,LG_1250_1499_IDNS,LG_1250_1499_Tot,LG_1500_1749_Mng,LG_1500_1749_Pro,LG_1500_1749_TecTW,LG_1500_1749_CoPSW,LG_1500_1749_ClAW,LG_1500_1749_SWks,LG_1500_1749_MaOpDv,LG_1500_1749_Lab,LG_1500_1749_IDNS,LG_1500_1749_Tot,LG_1750_1999_Mng,LG_1750_1999_Pro,LG_1750_1999_TecTW,LG_1750_1999_CoPSW,LG_1750_1999_ClAW,LG_1750_1999_SWks,LG_1750_1999_MaOpDv,LG_1750_1999_Lab,LG_1750_1999_IDNS,LG_1750_1999_Tot,LG_2000_2999_Mng,LG_2000_2999_Pro,LG_2000_2999_TecTW,LG_2000_2999_CoPSW,LG_2000_2999_ClAW,LG_2000_2999_SWks,LG_2000_2999_MaOpDv,LG_2000_2999_Lab,LG_2000_2999_IDNS,LG_2000_2999_Tot,LG_3000_3499_Mng,LG_3000_3499_Pro,LG_3000_3499_TecTW,LG_3000_3499_CoPSW,LG_3000_3499_ClAW,LG_3000_3499_SWks,LG_3000_3499_MaOpDv,LG_3000_3499_Lab,LG_3000_3499_IDNS,LG_3000_3499_Tot,LG_3500mo_Mng,LG_3500mo_Pro,LG_3500mo_TecTW,LG_3500mo_CoPSW,LG_3500mo_ClAW,LG_3500mo_SWks,LG_3500mo_MaOpDv,LG_3500mo_Lab,LG_3500mo_IDNS,LG_3500mo_Tot,LG_PINS_Mng,LG_PINS_Pro,LG_PINS_TecTW,LG_PINS_CoPSW,LG_PINS_ClAW,LG_PINS_SWks,LG_PINS_MaOpDv,LG_PINS_Lab,LG_PINS_IDNS,LG_PINS_Tot,LG_Tot_Mng,LG_Tot_Pro,LG_Tot_TecTW,LG_Tot_CoPSW,LG_Tot_ClAW,LG_Tot_SWks,LG_Tot_MaOpDv,LG_Tot_Lab,LG_Tot_IDNS,LG_Tot_Tot,Pvte_NNI_Mng,Pvte_NNI_Pro,Pvte_NNI_TecTW,Pvte_NNI_CoPSW,Pvte_NNI_ClAW,Pvte_NNI_SWks,Pvte_NNI_MaOpDv,Pvte_NNI_Lab,Pvte_NNI_IDNS,Pvte_NNI_Tot,Pvte_1_149_Mng,Pvte_1_149_Pro,Pvte_1_149_TecTW,Pvte_1_149_CoPSW,Pvte_1_149_ClAW,Pvte_1_149_SWks,Pvte_1_149_MaOpDv,Pvte_1_149_Lab,Pvte_1_149_IDNS,Pvte_1_149_Tot,Pvte_150_299_Mng,Pvte_150_299_Pro,Pvte_150_299_TecTW,Pvte_150_299_CoPSW,Pvte_150_299_ClAW,Pvte_150_299_SWks,Pvte_150_299_MaOpDv,Pvte_150_299_Lab,Pvte_150_299_IDNS,Pvte_150_299_Tot,Pvte_300_399_Mng,Pvte_300_399_Pro,Pvte_300_399_TecTW,Pvte_300_399_CoPSW,Pvte_300_399_ClAW,Pvte_300_399_SWks,Pvte_300_399_MaOpDv,Pvte_300_399_Lab,Pvte_300_399_IDNS,Pvte_300_399_Tot,Pvte_400_499_Mng,Pvte_400_499_Pro,Pvte_400_499_TecTW,Pvte_400_499_CoPSW,Pvte_400_499_ClAW,Pvte_400_499_SWks,Pvte_400_499_MaOpDv,Pvte_400_499_Lab,Pvte_400_499_IDNS,Pvte_400_499_Tot,Pvte_500_649_Mng,Pvte_500_649_Pro,Pvte_500_649_TecTW,Pvte_500_649_CoPSW,Pvte_500_649_ClAW,Pvte_500_649_SWks,Pvte_500_649_MaOpDv,Pvte_500_649_Lab,Pvte_500_649_IDNS,Pvte_500_649_Tot,Pvte_650_799_Mng,Pvte_650_799_Pro,Pvte_650_799_TecTW,Pvte_650_799_CoPSW,Pvte_650_799_ClAW,Pvte_650_799_SWks,Pvte_650_799_MaOpDv,Pvte_650_799_Lab,Pvte_650_799_IDNS,Pvte_650_799_Tot,Pvte_800_999_Mng,Pvte_800_999_Pro,Pvte_800_999_TecTW,Pvte_800_999_CoPSW,Pvte_800_999_ClAW,Pvte_800_999_SWks,Pvte_800_999_MaOpDv,Pvte_800_999_Lab,Pvte_800_999_IDNS,Pvte_800_999_Tot,Pvte_1000_1249_Mng,Pvte_1000_1249_Pro,Pvte_1000_1249_TecTW,Pvte_1000_1249_CoPSW,Pvte_1000_1249_ClAW,Pvte_1000_1249_SWks,Pvte_1000_1249_MaOpDv,Pvte_1000_1249_Lab,Pvte_1000_1249_IDNS,Pvte_1000_1249_Tot
101021007,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,9,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,8,14,0,31,21,0,0,0,0,4,0,6,0,33,18,5,4,11,0,3,0,14,0,51,13,9,3,7,6,0,0,17,0,60,16,13,8,5,8,12,0,12,4,67,20,5,10,9,3,7,0,3,5,65,16,8,18,6,14,8,0,12,0,82,21,8,31,14,10,14,5,17,0,115,24,14,16,20,17,11,8,19,0,131,35,19,16,11,13,7,27,23,0,146
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,10,3,8,0,0,0,22,0,0,4,4,4,11,3,3,0,26,0,0,0,9,0,3,0,3,0,21,0,0,0,3,11,3,5,3,0,30,0,5,9,12,3,7,0,4,0,43,6,0,21,9,8,4,0,15,0,71,7,6,33,24,7,10,7,13,0,104,16,8,39,20,12,3,12,8,0,120
101021009,0,0,0,0,3,0,0,0,0,11,0,0,0,0,7,0,5,3,0,13,0,4,3,3,4,0,5,0,3,23,4,12,15,3,13,0,0,0,0,49,0,22,4,0,6,0,0,0,0,36,3,3,4,0,4,0,0,0,0,14,13,6,0,3,3,0,0,0,0,26,6,3,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,31,61,24,14,48,0,8,10,3,208,5,0,0,3,0,9,0,3,0,16,7,3,10,34,13,57,3,23,0,140,0,11,10,50,8,40,6,34,0,148,4,12,11,41,10,35,7,16,0,141,6,15,22,45,18,52,4,26,0,186,10,20,44,79,35,57,11,45,8,318,14,33,78,96,49,71,25,49,4,413,42,58,95,116,68,69,44,65,8,565,52,89,124,115,106,50,47,59,7,644
101021010,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,8,0,15,0,0,0,0,5,0,4,0,0,13,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,15,0,8,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,21,11,0,11,0,8,17,0,70,0,0,5,4,0,0,0,3,0,15,0,0,6,3,4,36,0,34,0,84,4,0,3,9,7,41,4,25,0,90,4,0,10,6,7,16,5,4,0,57,10,8,13,9,15,16,8,10,7,85,9,6,44,9,21,25,19,24,3,151,9,11,67,16,23,28,26,28,0,211,20,14,103,18,48,25,74,54,5,360,42,29,159,20,56,31,137,64,9,543
101021012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,11,0,3,4,11,4,44,4,32,0,99,0,4,11,12,0,22,7,19,0,77,5,9,8,16,4,20,5,13,0,78,3,7,21,13,3,9,3,11,0,69,3,8,31,15,17,19,6,14,0,115,11,5,59,28,32,24,6,26,0,192,22,14,73,28,32,22,50,34,0,268,39,27,97,19,47,17,63,57,8,372
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,14,0,12,0,31,0,3,4,5,4,5,0,0,0,22,0,3,0,3,3,3,0,4,0,24,0,0,6,5,0,0,0,3,0,19,0,0,8,9,3,11,0,7,0,41,0,9,13,15,7,3,0,4,0,44,3,5,15,13,5,8,3,10,0,71,10,3,35,12,11,3,6,11,0,91
101021611,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,17,0,0,0,0,5,0,0,0,0,11,0,8,3,0,4,0,3,0,0,15,0,6,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,3,0,15,0,15,3,5,61,19,3,5,6,7,0,4,3,4,44,8,3,12,35,4,23,4,17,0,111,17,9,14,25,10,20,3,17,0,114,6,4,7,11,7,6,4,17,0,77,21,14,17,19,6,4,0,22,0,110,26,17,27,13,27,14,3,20,0,154,40,17,34,23,25,15,8,18,0,179,33,19,52,37,33,16,10,34,4,239,53,23,83,19,33,15,30,31,4,288
101031013,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,8,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,9,11,0,37,11,0,0,0,0,0,0,4,0,18,3,0,0,4,0,8,0,11,0,27,4,0,0,0,0,7,0,10,0,27,4,0,0,9,6,4,0,9,0,39,8,0,7,4,0,4,0,13,0,41,24,0,6,20,6,11,5,11,0,77,32,4,9,18,13,11,8,10,0,106,24,9,9,10,9,10,10,29,0,118,20,6,7,4,13,3,20,31,0,122
101031014,0,0,0,7,0,0,3,0,0,12,0,0,0,6,6,0,0,3,0,16,0,3,4,8,17,0,9,13,0,52,5,9,3,8,13,0,6,3,0,47,10,8,0,0,0,0,0,0,0,22,0,5,0,0,0,0,0,0,0,11,0,10,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,22,27,15,22,47,0,20,26,3,183,0,0,0,0,0,4,0,0,3,16,0,0,8,17,5,50,3,28,0,114,6,11,5,16,15,20,10,15,0,92,9,5,11,16,11,23,3,18,0,101,12,12,24,25,13,29,6,28,0,155,16,17,19,42,39,52,13,40,6,251,24,20,36,56,51,79,17,50,4,340,41,42,66,66,61,90,40,35,0,449,42,44,67,50,56,44,46,43,9,402
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,4,5,0,21,8,0,0,4,0,0,0,7,0,21,15,0,0,0,4,3,0,12,0,36,15,0,6,0,0,0,0,8,0,34,21,0,0,3,0,0,0,7,0,41,16,5,4,3,3,0,0,8,3,51,20,0,4,5,6,5,9,16,0,67,39,0,5,7,0,0,4,10,0,68,29,3,11,4,7,3,4,18,0,78
