POW_SA2_CODE_2021,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Taiwan_E,P_Taiwan_OM_IE,P_Taiwan_OM_UIE,P_Taiwan_CFW,P_Taiwan_ES_NS,P_Taiwan_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
108051170,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,5,13,12,19,9,0,61,0,0,0,0,0,3,0,0,0,0,0,0,13,0,7,3,0,32,20,6,5,4,0,31,854,181,461,238,47,1778
108051171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,0,3,0,0,31,4,0,0,0,0,4,3,0,0,0,0,3,25,8,0,0,0,26,15,0,7,0,0,29,1285,65,139,21,23,1530
109011172,9,0,0,0,0,9,89,0,0,0,0,90,0,0,0,0,0,0,5,0,0,0,0,5,21,0,3,0,0,25,9,0,0,0,0,14,0,0,0,0,0,0,15,0,0,0,0,16,163,9,7,0,4,180,12,0,0,0,0,13,5,0,0,0,0,3,152,5,7,4,0,166,47,0,0,0,3,50,6067,332,372,50,37,6864
109011173,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,4,6,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,40,7,3,0,0,49,4,0,0,0,0,7,0,0,0,0,0,0,29,0,0,5,0,32,15,3,4,0,0,20,1676,139,189,29,15,2053
109011174,12,4,0,0,0,20,100,4,0,0,0,104,7,0,0,0,0,6,8,0,0,0,0,8,45,0,7,0,0,53,30,3,0,0,0,32,7,0,4,0,0,7,23,3,8,0,0,35,275,25,20,5,0,322,30,0,0,0,0,36,24,0,0,0,0,29,219,10,13,3,0,244,60,3,3,0,10,79,12212,788,640,113,82,13836
109011175,0,0,0,0,0,0,30,0,0,0,0,28,0,0,0,0,0,0,6,0,0,0,0,6,10,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,22,0,0,74,3,0,0,0,0,6,0,0,0,0,0,0,22,0,7,5,0,32,34,10,17,7,0,67,2416,369,562,272,66,3682
109011176,6,4,5,0,0,13,61,0,0,0,3,63,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,24,7,0,0,0,0,9,0,0,0,0,0,0,5,0,3,0,0,6,82,7,10,5,0,103,5,0,0,0,0,6,6,0,0,0,0,11,71,6,4,0,0,83,27,0,0,0,0,30,4096,293,344,44,31,4815
109021177,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,3,10,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,12,19,0,3,3,4,28,894,97,137,69,27,1233
109021178,6,0,0,0,0,6,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,15,0,0,0,0,15,11,0,0,0,0,11,38,0,6,5,0,45,3,0,0,0,0,3,3,0,0,0,0,3,79,0,6,4,0,83,31,0,4,5,6,50,1876,132,182,73,38,2305
109021179,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,6,3,0,0,0,9,7,0,0,0,0,7,10,3,0,0,0,16,0,0,0,0,0,0,9,0,0,0,0,11,78,3,0,0,0,81,13,8,5,3,0,28,1299,177,191,137,23,1833
