POW_SA2_CODE_2021,M_NegNilInc_E,M_NegNilInc_OM_IE,M_NegNilInc_OM_UIE,M_NegNilInc_CFW,M_NegNilInc_ES_NS,M_NegNilInc_Tot,M_1_149_E,M_1_149_OM_IE,M_1_149_OM_UIE,M_1_149_CFW,M_1_149_ES_NS,M_1_149_Tot,M_150_299_E,M_150_299_OM_IE,M_150_299_OM_UIE,M_150_299_CFW,M_150_299_ES_NS,M_150_299_Tot,M_300_399_E,M_300_399_OM_IE,M_300_399_OM_UIE,M_300_399_CFW,M_300_399_ES_NS,M_300_399_Tot,M_400_499_E,M_400_499_OM_IE,M_400_499_OM_UIE,M_400_499_CFW,M_400_499_ES_NS,M_400_499_Tot,M_500_649_E,M_500_649_OM_IE,M_500_649_OM_UIE,M_500_649_CFW,M_500_649_ES_NS,M_500_649_Tot,M_650_799_E,M_650_799_OM_IE,M_650_799_OM_UIE,M_650_799_CFW,M_650_799_ES_NS,M_650_799_Tot,M_800_999_E,M_800_999_OM_IE,M_800_999_OM_UIE,M_800_999_CFW,M_800_999_ES_NS,M_800_999_Tot,M_1000_1249_E,M_1000_1249_OM_IE,M_1000_1249_OM_UIE,M_1000_1249_CFW,M_1000_1249_ES_NS,M_1000_1249_Tot,M_1250_1499_E,M_1250_1499_OM_IE,M_1250_1499_OM_UIE,M_1250_1499_CFW,M_1250_1499_ES_NS,M_1250_1499_Tot,M_1500_1749_E,M_1500_1749_OM_IE,M_1500_1749_OM_UIE,M_1500_1749_CFW,M_1500_1749_ES_NS,M_1500_1749_Tot,M_1750_1999_E,M_1750_1999_OM_IE,M_1750_1999_OM_UIE,M_1750_1999_CFW,M_1750_1999_ES_NS,M_1750_1999_Tot,M_2000_2999_E,M_2000_2999_OM_IE,M_2000_2999_OM_UIE,M_2000_2999_CFW,M_2000_2999_ES_NS,M_2000_2999_Tot,M_3000_3499_E,M_3000_3499_OM_IE,M_3000_3499_OM_UIE,M_3000_3499_CFW,M_3000_3499_ES_NS,M_3000_3499_Tot,M_3500mo_E,M_3500mo_OM_IE,M_3500mo_OM_UIE,M_3500mo_CFW,M_3500mo_ES_NS,M_3500mo_Tot,M_PersInc_NS_E,M_PersInc_NS_OM_IE,M_PersInc_NS_OM_UIE,M_PersInc_NS_CFW,M_PersInc_NS_ES_NS,M_PersInc_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_NegNilInc_E,F_NegNilInc_OM_IE,F_NegNilInc_OM_UIE,F_NegNilInc_CFW,F_NegNilInc_ES_NS,F_NegNilInc_Tot,F_1_149_E,F_1_149_OM_IE,F_1_149_OM_UIE,F_1_149_CFW,F_1_149_ES_NS,F_1_149_Tot,F_150_299_E,F_150_299_OM_IE,F_150_299_OM_UIE,F_150_299_CFW,F_150_299_ES_NS,F_150_299_Tot,F_300_399_E,F_300_399_OM_IE,F_300_399_OM_UIE,F_300_399_CFW,F_300_399_ES_NS,F_300_399_Tot,F_400_499_E,F_400_499_OM_IE,F_400_499_OM_UIE,F_400_499_CFW,F_400_499_ES_NS,F_400_499_Tot,F_500_649_E,F_500_649_OM_IE,F_500_649_OM_UIE,F_500_649_CFW,F_500_649_ES_NS,F_500_649_Tot,F_650_799_E,F_650_799_OM_IE,F_650_799_OM_UIE,F_650_799_CFW,F_650_799_ES_NS,F_650_799_Tot,F_800_999_E,F_800_999_OM_IE,F_800_999_OM_UIE,F_800_999_CFW,F_800_999_ES_NS,F_800_999_Tot,F_1000_1249_E,F_1000_1249_OM_IE,F_1000_1249_OM_UIE,F_1000_1249_CFW,F_1000_1249_ES_NS,F_1000_1249_Tot,F_1250_1499_E,F_1250_1499_OM_IE,F_1250_1499_OM_UIE,F_1250_1499_CFW,F_1250_1499_ES_NS,F_1250_1499_Tot,F_1500_1749_E,F_1500_1749_OM_IE,F_1500_1749_OM_UIE,F_1500_1749_CFW,F_1500_1749_ES_NS,F_1500_1749_Tot,F_1750_1999_E,F_1750_1999_OM_IE,F_1750_1999_OM_UIE,F_1750_1999_CFW,F_1750_1999_ES_NS,F_1750_1999_Tot,F_2000_2999_E,F_2000_2999_OM_IE,F_2000_2999_OM_UIE,F_2000_2999_CFW,F_2000_2999_ES_NS,F_2000_2999_Tot,F_3000_3499_E,F_3000_3499_OM_IE,F_3000_3499_OM_UIE,F_3000_3499_CFW,F_3000_3499_ES_NS,F_3000_3499_Tot,F_3500mo_E,F_3500mo_OM_IE,F_3500mo_OM_UIE,F_3500mo_CFW,F_3500mo_ES_NS,F_3500mo_Tot,F_PersInc_NS_E,F_PersInc_NS_OM_IE,F_PersInc_NS_OM_UIE,F_PersInc_NS_CFW,F_PersInc_NS_ES_NS,F_PersInc_NS_Tot,F_Tot_E,F_Tot_OM_IE
511021277,5,0,0,8,0,9,21,0,0,4,0,28,13,0,3,0,0,18,15,0,4,0,0,23,22,3,3,0,0,32,43,5,14,0,0,59,70,0,10,0,3,86,114,13,14,0,3,141,123,23,12,0,0,167,99,25,12,0,0,142,117,11,3,0,5,135,78,8,11,0,0,104,201,21,11,0,3,235,45,4,0,0,0,54,63,14,10,0,0,88,17,4,0,3,0,22,1045,143,112,19,21,1349,3,0,0,4,0,6,26,0,5,0,0,30,37,6,3,0,3,46,31,0,3,0,0,36,59,0,12,0,0,69,107,9,9,0,0,118,154,3,9,0,0,179,179,15,15,0,4,208,186,11,8,0,0,209,90,10,6,0,4,108,65,12,0,0,0,76,36,10,3,0,0,50,43,10,4,0,0,58,14,0,0,0,0,13,11,6,0,0,4,16,10,0,0,3,0,17,1037,82
511031278,3,0,0,0,0,7,8,0,0,0,0,9,4,0,0,0,0,5,9,0,0,0,0,9,8,0,3,0,0,15,24,0,5,0,0,31,25,5,4,5,0,33,45,5,5,3,0,66,68,11,7,0,0,85,81,5,3,0,0,92,135,16,3,0,0,148,134,10,7,0,3,158,305,16,8,0,0,333,76,21,0,0,0,96,61,18,6,0,0,80,9,0,0,0,0,12,989,107,59,12,6,1179,0,0,0,9,0,10,10,0,0,0,0,18,21,0,4,0,0,25,25,0,6,0,0,27,25,3,5,0,0,28,62,0,3,3,0,66,71,4,4,0,0,76,73,0,0,0,0,86,58,9,10,0,0,75,58,7,3,0,0,63,78,6,8,0,0,91,51,3,0,0,0,59,58,5,3,0,0,62,9,3,0,0,0,10,3,0,0,0,0,3,4,0,0,0,0,8,604,42
511031279,16,0,0,3,0,26,106,0,0,5,0,111,56,5,7,3,0,64,52,6,0,5,0,56,73,3,0,0,0,75,114,5,0,0,0,119,160,13,5,0,3,185,243,11,14,0,0,279,414,18,23,0,4,462,417,24,13,0,4,452,507,44,19,3,0,577,520,31,12,0,0,569,1264,62,25,7,3,1356,363,44,4,0,3,415,304,82,10,0,3,397,69,0,0,0,6,70,4685,340,140,31,32,5223,18,3,5,10,0,34,154,0,6,0,3,166,136,3,3,4,4,151,155,8,9,0,0,172,190,6,7,0,0,208,370,4,8,8,0,394,480,12,8,0,4,501,560,13,16,3,0,598,670,25,19,4,9,722,501,16,15,0,0,524,400,29,14,6,3,447,272,14,9,0,5,300,307,22,9,0,0,345,50,14,4,3,0,74,34,28,10,3,0,75,29,0,3,0,0,42,4315,199
511031280,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,6,9,0,0,0,0,9,3,0,0,0,0,7,12,3,5,0,0,21,16,0,0,0,0,20,18,0,3,0,0,21,32,4,3,0,3,46,25,4,0,0,0,35,36,3,3,0,0,42,35,3,3,0,0,46,65,11,6,0,0,84,19,0,3,0,0,18,22,10,0,0,0,35,10,0,0,0,0,9,307,45,35,6,3,395,0,0,0,0,0,0,13,0,6,0,0,13,8,0,8,0,0,17,18,0,3,0,0,19,25,0,3,5,0,30,38,3,6,0,0,43,67,3,3,0,0,74,69,0,3,0,0,78,130,0,9,0,0,132,94,4,6,0,0,97,86,4,3,0,0,95,65,3,3,0,0,74,97,3,3,0,0,110,7,0,0,0,0,16,17,0,0,0,0,19,0,0,0,0,0,9,737,23
511031281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,5,0,0,0,0,5,9,0,0,0,0,9,0,0,0,0,0,0,13,0,0,0,0,13,11,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,18,0,0,0,0,18,4,0,0,0,0,4,6,0,0,0,0,6,6,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
511031282,4,0,0,3,0,9,12,0,0,0,0,10,15,0,4,4,0,19,18,0,0,0,0,19,14,0,3,0,0,15,27,3,3,0,0,38,36,0,6,0,0,45,59,0,6,0,0,58,102,3,7,0,0,112,161,3,0,0,0,171,277,10,0,0,0,287,373,10,3,0,3,386,1449,14,3,0,3,1471,506,9,4,0,0,513,503,7,3,0,0,520,42,0,0,0,0,48,3588,65,43,5,13,3717,8,0,0,9,0,13,23,0,0,0,0,24,15,0,0,0,0,18,19,0,0,0,0,21,20,0,4,0,0,29,51,0,5,0,0,51,73,0,0,0,0,80,93,5,3,0,0,101,129,3,6,0,0,135,133,3,0,0,3,142,171,0,0,0,0,173,136,0,0,0,0,136,236,0,0,0,0,242,47,0,0,0,0,47,24,0,0,0,0,29,16,0,0,0,0,23,1206,14
511031283,8,0,0,0,0,10,10,0,0,0,0,7,17,0,0,0,0,18,18,0,0,0,0,16,15,4,4,0,0,18,26,4,0,0,0,31,27,0,5,0,0,35,71,0,0,0,0,71,145,3,4,3,0,152,241,5,3,0,3,252,407,5,8,0,4,422,680,9,3,0,5,696,2591,4,0,0,3,2615,859,0,0,0,0,862,763,18,8,0,0,785,69,4,7,0,0,76,5942,55,52,13,18,6082,8,0,0,3,0,10,12,0,0,0,0,12,28,0,7,0,0,33,12,0,3,0,0,19,17,0,0,0,0,17,40,0,0,0,0,45,55,0,0,0,0,61,67,0,4,0,0,69,136,0,6,6,0,141,218,0,0,0,0,220,234,0,0,0,0,235,190,4,0,0,3,198,386,0,0,0,0,387,64,0,0,0,0,64,37,0,0,0,0,40,18,5,0,0,5,27,1510,8
511031284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,12,0,0,0,0,12,25,0,0,0,0,25,59,0,0,0,0,59,80,0,0,0,0,80,283,0,0,0,0,284,75,4,0,0,0,78,58,3,0,0,0,58,10,0,0,0,0,10,612,8,0,0,0,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,13,0,0,0,0,13,22,0,0,0,3,24,44,0,0,0,0,44,56,0,0,0,0,58,33,0,0,0,0,33,59,0,0,0,0,62,6,0,0,0,0,6,7,0,0,0,0,7,4,0,0,0,0,4,251,0
511041285,17,5,0,6,0,21,156,5,0,5,0,160,117,3,3,3,0,130,82,6,6,3,0,103,133,4,15,6,0,156,231,3,20,0,0,256,344,11,29,7,0,387,483,23,42,3,8,556,616,44,47,3,6,710,490,31,32,6,0,572,491,44,24,0,0,570,404,38,18,3,3,468,798,77,23,7,3,917,120,33,14,0,0,164,122,82,25,4,0,233,26,3,3,3,4,35,4645,400,307,58,31,5433,21,0,0,11,0,38,308,0,3,5,0,318,252,0,15,0,0,271,223,5,14,5,0,246,323,3,25,0,0,349,602,9,25,3,4,638,759,20,32,5,8,820,844,18,35,6,5,909,941,19,31,3,0,999,656,20,18,3,0,707,541,23,12,7,0,583,365,18,10,8,0,393,411,32,25,3,0,469,41,11,13,4,0,65,49,20,10,6,0,79,37,0,0,0,3,45,6379,190
511041286,0,0,0,6,0,9,4,0,0,0,0,4,5,0,3,0,0,7,12,0,0,0,0,13,7,3,3,0,0,14,27,0,7,3,0,43,54,4,7,8,4,68,90,0,9,4,0,112,127,10,10,4,0,151,148,6,8,8,0,165,184,13,13,0,0,206,187,3,6,7,0,198,407,14,8,0,0,428,80,9,3,0,0,90,35,3,5,0,0,45,13,0,0,0,0,15,1378,76,81,26,3,1572,3,0,0,0,0,3,14,0,0,0,0,14,24,0,5,0,0,31,30,0,9,0,0,38,35,0,5,0,0,39,64,3,6,0,0,75,74,4,3,3,0,87,97,0,11,0,3,111,96,8,6,4,0,109,78,3,5,3,0,90,62,8,7,0,0,83,45,4,3,0,0,50,78,8,0,0,0,90,9,4,0,0,0,9,8,5,0,0,0,11,10,0,0,0,0,7,722,41
