POW_SA2_CODE_2021,NS_ArtsR_Bf_91,NS_ArtsR_91_95,NS_ArtsR_96_00,NS_ArtsR_01_05,NS_ArtsR_06_10,NS_ArtsR_11_15,NS_ArtsR_16_20,NS_ArtsR_2021,NS_ArtsR_NS,NS_ArtsR_Tot,NS_OthSvs_Bf_91,NS_OthSvs_91_95,NS_OthSvs_96_00,NS_OthSvs_01_05,NS_OthSvs_06_10,NS_OthSvs_11_15,NS_OthSvs_16_20,NS_OthSvs_2021,NS_OthSvs_NS,NS_OthSvs_Tot,NS_IDNS_Bf_91,NS_IDNS_91_95,NS_IDNS_96_00,NS_IDNS_01_05,NS_IDNS_06_10,NS_IDNS_11_15,NS_IDNS_16_20,NS_IDNS_2021,NS_IDNS_NS,NS_IDNS_Tot,NS_Tot_Bf_91,NS_Tot_91_95,NS_Tot_96_00,NS_Tot_01_05,NS_Tot_06_10,NS_Tot_11_15,NS_Tot_16_20,NS_Tot_2021,NS_Tot_NS,NS_Tot_Tot,Tot_AGFF_Bf_91,Tot_AGFF_91_95,Tot_AGFF_96_00,Tot_AGFF_01_05,Tot_AGFF_06_10,Tot_AGFF_11_15,Tot_AGFF_16_20,Tot_AGFF_2021,Tot_AGFF_NS,Tot_AGFF_Tot,Tot_Min_Bf_91,Tot_Min_91_95,Tot_Min_96_00,Tot_Min_01_05,Tot_Min_06_10,Tot_Min_11_15,Tot_Min_16_20,Tot_Min_2021,Tot_Min_NS,Tot_Min_Tot,Tot_Mnf_Bf_91,Tot_Mnf_91_95,Tot_Mnf_96_00,Tot_Mnf_01_05,Tot_Mnf_06_10,Tot_Mnf_11_15,Tot_Mnf_16_20,Tot_Mnf_2021,Tot_Mnf_NS,Tot_Mnf_Tot,Tot_EGWWS_Bf_91,Tot_EGWWS_91_95,Tot_EGWWS_96_00,Tot_EGWWS_01_05,Tot_EGWWS_06_10,Tot_EGWWS_11_15,Tot_EGWWS_16_20,Tot_EGWWS_2021,Tot_EGWWS_NS,Tot_EGWWS_Tot,Tot_Const_Bf_91,Tot_Const_91_95,Tot_Const_96_00,Tot_Const_01_05,Tot_Const_06_10,Tot_Const_11_15,Tot_Const_16_20,Tot_Const_2021,Tot_Const_NS,Tot_Const_Tot,Tot_WST_Bf_91,Tot_WST_91_95,Tot_WST_96_00,Tot_WST_01_05,Tot_WST_06_10,Tot_WST_11_15,Tot_WST_16_20,Tot_WST_2021,Tot_WST_NS,Tot_WST_Tot,Tot_RetT_Bf_91,Tot_RetT_91_95,Tot_RetT_96_00,Tot_RetT_01_05,Tot_RetT_06_10,Tot_RetT_11_15,Tot_RetT_16_20,Tot_RetT_2021,Tot_RetT_NS,Tot_RetT_Tot,Tot_AcFd_Bf_91,Tot_AcFd_91_95,Tot_AcFd_96_00,Tot_AcFd_01_05,Tot_AcFd_06_10,Tot_AcFd_11_15,Tot_AcFd_16_20,Tot_AcFd_2021,Tot_AcFd_NS,Tot_AcFd_Tot,Tot_TPW_Bf_91,Tot_TPW_91_95,Tot_TPW_96_00,Tot_TPW_01_05,Tot_TPW_06_10,Tot_TPW_11_15,Tot_TPW_16_20,Tot_TPW_2021,Tot_TPW_NS,Tot_TPW_Tot,Tot_IMT_Bf_91,Tot_IMT_91_95,Tot_IMT_96_00,Tot_IMT_01_05,Tot_IMT_06_10,Tot_IMT_11_15,Tot_IMT_16_20,Tot_IMT_2021,Tot_IMT_NS,Tot_IMT_Tot,Tot_FinIns_Bf_91,Tot_FinIns_91_95,Tot_FinIns_96_00,Tot_FinIns_01_05,Tot_FinIns_06_10,Tot_FinIns_11_15,Tot_FinIns_16_20,Tot_FinIns_2021,Tot_FinIns_NS,Tot_FinIns_Tot,Tot_RHRE_Bf_91,Tot_RHRE_91_95,Tot_RHRE_96_00,Tot_RHRE_01_05,Tot_RHRE_06_10,Tot_RHRE_11_15,Tot_RHRE_16_20,Tot_RHRE_2021,Tot_RHRE_NS,Tot_RHRE_Tot,Tot_ProSTS_Bf_91,Tot_ProSTS_91_95,Tot_ProSTS_96_00,Tot_ProSTS_01_05,Tot_ProSTS_06_10,Tot_ProSTS_11_15,Tot_ProSTS_16_20,Tot_ProSTS_2021,Tot_ProSTS_NS,Tot_ProSTS_Tot,Tot_AdSup_Bf_91,Tot_AdSup_91_95,Tot_AdSup_96_00,Tot_AdSup_01_05,Tot_AdSup_06_10,Tot_AdSup_11_15,Tot_AdSup_16_20,Tot_AdSup_2021,Tot_AdSup_NS,Tot_AdSup_Tot,Tot_PubAS_Bf_91,Tot_PubAS_91_95,Tot_PubAS_96_00,Tot_PubAS_01_05,Tot_PubAS_06_10,Tot_PubAS_11_15,Tot_PubAS_16_20,Tot_PubAS_2021,Tot_PubAS_NS,Tot_PubAS_Tot,Tot_EdTrn_Bf_91,Tot_EdTrn_91_95,Tot_EdTrn_96_00,Tot_EdTrn_01_05,Tot_EdTrn_06_10,Tot_EdTrn_11_15,Tot_EdTrn_16_20,Tot_EdTrn_2021,Tot_EdTrn_NS,Tot_EdTrn_Tot
309061246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,16,40,8,14,18,28,20,19,0,0,142,9,0,0,3,0,0,3,0,0,18,56,6,16,28,33,19,15,0,0,178,10,4,6,6,16,16,11,0,0,81,43,4,11,20,20,16,12,0,0,136,30,6,19,20,52,31,32,0,4,192,5,3,11,6,0,7,6,0,0,33,0,0,0,5,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,14,13,0,5,0,9,8,9,0,0,36,26,0,11,19,18,10,25,0,0,119,11,0,3,0,3,9,19,0,4,48,35,0,9,7,23,0,4,0,0,91,29,11,29,28,33,21,16,0,0,166
309061247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,4,0,5,4,4,6,0,0,0,31,0,0,3,0,0,0,0,0,0,3,16,10,3,12,13,7,9,0,0,74,8,4,0,10,20,14,22,0,0,75,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,5,0,0,0,0,7,4,0,0,6,4,4,0,0,0,19,8,5,0,3,3,3,3,0,0,26,0,0,0,0,0,0,0,0,0,5,18,4,4,6,5,3,3,0,0,41
309061248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,4,4,0,0,0,13,3,0,0,0,3,4,0,0,0,9,71,13,35,22,45,51,48,0,5,281,9,0,3,0,3,5,6,0,0,24,91,16,37,43,50,49,33,0,6,321,32,4,10,6,13,5,15,0,0,85,68,12,29,35,48,37,37,0,4,272,32,7,18,20,40,32,28,0,0,180,26,4,10,8,24,12,27,0,5,115,13,4,3,6,9,6,0,0,0,41,10,0,7,8,9,3,5,0,0,40,26,6,13,10,14,8,4,0,0,86,52,18,22,28,54,31,33,0,3,246,29,5,8,13,30,17,19,0,0,120,86,25,43,46,85,46,20,0,0,356,48,15,21,20,23,20,18,0,0,146
309061249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,4,0,0,0,0,0,0,0,0,4,3,0,7,7,0,6,4,0,0,25,0,0,0,0,3,0,6,0,0,11,37,6,12,26,41,23,15,0,7,160,4,0,4,0,4,0,0,0,0,12,28,0,8,9,27,13,6,0,0,97,6,0,0,8,24,22,11,0,0,74,5,0,3,9,7,3,9,0,0,45,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,4,3,0,7,8,4,4,8,0,0,34,22,6,11,10,16,10,12,0,0,77,11,0,3,8,12,3,13,0,0,52,5,0,0,0,3,0,0,0,0,12,41,4,19,18,21,13,5,0,0,120
309061250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,7,3,3,0,4,0,0,19,3,0,0,0,0,0,0,0,0,3,25,10,9,0,21,5,5,0,0,78,6,0,0,0,0,0,0,0,0,15,8,4,0,8,9,3,5,0,0,28,8,0,0,7,16,5,9,0,3,42,4,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,9,0,0,4,0,0,0,0,0,14,0,6,0,7,0,0,0,0,0,15,21,0,11,10,8,3,4,0,0,53,11,4,0,0,4,0,9,0,0,24,0,0,0,0,0,0,0,0,0,5,7,0,3,0,0,0,3,0,0,16
309071251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,75,16,53,56,78,61,70,3,4,410,4,0,0,0,0,0,0,0,0,8,45,6,23,20,51,45,32,0,5,222,15,0,5,4,5,10,4,0,0,41,35,5,20,29,69,58,33,0,0,266,13,0,4,21,59,71,74,0,0,249,10,3,4,0,9,10,15,0,0,56,4,3,0,5,3,4,6,0,0,25,5,3,4,0,3,6,0,0,0,30,17,0,10,13,17,14,7,0,0,84,29,0,14,15,33,19,23,0,0,136,12,0,8,5,24,11,26,0,0,94,16,6,6,4,11,9,0,0,0,56,49,18,19,39,45,29,24,0,7,222
309071252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,36,5,14,9,35,18,19,0,0,145,0,0,0,0,0,4,0,0,0,13,74,14,46,28,64,40,35,3,6,304,13,0,10,16,15,9,3,0,0,70,78,19,27,59,103,82,50,0,7,415,29,16,12,39,67,71,52,0,3,278,25,8,11,11,20,18,15,0,0,111,13,0,14,14,19,14,9,0,0,69,16,0,12,5,11,11,6,0,0,75,21,9,7,11,16,10,4,0,0,85,39,11,20,34,63,36,30,0,0,230,21,10,16,20,21,25,19,0,0,126,9,0,7,5,9,4,3,0,0,33,33,11,17,24,40,19,9,0,5,165
309071253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,7,12,3,5,3,3,8,4,0,0,32,3,0,0,0,0,0,0,0,0,8,49,11,16,24,27,31,22,0,0,192,8,0,4,6,4,3,4,0,0,27,34,4,11,11,26,14,18,0,0,117,31,8,26,20,65,78,92,0,0,328,9,0,14,0,7,0,0,0,0,35,0,0,0,6,5,4,7,0,0,15,15,3,6,3,10,11,12,0,3,66,30,0,13,21,20,17,9,0,3,112,52,4,14,21,23,35,39,0,0,194,17,0,3,6,11,10,9,0,0,61,11,0,6,0,0,0,0,0,0,20,23,4,7,13,17,10,10,0,0,79
309071254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,4,4,6,6,0,0,36,4,0,0,0,0,4,0,0,0,11,13,0,5,0,7,4,6,0,0,37,5,0,0,3,0,4,3,0,0,12,35,6,8,16,15,18,7,0,0,100,3,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,14,10,0,5,4,3,4,6,0,0,38,5,0,0,0,7,0,0,0,0,14,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,11,4,0,0,0,0,5,0,0,0,12,4,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8,0,4,3,0,3,0,0,0,19
309071256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,3,9,0,0,0,0,19,11,6,6,8,10,7,5,0,0,45,0,0,0,0,0,0,0,0,0,3,27,6,15,10,31,27,10,0,0,124,8,0,0,0,7,5,0,0,0,24,55,10,25,27,61,33,30,0,3,230,14,7,9,16,44,36,20,0,0,152,11,0,5,3,11,5,3,0,0,42,35,15,18,19,28,20,11,0,7,152,4,0,0,4,6,5,3,0,0,24,13,0,4,4,5,7,0,0,0,33,23,3,10,17,11,9,8,0,0,75,8,4,5,14,15,13,7,0,5,65,6,3,3,0,0,5,0,0,0,17,12,4,11,12,16,17,10,0,0,80
