POW_SA2_CODE_2021,AGFF_Bf_91,AGFF_91_95,AGFF_96_00,AGFF_01_05,AGFF_06_10,AGFF_11_15,AGFF_16_20,AGFF_2021,AGFF_NS,AGFF_Tot,Min_Bf_91,Min_91_95,Min_96_00,Min_01_05,Min_06_10,Min_11_15,Min_16_20,Min_2021,Min_NS,Min_Tot,Mnf_Bf_91,Mnf_91_95,Mnf_96_00,Mnf_01_05,Mnf_06_10,Mnf_11_15,Mnf_16_20,Mnf_2021,Mnf_NS,Mnf_Tot,EGWWS_Bf_91,EGWWS_91_95,EGWWS_96_00,EGWWS_01_05,EGWWS_06_10,EGWWS_11_15,EGWWS_16_20,EGWWS_2021,EGWWS_NS,EGWWS_Tot,Const_Bf_91,Const_91_95,Const_96_00,Const_01_05,Const_06_10,Const_11_15,Const_16_20,Const_2021,Const_NS,Const_Tot,WST_Bf_91,WST_91_95,WST_96_00,WST_01_05,WST_06_10,WST_11_15,WST_16_20,WST_2021,WST_NS,WST_Tot,RetT_Bf_91,RetT_91_95,RetT_96_00,RetT_01_05,RetT_06_10,RetT_11_15,RetT_16_20,RetT_2021,RetT_NS,RetT_Tot,AcFd_Bf_91,AcFd_91_95,AcFd_96_00,AcFd_01_05,AcFd_06_10,AcFd_11_15,AcFd_16_20,AcFd_2021,AcFd_NS,AcFd_Tot,TPW_Bf_91,TPW_91_95,TPW_96_00,TPW_01_05,TPW_06_10,TPW_11_15,TPW_16_20,TPW_2021,TPW_NS,TPW_Tot,IMT_Bf_91,IMT_91_95,IMT_96_00,IMT_01_05,IMT_06_10,IMT_11_15,IMT_16_20,IMT_2021,IMT_NS,IMT_Tot,FinIns_Bf_91,FinIns_91_95,FinIns_96_00,FinIns_01_05,FinIns_06_10,FinIns_11_15,FinIns_16_20,FinIns_2021,FinIns_NS,FinIns_Tot,RHRE_Bf_91,RHRE_91_95,RHRE_96_00,RHRE_01_05,RHRE_06_10,RHRE_11_15,RHRE_16_20,RHRE_2021,RHRE_NS,RHRE_Tot,ProSTS_Bf_91,ProSTS_91_95,ProSTS_96_00,ProSTS_01_05,ProSTS_06_10,ProSTS_11_15,ProSTS_16_20,ProSTS_2021,ProSTS_NS,ProSTS_Tot,AdSup_Bf_91,AdSup_91_95,AdSup_96_00,AdSup_01_05,AdSup_06_10,AdSup_11_15,AdSup_16_20,AdSup_2021,AdSup_NS,AdSup_Tot,PubAS_Bf_91,PubAS_91_95,PubAS_96_00,PubAS_01_05,PubAS_06_10,PubAS_11_15,PubAS_16_20,PubAS_2021,PubAS_NS,PubAS_Tot,EducTraining_Bf_91,EducTraining_91_95,EducTraining_96_00,EducTraining_01_05,EducTraining_06_10,EducTraining_11_15,EducTraining_16_20,EducTraining_2021,EducTraining_NS,EducTraining_Tot,HlthCareSocAssist_Bf_91,HlthCareSocAssist_91_95,HlthCareSocAssist_96_00,HlthCareSocAssist_01_05,HlthCareSocAssist_06_10,HlthCareSocAssist_11_15,HlthCareSocAssist_16_20,HlthCareSocAssist_2021,HlthCareSocAssist_NS,HlthCareSocAssist_Tot,ArtsRecreation_Bf_91,ArtsRecreation_91_95,ArtsRecreation_96_00,ArtsRecreation_01_05,ArtsRecreation_06_10,ArtsRecreation_11_15,ArtsRecreation_16_20,ArtsRecreation_2021,ArtsRecreation_NS,ArtsRecreation_Tot,OthServices_Bf_91,OthServices_91_95,OthServices_96_00,OthServices_01_05,OthServices_06_10,OthServices_11_15,OthServices_16_20,OthServices_2021,OthServices_NS,OthServices_Tot,ID_NS_Bf_91,ID_NS_91_95,ID_NS_96_00,ID_NS_01_05,ID_NS_06_10,ID_NS_11_15,ID_NS_16_20,ID_NS_2021,ID_NS_NS,ID_NS_Tot
601031019,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,6,6,0,5,25,32,0,3,88,16,4,7,4,21,19,14,0,4,81,9,6,0,9,9,21,26,0,0,81,15,0,3,0,10,10,12,0,0,54,13,7,4,11,11,33,47,0,0,124,10,0,6,4,20,74,55,0,0,160,20,0,0,11,25,86,64,0,0,209,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,5,10,0,0,0,10,13,18,0,0,58,12,0,0,0,6,16,28,0,0,68,9,0,0,0,5,33,15,0,0,60,7,0,0,0,4,9,7,0,0,27,53,13,10,11,34,79,92,0,3,291,5,0,0,0,0,0,3,0,0,13,15,3,0,0,3,16,22,0,0,69,12,0,0,4,5,10,15,0,7,55
601031020,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,5,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9,10,0,0,32,6,0,7,3,4,5,9,0,0,23,7,0,0,0,0,0,6,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,4,0,0,4,0,5,0,0,11,16,4,4,0,5,0,5,0,0,31,34,4,8,8,10,11,10,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,4,0,0,0,0,3,3,0,0,9
601031021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,12,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,4,0,4,0,0,0,0,14,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601041022,3,0,0,0,0,0,6,0,0,9,0,0,0,0,0,6,0,0,0,6,16,0,0,5,8,9,8,0,0,46,0,0,0,0,0,0,0,0,0,0,19,3,3,4,6,11,19,0,0,72,3,0,3,0,0,0,0,0,0,9,28,0,3,10,41,62,73,0,0,210,0,0,3,15,17,39,45,0,0,126,6,0,0,0,0,3,10,0,0,21,7,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,6,3,0,0,4,0,0,0,0,0,9,23,6,13,20,17,19,26,0,3,121,4,0,3,0,6,9,10,0,0,40,31,4,0,3,3,8,11,0,0,70,39,9,14,5,22,20,16,0,0,119,41,13,3,20,27,35,38,0,0,187,7,0,0,5,0,0,5,0,0,14,10,3,0,0,9,13,16,0,0,53,9,4,0,0,4,8,10,0,3,40
601041023,5,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,3,0,3,4,6,0,0,26,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,9,7,0,0,27,0,0,0,4,17,14,25,0,0,65,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,5,8,3,0,4,0,3,5,0,0,26,4,0,3,0,3,4,5,0,5,16,0,0,0,0,0,0,0,0,0,0,6,5,0,3,6,7,5,0,0,30,17,0,4,4,5,30,20,0,0,79,3,0,0,3,0,0,0,0,0,8,6,0,0,0,0,6,3,0,0,11,4,0,0,0,0,3,4,0,0,21
601041024,13,0,5,6,17,18,18,0,3,70,0,0,0,0,0,0,0,0,0,0,11,0,3,0,10,12,16,0,0,54,0,0,0,0,0,0,0,0,0,0,15,0,9,0,4,8,10,0,0,45,0,0,0,0,0,0,4,0,0,11,10,0,0,3,0,6,3,0,0,32,6,0,0,0,0,9,6,0,0,21,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,3,6,0,0,5,0,5,0,0,0,15,11,3,5,5,5,12,12,0,0,45,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,3,4,0,5,17
601041025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601041026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,16,0,0,0,0,4,3,10,0,0,17,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,18,3,0,5,0,4,4,0,0,31,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,18,4,5,9,13,6,15,0,0,66,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,5,6
601051027,10,0,11,15,17,17,18,0,0,89,0,0,0,4,0,0,0,0,0,4,29,8,3,5,17,57,75,0,5,197,43,11,13,13,25,24,21,0,0,148,41,4,13,11,19,30,30,0,3,156,14,5,0,7,4,18,16,0,0,59,96,23,23,45,93,168,222,0,3,669,81,24,49,99,217,656,754,0,22,1891,7,3,3,0,10,20,28,0,0,75,57,11,11,16,19,43,45,0,0,199,86,14,17,22,38,79,56,0,3,314,33,3,0,5,9,27,22,0,0,108,219,37,56,65,132,229,237,3,8,985,40,0,7,11,28,63,70,0,0,222,504,48,86,100,135,186,133,0,16,1205,184,33,33,40,95,204,144,0,11,748,491,94,136,177,327,487,455,5,32,2199,44,4,5,11,19,16,23,0,3,127,78,10,9,20,32,83,92,0,9,325,14,9,4,14,30,72,83,0,37,260
601051028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,9,23,9,4,21,18,23,13,0,0,111,5,5,4,0,8,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,4,0,0,11,6,0,0,0,4,6,4,0,0,14,0,0,0,0,3,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,4,0,0,24,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,11,0,0,4,4,0,6,0,0,25,55,6,16,17,32,44,41,5,4,224,7,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,4,0,0,12,3,5,0,0,0,4,5,0,0,12
601051029,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,10,0,0,16,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,9,4,0,0,12,0,0,0,0,3,8,11,0,0,25,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,5,10,0,0,0,36,3,0,0,0,5,4,4,0,0,12,0,0,0,0,0,0,0,0,0,0,27,4,11,4,6,14,13,0,4,89,6,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
601051030,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,15,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,4,6,0,0,15,0,0,0,0,0,0,0,0,0,10,6,0,0,7,15,34,60,0,0,132,7,3,0,0,7,32,17,0,0,70,0,0,0,5,5,6,14,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,16,3,4,6,5,12,15,0,0,58,3,0,0,0,0,4,17,0,0,29,19,4,0,7,8,8,3,0,0,45,29,3,9,4,7,9,13,0,0,80,72,4,17,27,49,91,87,0,5,357,4,0,0,0,0,0,4,0,0,9,14,0,3,0,3,14,20,0,5,59,3,0,0,0,0,7,3,0,4,17
601051031,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,3,7,0,0,14,0,0,0,0,0,0,0,0,0,0,5,4,6,0,7,9,6,0,0,33,3,0,0,0,0,5,0,0,0,10,15,0,5,9,19,52,75,0,0,174,30,5,14,23,47,114,128,0,7,360,0,0,0,0,6,8,11,0,0,27,4,0,0,0,0,4,0,0,0,3,6,0,4,0,0,0,3,0,0,18,8,3,0,0,0,4,8,0,0,25,29,3,6,10,9,19,30,0,0,101,8,0,0,0,8,15,21,0,0,51,0,0,0,0,4,0,0,0,0,8,142,31,43,78,72,131,167,0,6,669,37,4,6,12,20,46,38,0,0,167,15,6,3,6,16,30,26,0,0,104,13,4,0,0,12,3,26,0,0,57,10,0,4,0,3,13,18,0,6,52
601051032,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,4,5,0,0,3,8,0,0,23,0,0,0,0,0,0,0,0,0,3,6,0,5,3,0,0,10,0,0,22,0,0,0,0,0,0,4,0,0,3,11,0,3,0,4,9,10,0,0,38,10,5,0,0,10,15,11,0,0,55,0,0,0,0,0,7,0,0,0,12,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,13,7,0,0,41,0,0,0,0,0,3,0,0,0,8,3,0,0,0,0,0,0,0,0,3,15,3,0,3,5,13,13,0,0,51,54,3,13,10,24,54,42,0,0,209,8,0,0,0,0,5,0,0,0,12,3,0,0,5,0,0,0,0,0,9,0,0,4,4,0,0,7,0,0,18
