POW_SA2_CODE_2021,M_EW_FT_ATSI,M_EW_FT_NI,M_EW_FT_Isns,M_EW_FT_Total,M_EW_PT_ATSI,M_EW_PT_NI,M_EW_PT_Isns,M_EW_PT_Total,M_EW_Em_afw_ATSI,M_EW_Em_afw_NI,M_EW_Em_afw_Isns,M_EW_Em_afw_Total,M_Tot_ATSI,M_Tot_NI,M_Tot_Isns,M_Tot_Total,F_EW_FT_ATSI,F_EW_FT_NI,F_EW_FT_Isns,F_EW_FT_Total,F_EW_PT_ATSI,F_EW_PT_NI,F_EW_PT_Isns,F_EW_PT_Total,F_EW_Em_afw_ATSI,F_EW_Em_afw_NI,F_EW_Em_afw_Isns,F_EW_Em_afw_Total,F_Tot_ATSI,F_Tot_NI,F_Tot_Isns,F_Tot_Total,P_EW_FT_ATSI,P_EW_FT_NI,P_EW_FT_Isns,P_EW_FT_Total,P_EW_PT_ATSI,P_EW_PT_NI,P_EW_PT_Isns,P_EW_PT_Total,P_EW_Em_afw_ATSI,P_EW_Em_afw_NI,P_EW_Em_afw_Isns,P_EW_Em_afw_Total,P_Tot_ATSI,P_Tot_NI,P_Tot_Isns,P_Tot_Total
213021346,22,2595,15,2629,10,926,0,937,0,217,0,217,28,3733,13,3779,9,1247,6,1254,10,1702,3,1715,4,253,0,262,22,3200,4,3230,31,3833,14,3882,16,2629,6,2648,4,472,0,479,50,6936,22,7009
213031347,13,2017,3,2032,4,1155,3,1159,0,197,0,197,18,3366,9,3387,0,1389,3,1394,3,1729,0,1732,0,224,0,228,5,3344,3,3354,16,3404,3,3423,13,2880,9,2893,0,424,3,427,25,6708,17,6746
213031348,30,4704,3,4743,12,1733,0,1745,4,401,4,416,49,6840,12,6901,45,4615,4,4666,20,3825,9,3848,7,658,0,669,78,9094,10,9182,78,9317,9,9408,29,5556,9,5590,16,1061,6,1079,122,15935,21,16081
213031349,12,1139,0,1156,0,1010,0,1013,3,260,4,268,17,2405,9,2432,7,1030,0,1033,13,2339,0,2351,3,588,0,592,25,3953,0,3975,26,2166,0,2190,13,3349,0,3365,4,848,0,857,41,6360,11,6411
213031350,0,382,0,385,0,226,0,229,0,29,0,29,6,637,0,642,0,308,0,311,0,476,0,476,0,57,0,52,4,843,0,844,4,695,0,696,3,703,0,712,0,81,0,84,7,1475,4,1487
213031351,21,3051,3,3072,3,807,4,817,0,194,0,194,20,4057,4,4085,9,1064,0,1076,0,718,0,719,0,133,0,133,8,1913,4,1925,27,4115,6,4151,4,1528,3,1536,0,328,0,325,28,5971,10,6012
213031352,13,2227,6,2251,6,906,0,917,4,156,3,168,25,3295,9,3333,8,1095,0,1100,6,1288,6,1300,0,191,0,187,17,2571,9,2590,21,3316,10,3349,11,2200,3,2221,4,348,3,357,41,5864,17,5926
213041353,25,1981,6,2016,14,813,0,830,8,199,4,207,44,2995,12,3047,8,1412,0,1426,17,1903,4,1919,4,288,0,296,33,3601,8,3642,38,3399,8,3439,31,2716,0,2743,12,489,3,502,71,6600,22,6690
213041358,3,726,0,736,6,528,3,535,0,120,0,126,12,1378,0,1399,14,933,0,950,9,1427,7,1438,5,264,0,270,27,2629,7,2657,19,1666,0,1683,17,1949,6,1978,8,390,0,397,41,4005,9,4059
213041359,48,5968,12,6030,10,1532,3,1550,6,388,0,389,64,7888,18,7969,24,2409,0,2433,6,1453,4,1468,0,311,0,319,34,4179,9,4213,71,8380,12,8464,18,2987,7,3017,4,698,3,710,97,12061,25,12185
