POW_SA2_CODE_2021,M_EW_FT_ATSI,M_EW_FT_NI,M_EW_FT_Isns,M_EW_FT_Total,M_EW_PT_ATSI,M_EW_PT_NI,M_EW_PT_Isns,M_EW_PT_Total,M_EW_Em_afw_ATSI,M_EW_Em_afw_NI,M_EW_Em_afw_Isns,M_EW_Em_afw_Total,M_Tot_ATSI,M_Tot_NI,M_Tot_Isns,M_Tot_Total,F_EW_FT_ATSI,F_EW_FT_NI,F_EW_FT_Isns,F_EW_FT_Total,F_EW_PT_ATSI,F_EW_PT_NI,F_EW_PT_Isns,F_EW_PT_Total,F_EW_Em_afw_ATSI,F_EW_Em_afw_NI,F_EW_Em_afw_Isns,F_EW_Em_afw_Total,F_Tot_ATSI,F_Tot_NI,F_Tot_Isns,F_Tot_Total,P_EW_FT_ATSI,P_EW_FT_NI,P_EW_FT_Isns,P_EW_FT_Total,P_EW_PT_ATSI,P_EW_PT_NI,P_EW_PT_Isns,P_EW_PT_Total,P_EW_Em_afw_ATSI,P_EW_Em_afw_NI,P_EW_Em_afw_Isns,P_EW_Em_afw_Total,P_Tot_ATSI,P_Tot_NI,P_Tot_Isns,P_Tot_Total
101021007,11,478,5,492,0,179,0,180,4,42,0,44,12,703,5,716,0,247,3,252,11,339,3,354,0,51,0,56,12,635,8,657,12,725,0,742,11,519,4,534,0,91,3,97,29,1339,7,1373
101021008,9,430,5,446,4,102,0,106,0,17,0,18,21,551,5,575,5,192,0,201,7,182,0,194,0,22,0,22,18,400,0,414,18,630,5,647,14,286,0,302,0,35,0,39,37,952,3,986
101021009,52,1674,9,1731,13,611,3,634,6,117,0,124,76,2404,9,2492,58,1614,4,1671,38,1180,6,1220,5,186,0,198,97,2985,5,3091,107,3286,11,3406,53,1791,3,1850,13,308,0,324,174,5391,14,5582
101021010,49,1713,3,1769,11,409,0,424,9,91,0,93,62,2212,3,2283,11,405,0,422,18,372,4,391,3,58,0,64,32,838,3,876,60,2123,11,2189,25,779,0,810,12,151,0,162,95,3054,11,3159
101021012,32,1327,0,1362,5,328,0,332,0,71,0,73,36,1729,0,1771,8,372,0,388,9,400,0,407,8,40,0,46,24,811,3,841,41,1697,3,1747,11,730,0,742,8,115,0,120,63,2540,5,2608
101021610,15,216,0,229,0,79,0,79,0,19,0,19,12,309,0,326,6,126,0,132,4,125,0,132,0,20,0,20,0,267,0,272,20,343,0,355,4,206,0,208,0,35,0,35,19,581,0,600
101021611,37,1374,3,1416,7,409,0,409,0,110,0,115,45,1894,9,1942,11,574,0,580,12,592,0,607,3,73,0,77,26,1242,0,1268,44,1944,3,1999,15,996,0,1022,6,185,0,192,64,3127,9,3207
101031013,15,437,0,449,0,96,0,102,0,35,0,33,12,567,0,588,12,216,0,223,8,234,4,239,0,31,0,36,14,474,3,496,17,657,5,673,10,331,4,338,0,65,0,70,30,1049,7,1080
101031014,51,1392,16,1458,12,442,0,454,3,106,0,106,72,1935,16,2018,26,1013,8,1051,24,884,7,913,6,136,0,140,57,2035,12,2101,82,2404,22,2503,39,1325,9,1370,11,238,5,251,129,3970,32,4126
101031015,17,330,3,354,3,92,0,97,0,16,0,22,23,444,3,469,0,132,0,131,0,136,0,141,0,19,0,17,5,283,0,287,19,458,3,484,8,227,0,236,4,36,0,36,28,727,3,759
101031016,33,1527,4,1560,15,1041,3,1055,3,150,3,155,48,2711,12,2769,17,1009,0,1031,27,1374,0,1399,3,118,0,124,41,2508,6,2557,51,2537,7,2596,37,2409,3,2451,8,268,0,276,90,5216,21,5327
101041017,85,1456,10,1542,59,612,5,666,20,172,0,191,158,2232,11,2397,74,949,8,1027,71,1102,8,1177,18,173,0,194,156,2228,21,2399,152,2405,18,2575,123,1715,10,1845,32,345,0,381,312,4455,35,4801
101041018,16,322,0,338,7,211,0,218,4,36,0,40,25,572,3,601,20,281,0,298,12,398,10,423,0,57,5,62,31,737,11,783,34,603,0,636,16,609,4,638,3,98,5,105,58,1305,9,1379
101041019,48,1622,0,1677,23,631,5,659,6,181,0,192,79,2438,12,2521,38,1293,4,1333,58,1425,6,1486,10,223,0,232,103,2938,11,3052,89,2913,7,3004,78,2057,9,2146,18,404,0,425,181,5373,19,5573
101041020,19,579,3,600,12,301,5,315,0,65,0,64,33,939,4,982,3,238,0,248,8,375,3,381,0,52,0,55,16,664,3,686,23,819,10,845,22,671,6,695,4,112,0,122,53,1600,13,1667
101041021,5,223,0,227,0,138,0,145,5,24,0,28,12,383,0,398,4,190,0,192,6,311,0,321,0,35,0,40,14,538,4,548,10,412,0,423,11,450,0,465,3,62,0,63,20,924,4,953
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,15,456,3,475,12,175,0,188,0,53,0,53,25,679,7,714,8,230,0,243,17,345,0,364,8,59,0,71,34,641,0,671,25,684,3,717,26,520,0,552,8,111,0,119,58,1320,8,1385
101041024,9,279,3,293,8,145,0,155,0,37,0,36,20,467,3,484,3,118,0,124,12,190,0,202,4,31,0,41,24,342,7,364,17,397,7,423,21,332,0,352,9,74,0,77,37,802,7,851
101041025,25,1115,5,1147,28,606,6,634,3,106,0,115,53,1824,14,1893,14,743,3,760,31,1243,6,1282,8,136,0,145,55,2117,11,2183,38,1853,10,1905,55,1847,9,1914,16,242,0,255,108,3941,25,4075
101041026,61,1080,6,1144,26,515,3,543,9,100,0,117,96,1698,10,1808,30,817,5,850,40,962,5,1008,8,144,0,156,83,1926,10,2021,87,1895,9,1999,64,1479,6,1557,21,251,0,279,181,3625,24,3830
101041027,29,747,6,777,22,473,5,497,3,102,0,108,48,1320,9,1382,27,500,3,536,28,866,3,893,4,118,3,128,64,1479,8,1553,54,1245,13,1314,47,1337,4,1386,7,220,3,238,114,2803,17,2933
101051539,125,3553,10,3685,44,1086,4,1136,8,283,4,297,171,4926,17,5118,112,2779,4,2897,110,2505,9,2629,21,411,4,436,247,5703,18,5964,235,6335,15,6583,160,3592,12,3763,26,701,4,734,423,10628,35,11081
101051540,53,1745,6,1805,3,487,0,494,3,122,3,128,65,2356,12,2430,27,674,0,702,27,760,0,789,6,108,4,115,54,1545,0,1607,80,2418,6,2505,30,1248,0,1283,11,230,0,249,125,3896,18,4037
101061541,31,746,8,785,20,289,3,309,6,67,3,73,57,1102,13,1169,11,532,0,547,14,652,0,672,0,99,0,102,33,1284,0,1317,44,1284,8,1336,34,939,0,981,5,164,3,174,85,2384,12,2487
101061542,13,1028,0,1039,4,402,4,409,0,66,0,68,19,1495,9,1520,11,438,3,451,10,621,9,640,0,86,0,88,20,1147,9,1180,21,1460,6,1495,14,1024,12,1052,0,154,0,157,37,2639,20,2698
101061543,60,1599,3,1664,22,405,3,433,10,118,3,132,91,2124,13,2229,33,1091,4,1127,49,1153,3,1210,7,176,3,188,88,2423,15,2528,89,2693,14,2794,75,1561,9,1642,16,294,5,318,183,4546,29,4755
101061544,39,1005,8,1055,8,243,0,254,0,79,3,73,46,1331,11,1391,13,468,5,483,19,483,3,508,10,78,0,82,40,1026,10,1079,54,1479,11,1537,34,731,4,765,10,155,3,159,91,2356,22,2461
102011028,9,320,0,329,9,225,0,229,0,70,0,76,20,613,0,631,0,164,0,166,6,362,0,375,0,121,0,121,8,651,0,656,13,480,0,488,14,590,0,610,0,191,0,195,26,1260,0,1293
102011029,12,414,0,426,8,277,0,283,4,104,0,111,27,790,4,815,7,254,0,262,10,401,0,412,0,106,0,104,21,759,5,784,23,662,0,689,20,672,0,697,4,214,0,213,43,1548,4,1601
102011030,128,3407,8,3537,36,683,0,723,13,309,0,326,175,4396,16,4586,28,874,3,908,12,618,0,638,6,191,0,202,50,1684,10,1740,155,4277,12,4446,45,1304,4,1355,25,498,3,524,227,6080,26,6329
102011031,63,2000,7,2070,40,1212,4,1260,14,455,0,467,114,3669,16,3798,59,1855,7,1920,78,2962,6,3046,43,1114,6,1167,181,5933,19,6130,120,3856,12,3987,121,4178,13,4308,55,1572,0,1631,295,9603,26,9930
102011032,175,5431,12,5620,84,2126,4,2218,28,767,11,803,289,8320,28,8634,189,5308,13,5514,160,4960,11,5131,56,1275,9,1348,408,11552,36,11995,363,10738,29,11137,237,7091,20,7346,89,2043,18,2151,696,19873,64,20629
102011033,17,400,0,420,7,157,0,161,0,59,0,58,26,616,0,644,24,272,0,295,18,357,0,372,4,71,0,75,40,695,0,740,37,673,5,716,23,512,0,535,7,128,0,133,71,1312,5,1384
102011034,19,599,0,619,9,459,0,466,7,106,0,114,32,1164,3,1195,9,340,0,352,21,724,0,751,7,141,0,147,38,1206,0,1249,25,940,0,966,33,1181,5,1214,9,246,4,261,68,2368,3,2445
102011035,0,213,0,214,4,137,0,143,0,40,0,43,10,392,0,400,10,189,0,191,8,252,0,257,0,52,0,50,15,486,0,501,14,399,0,413,15,391,0,402,0,83,0,92,29,875,0,900
102011036,36,1025,3,1068,14,461,0,476,10,143,0,147,59,1631,5,1690,29,630,3,662,33,675,0,706,4,144,0,146,62,1452,5,1519,64,1658,8,1725,48,1131,4,1182,13,287,0,296,119,3076,10,3209
102011037,4,237,0,242,3,133,0,136,0,29,0,29,10,401,0,407,5,206,0,207,3,315,0,318,0,59,0,60,8,573,0,589,4,447,0,452,6,443,0,454,0,90,0,96,17,978,5,998
102011038,3,231,0,237,0,121,0,127,4,77,0,76,10,428,0,438,4,125,0,128,6,197,0,211,0,47,0,50,18,372,3,386,6,358,0,366,15,319,0,335,8,120,0,129,23,800,6,825
102011039,15,657,0,671,22,484,3,506,5,241,0,246,44,1377,0,1422,17,567,4,588,15,893,0,907,7,370,0,382,41,1835,4,1877,38,1225,5,1264,36,1379,3,1412,17,617,0,629,89,3216,3,3303
102011040,24,745,0,776,20,590,4,612,18,233,0,253,66,1568,5,1639,34,687,7,722,49,1179,4,1230,16,394,3,423,104,2260,11,2378,65,1432,6,1503,75,1765,7,1844,35,628,3,668,173,3828,15,4012
102011041,18,447,6,463,10,277,0,283,4,91,0,94,31,817,6,850,19,328,0,347,12,539,0,555,4,132,0,136,33,996,3,1033,35,776,3,814,23,817,0,840,10,217,0,233,66,1814,4,1880
102011042,36,796,9,836,22,518,0,545,7,165,5,175,59,1488,14,1564,39,830,0,871,65,1325,4,1392,19,300,0,316,118,2453,4,2578,69,1625,12,1709,86,1842,11,1936,26,470,5,494,181,3939,24,4138
102011043,7,474,0,488,9,402,3,422,3,109,0,118,25,990,5,1020,21,440,6,462,31,830,4,865,7,142,0,155,60,1417,4,1486,29,915,6,953,40,1239,11,1288,14,254,0,268,85,2405,11,2505
102021044,38,860,0,903,38,684,4,725,5,218,0,228,80,1761,8,1851,55,809,3,866,64,1410,6,1475,19,342,0,370,132,2569,5,2708,89,1671,0,1766,101,2092,3,2196,28,562,0,596,220,4329,12,4555
102021045,14,261,0,277,10,169,0,178,8,92,0,102,32,526,0,559,19,242,0,262,27,330,0,361,4,127,0,130,56,693,0,753,34,504,0,543,36,496,6,535,15,217,0,234,83,1222,6,1308
102021046,19,200,0,222,7,170,0,179,5,73,0,80,32,444,3,473,3,148,3,159,24,299,3,333,7,92,0,104,38,542,3,591,27,353,5,377,38,466,3,505,16,167,0,182,72,986,5,1065
102021047,81,2000,0,2088,27,673,0,700,11,278,4,291,125,2953,4,3082,38,897,0,940,49,1015,0,1066,14,317,0,332,105,2221,4,2330,118,2897,0,3022,76,1687,0,1766,29,590,5,619,223,5175,9,5412
102021048,50,655,0,704,32,599,0,632,19,245,4,262,96,1501,3,1602,46,886,3,936,74,1342,3,1419,33,430,4,471,153,2659,11,2824,89,1540,3,1638,110,1940,8,2054,55,675,3,730,251,4153,16,4421
102021049,13,269,4,288,9,138,0,139,3,75,3,82,25,478,3,505,5,126,0,135,6,188,0,197,3,68,0,69,16,383,0,409,25,400,4,427,18,320,0,335,8,142,3,153,46,863,10,912
102021050,34,604,4,644,7,204,3,216,6,84,0,84,50,893,3,947,14,316,0,330,18,454,0,475,9,115,0,121,40,882,0,920,51,920,4,972,26,659,9,694,17,195,0,209,91,1774,11,1873
102021051,23,802,0,820,8,236,0,246,4,101,0,101,33,1138,3,1170,15,376,0,388,18,396,0,416,0,96,0,101,37,870,3,906,33,1174,0,1210,27,634,0,664,4,195,0,201,69,2011,6,2078
102021052,9,156,0,171,9,81,0,91,0,27,0,29,21,271,0,290,6,113,0,118,13,162,0,173,5,48,0,49,18,322,0,341,18,272,0,288,25,243,0,266,3,73,0,77,41,594,0,633
102021053,27,703,4,732,18,465,4,483,6,230,0,234,46,1403,8,1452,28,555,0,586,36,871,4,908,15,342,0,363,83,1770,7,1856,52,1265,4,1323,53,1331,3,1391,20,578,3,597,133,3170,12,3313
102021054,24,394,0,423,14,263,0,278,8,134,0,145,43,790,0,843,25,482,0,508,32,632,0,658,12,238,0,248,71,1350,0,1422,47,885,0,931,43,893,3,934,26,372,0,393,118,2142,4,2261
102021055,144,2888,11,3043,68,1179,3,1248,24,564,0,593,238,4635,19,4883,89,2012,3,2100,71,2006,7,2088,46,944,3,991,210,4963,13,5178,228,4896,19,5144,138,3192,8,3333,72,1505,4,1583,446,9591,25,10063
102021056,113,2205,4,2327,49,767,0,820,35,302,0,333,197,3278,6,3481,83,1765,3,1852,97,1637,4,1741,29,468,0,502,211,3874,14,4097,193,3974,8,4174,150,2408,4,2565,67,770,5,836,406,7150,20,7577
102021057,112,1896,5,2020,37,664,0,702,24,279,0,310,176,2839,13,3022,108,1229,0,1332,72,1142,3,1216,19,330,6,352,191,2703,6,2906,217,3120,11,3350,100,1810,3,1914,46,606,6,659,367,5542,14,5926
103011059,98,1735,10,1840,13,409,7,425,10,111,6,125,121,2251,18,2390,53,723,9,786,40,681,3,728,6,101,0,111,103,1510,13,1626,149,2462,11,2628,57,1087,8,1150,17,216,8,237,226,3765,30,4014
103011060,13,503,3,520,3,195,6,202,0,47,0,52,12,748,4,772,7,203,3,217,13,233,0,248,0,31,0,34,23,468,3,493,20,712,6,735,15,432,3,444,4,78,6,85,36,1215,14,1262
103011061,54,1064,10,1124,3,172,8,180,0,86,3,89,57,1324,15,1399,12,376,0,391,13,330,4,353,0,64,0,62,23,779,7,805,56,1450,11,1519,18,503,10,535,5,151,3,154,82,2099,24,2206
103011612,148,3107,14,3273,78,1173,3,1260,26,268,3,293,251,4551,20,4826,144,2969,6,3122,166,2853,9,3036,26,386,3,418,334,6214,23,6575,298,6076,24,6394,245,4031,15,4287,49,657,11,713,591,10767,44,11397
103011613,47,1054,3,1098,16,256,5,275,3,64,0,69,70,1373,8,1451,22,789,0,814,33,586,0,623,7,87,0,92,64,1460,3,1526,64,1842,5,1913,57,844,4,904,12,153,0,165,127,2833,9,2975
103021062,86,989,12,1087,28,179,0,213,13,53,0,70,133,1226,12,1367,60,516,0,578,84,480,0,567,9,76,0,84,159,1063,4,1230,147,1507,17,1663,116,661,3,783,26,124,0,153,289,2289,18,2602
103021063,89,1295,5,1391,30,364,10,401,11,88,0,100,126,1753,17,1897,51,830,5,886,68,969,9,1051,13,143,0,153,135,1944,17,2093,139,2123,9,2277,101,1336,13,1449,24,234,0,260,263,3691,28,3983
103021064,19,725,7,751,8,183,0,185,0,43,0,44,29,946,6,981,14,301,0,318,13,375,3,392,6,46,0,52,33,718,3,757,33,1028,8,1066,20,558,5,581,7,82,0,97,64,1663,14,1739
103021065,134,1489,10,1630,43,352,0,399,19,95,6,112,189,1933,17,2141,104,888,5,992,89,830,8,927,24,112,0,134,215,1829,14,2060,237,2373,17,2629,129,1184,13,1328,35,203,0,246,402,3759,30,4195
103021066,17,471,3,493,6,122,0,125,0,34,0,36,23,629,7,653,13,208,0,218,17,273,0,288,3,34,0,40,29,514,0,545,26,676,3,710,22,392,0,415,6,73,0,72,51,1144,4,1198
103021067,123,1344,6,1469,64,336,0,400,8,82,0,98,202,1756,4,1967,109,1050,0,1164,114,931,5,1047,21,121,0,141,242,2102,9,2351,231,2396,6,2632,178,1262,5,1448,27,204,0,234,441,3857,9,4315
103021068,51,817,7,872,10,116,0,129,9,44,0,53,69,973,7,1051,34,226,0,264,33,165,0,200,5,24,0,30,72,419,0,496,86,1041,11,1138,40,278,0,323,14,69,0,83,145,1394,13,1552
103021069,69,1133,4,1208,14,203,0,215,5,97,0,108,90,1434,6,1528,25,520,0,541,30,508,0,537,3,69,0,71,59,1093,0,1154,90,1653,4,1753,48,705,4,756,14,166,0,177,154,2525,8,2688
103031070,81,1497,7,1583,28,506,6,542,15,138,4,154,122,2146,13,2283,67,1197,0,1268,70,1284,0,1353,13,222,0,233,151,2703,4,2852,143,2699,9,2851,98,1792,4,1893,27,359,7,391,271,4847,18,5138
103031071,70,1334,7,1412,16,257,5,267,5,134,0,146,89,1723,16,1825,25,313,0,341,24,390,0,411,9,74,0,79,53,780,5,837,92,1651,10,1755,35,642,8,681,15,210,5,227,144,2498,17,2661
103031072,83,1844,18,1939,28,561,4,589,10,135,0,150,125,2539,16,2679,80,1341,0,1419,104,1660,4,1779,19,272,3,297,205,3272,12,3494,163,3183,19,3363,136,2223,9,2369,29,404,3,439,328,5817,28,6173
103031073,7,295,0,308,4,108,0,117,0,17,0,23,15,420,5,443,4,155,0,165,20,251,0,271,0,26,0,29,25,435,3,466,15,455,4,477,25,354,5,387,0,49,0,49,44,859,7,908
103031074,128,2275,15,2421,17,322,0,339,15,201,7,220,163,2803,16,2981,31,628,3,661,42,564,6,612,13,113,0,131,84,1309,7,1401,155,2905,18,3081,58,891,6,952,27,318,7,349,242,4107,28,4378
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,50,1478,4,1536,7,269,0,279,3,98,0,108,65,1849,9,1916,20,529,4,551,19,473,4,493,12,67,0,77,44,1066,7,1116,73,2005,6,2081,24,744,4,771,13,168,0,184,111,2916,12,3032
103041077,291,5611,23,5928,90,1423,5,1515,36,379,4,417,412,7410,33,7857,271,4864,13,5149,210,3852,8,4074,53,591,3,648,529,9315,28,9867,559,10475,39,11069,297,5276,17,5586,88,975,11,1064,942,16721,57,17722
103041078,113,1751,7,1868,26,482,0,512,7,97,0,104,150,2329,7,2484,38,794,4,836,46,763,0,812,17,108,0,122,98,1670,5,1771,151,2542,8,2702,79,1247,0,1324,18,209,0,227,247,3999,13,4255
103041079,60,1576,5,1642,18,382,0,402,5,102,0,109,80,2059,9,2153,25,562,4,583,24,661,0,684,4,82,0,91,53,1303,8,1365,82,2139,10,2230,41,1046,9,1094,11,184,0,197,133,3366,16,3515
104011080,189,2978,20,3184,92,1040,8,1142,33,264,4,294,307,4281,31,4621,146,2158,17,2316,184,2266,17,2464,48,328,0,372,374,4754,29,5158,331,5134,34,5501,271,3314,27,3604,74,584,4,662,680,9032,63,9775
104011081,53,1032,7,1093,22,434,5,464,0,93,0,96,78,1568,14,1658,31,545,0,582,33,517,4,546,8,62,0,70,66,1130,3,1197,82,1586,11,1676,56,955,6,1016,9,161,0,165,141,2693,19,2853
104011082,62,1547,14,1620,47,713,7,765,11,155,7,176,120,2406,25,2552,31,1074,8,1115,76,1595,6,1674,16,181,3,202,128,2855,15,2992,96,2623,15,2735,120,2306,13,2443,33,338,13,374,247,5262,37,5548
104021083,23,456,0,473,19,320,0,340,7,53,0,62,39,836,0,878,15,356,0,370,29,649,0,681,0,68,3,74,42,1071,3,1115,35,812,0,842,42,972,0,1021,10,126,3,136,83,1905,8,1993
104021084,82,1899,3,1987,60,887,0,944,11,159,0,168,157,2945,11,3111,72,1281,6,1355,116,1902,3,2018,25,248,0,272,213,3426,11,3650,154,3181,9,3344,183,2786,7,2972,37,406,3,444,370,6370,20,6758
104021085,206,4424,17,4651,90,1666,12,1771,22,374,3,403,316,6471,34,6818,199,3703,14,3914,166,3672,11,3847,24,536,5,570,397,7913,28,8336,405,8131,26,8565,256,5339,25,5620,50,908,7,971,710,14381,62,15155
104021086,12,261,4,266,3,138,4,151,0,31,0,33,17,424,7,449,5,123,0,124,3,203,5,213,0,21,0,24,9,351,5,359,10,382,4,395,11,343,9,356,0,53,0,57,26,776,11,813
104021087,8,310,5,322,8,147,0,157,3,25,3,26,19,485,4,508,11,175,3,182,11,261,0,275,4,36,0,39,21,469,4,493,17,490,3,505,21,411,0,433,3,57,3,64,41,953,6,999
104021088,11,374,0,393,6,296,0,307,3,38,0,45,22,714,5,738,11,213,0,223,9,439,5,460,4,58,0,57,24,708,3,742,23,591,3,615,20,738,5,762,6,95,0,103,49,1423,5,1483
104021089,64,1448,3,1511,45,771,3,817,12,139,3,157,122,2357,7,2484,49,773,4,822,60,1270,3,1337,11,143,3,152,116,2187,14,2317,112,2222,7,2337,102,2041,10,2153,21,280,8,307,241,4541,18,4799
104021090,10,376,5,391,4,211,0,220,0,28,0,32,23,616,3,645,9,182,0,191,14,330,0,346,6,38,0,40,30,550,0,576,24,558,5,585,22,544,5,568,6,67,0,73,48,1165,5,1225
104021091,52,1066,14,1124,25,573,3,598,12,89,0,97,80,1726,14,1822,19,659,6,679,46,936,4,984,3,109,0,112,68,1702,10,1778,70,1724,12,1804,70,1500,12,1577,12,197,0,211,151,3427,25,3600
105011092,101,450,0,554,34,69,0,104,16,26,3,44,152,550,5,706,110,325,0,436,62,128,0,190,14,36,0,57,189,493,6,684,210,778,5,996,94,199,5,295,36,65,7,106,342,1044,8,1392
105011093,109,1036,4,1152,13,119,0,135,18,129,3,145,141,1278,5,1425,68,409,3,484,46,271,7,320,8,64,0,74,119,744,12,874,178,1443,10,1630,57,387,8,453,22,190,5,216,255,2025,22,2300
105011094,95,485,4,585,41,84,0,129,17,29,0,47,153,600,9,759,83,304,3,392,78,202,5,286,15,36,0,50,175,546,4,728,178,795,6,978,120,285,8,412,33,67,0,97,333,1142,16,1488
105011095,112,1019,8,1135,22,113,0,133,9,60,0,78,138,1193,8,1343,67,534,8,608,77,336,6,410,10,72,0,86,151,940,11,1105,180,1554,12,1738,93,449,6,543,22,133,0,156,294,2137,14,2445
105011096,83,622,3,711,40,129,0,172,20,44,0,70,140,805,10,953,73,415,0,486,80,268,0,345,23,46,0,66,170,723,0,901,153,1037,3,1199,116,398,3,515,44,94,0,132,314,1528,14,1852
105021097,159,2411,16,2585,61,637,4,701,29,236,3,269,248,3280,25,3554,136,1728,6,1874,128,1274,4,1409,44,239,8,287,304,3244,18,3567,293,4136,24,4458,192,1908,11,2108,75,473,8,553,556,6520,37,7121
105021098,36,390,3,427,18,53,0,75,3,18,0,30,60,462,3,524,37,218,0,259,26,103,0,129,8,23,0,30,68,345,0,413,73,610,7,684,43,155,0,193,11,45,0,60,128,805,5,936
105031099,63,892,6,967,32,249,7,281,5,54,0,66,106,1199,16,1314,35,571,4,607,79,563,9,649,5,79,0,83,117,1208,8,1336,97,1461,13,1573,112,812,11,933,11,129,0,147,220,2403,22,2652
105031100,358,2888,15,3263,86,419,3,508,40,164,6,206,480,3475,22,3979,216,1544,8,1765,128,1079,3,1206,37,196,0,235,380,2810,14,3207,574,4433,24,5026,213,1497,11,1719,73,358,3,438,860,6288,35,7184
105031101,399,3191,15,3605,138,902,3,1040,35,230,4,274,571,4321,26,4918,403,3175,11,3588,339,2280,10,2620,81,409,0,496,821,5861,21,6708,800,6366,27,7192,472,3181,12,3665,118,641,5,763,1390,10187,47,11624
105031102,104,854,4,954,38,262,0,302,14,62,0,78,153,1175,4,1331,60,586,3,646,96,475,4,571,18,71,0,95,171,1133,10,1310,164,1438,5,1606,133,738,3,871,35,135,0,173,327,2306,12,2644
105031103,42,478,4,524,13,121,0,129,5,35,0,36,59,629,0,689,11,156,3,175,12,146,0,159,0,14,0,15,27,317,3,350,51,638,4,694,26,267,0,291,8,45,0,50,88,949,6,1034
105031104,34,554,11,593,7,118,0,128,7,33,0,43,56,698,13,767,28,299,4,335,35,345,8,388,11,58,0,71,70,705,12,786,62,854,12,927,48,460,7,519,17,93,0,113,129,1406,25,1558
105031105,113,921,3,1034,29,147,0,182,15,56,0,78,157,1129,3,1292,66,408,0,469,61,349,0,405,16,57,0,68,147,803,0,948,179,1328,3,1510,92,491,3,586,32,113,0,147,304,1934,6,2241
105031106,133,980,10,1117,49,231,0,280,28,81,4,111,207,1292,14,1515,124,566,7,694,113,447,8,564,13,65,3,81,251,1084,18,1347,249,1549,16,1813,159,682,6,847,42,143,10,193,458,2372,32,2861
106011107,67,1250,3,1324,57,636,0,689,22,286,5,307,141,2170,13,2324,40,765,0,802,65,1172,6,1235,51,520,8,579,153,2448,10,2613,105,2010,7,2124,116,1808,4,1929,73,806,10,887,298,4620,22,4941
106011108,114,1778,3,1898,72,727,4,794,26,219,0,247,210,2723,12,2941,135,1782,6,1924,160,2044,4,2211,28,355,7,386,326,4176,17,4519,252,3561,14,3820,227,2765,13,3005,54,572,7,632,530,6894,25,7459
106011109,32,606,0,636,8,232,0,243,6,55,0,67,51,890,8,945,7,297,0,308,10,356,0,369,6,63,0,67,28,712,4,745,36,905,0,939,18,588,3,607,18,118,3,136,75,1607,6,1688
106011110,28,709,0,740,18,336,0,359,6,69,0,78,50,1122,0,1172,25,440,3,474,37,641,0,677,6,86,0,92,71,1162,6,1242,51,1150,11,1215,50,976,0,1034,12,153,0,167,121,2279,11,2412
106011111,78,1153,3,1231,49,446,8,501,3,93,4,101,130,1686,13,1832,49,777,3,824,97,1116,0,1214,13,148,0,162,155,2040,6,2200,123,1926,12,2055,142,1568,7,1718,18,238,3,262,286,3728,17,4034
106011112,201,3337,14,3549,73,692,3,769,20,244,5,261,291,4272,22,4589,116,1590,5,1713,132,1910,5,2042,17,297,4,320,263,3798,15,4083,318,4928,22,5269,208,2600,11,2813,34,539,8,585,557,8071,38,8664
106011113,321,5431,25,5780,34,479,4,520,31,391,3,424,392,6306,34,6724,54,814,6,870,25,349,4,375,8,169,0,180,90,1334,4,1427,375,6243,31,6654,59,829,12,895,39,555,3,602,483,7634,38,8152
106021114,84,1709,5,1800,49,637,0,688,8,177,0,189,143,2520,6,2670,128,2263,11,2400,136,2190,13,2338,33,395,0,431,301,4843,22,5170,211,3973,20,4202,184,2826,12,3026,43,570,0,614,441,7365,32,7843
106021116,15,350,0,364,4,144,0,144,4,13,0,19,18,511,0,525,12,279,0,284,19,381,0,405,4,58,0,64,35,717,0,753,28,625,0,652,22,524,0,551,5,76,0,82,53,1227,0,1278
106021614,67,1623,3,1697,37,891,3,929,16,190,0,201,124,2705,6,2832,92,1662,8,1759,135,2571,8,2712,35,426,3,462,262,4658,16,4931,163,3285,11,3458,175,3462,10,3647,53,607,3,662,387,7355,19,7769
106021615,28,573,0,607,27,367,0,400,17,55,0,71,73,1003,0,1076,59,727,0,780,56,978,5,1047,17,122,3,147,133,1833,4,1973,84,1305,0,1388,87,1354,5,1439,34,183,3,217,205,2838,5,3048
106021616,171,2967,7,3150,35,485,0,521,6,156,0,164,223,3603,8,3831,43,821,5,865,66,733,0,799,12,140,0,155,123,1695,3,1815,213,3786,10,4015,101,1219,0,1317,24,291,0,320,341,5298,15,5648
106021617,26,397,0,418,14,199,0,213,0,42,0,45,36,640,0,677,18,347,4,367,34,450,0,485,6,67,0,77,57,869,0,928,40,740,0,785,44,649,0,694,5,114,0,124,93,1505,5,1606
106021618,123,2417,7,2546,44,691,4,741,8,161,0,174,182,3275,13,3469,58,968,0,1024,60,1069,0,1124,7,135,0,146,128,2168,0,2291,183,3382,7,3569,106,1761,4,1869,17,299,0,318,308,5442,13,5760
106031119,13,292,4,315,3,176,0,185,6,48,0,52,22,518,3,547,11,139,0,150,3,291,0,297,4,62,0,66,13,492,3,509,22,434,4,462,10,470,5,482,10,112,0,113,37,1007,4,1058
