POW_SA2_CODE_2021,M_EWFT_15_19_E,M_EWFT_15_19_OM_IE,M_EWFT_15_19_OM_UIE,M_EWFT_15_19_CFW,M_EWFT_15_19_ES_NS,M_EWFT_15_19_Tot,M_EWFT_20_24_E,M_EWFT_20_24_OM_IE,M_EWFT_20_24_OM_UIE,M_EWFT_20_24_CFW,M_EWFT_20_24_ES_NS,M_EWFT_20_24_Tot,M_EWFT_25_29_E,M_EWFT_25_29_OM_IE,M_EWFT_25_29_OM_UIE,M_EWFT_25_29_CFW,M_EWFT_25_29_ES_NS,M_EWFT_25_29_Tot,M_EWFT_30_34_E,M_EWFT_30_34_OM_IE,M_EWFT_30_34_OM_UIE,M_EWFT_30_34_CFW,M_EWFT_30_34_ES_NS,M_EWFT_30_34_Tot,M_EWFT_35_39_E,M_EWFT_35_39_OM_IE,M_EWFT_35_39_OM_UIE,M_EWFT_35_39_CFW,M_EWFT_35_39_ES_NS,M_EWFT_35_39_Tot,M_EWFT_40_44_E,M_EWFT_40_44_OM_IE,M_EWFT_40_44_OM_UIE,M_EWFT_40_44_CFW,M_EWFT_40_44_ES_NS,M_EWFT_40_44_Tot,M_EWFT_45_49_E,M_EWFT_45_49_OM_IE,M_EWFT_45_49_OM_UIE,M_EWFT_45_49_CFW,M_EWFT_45_49_ES_NS,M_EWFT_45_49_Tot,M_EWFT_50_54_E,M_EWFT_50_54_OM_IE,M_EWFT_50_54_OM_UIE,M_EWFT_50_54_CFW,M_EWFT_50_54_ES_NS,M_EWFT_50_54_Tot,M_EWFT_55_59_E,M_EWFT_55_59_OM_IE,M_EWFT_55_59_OM_UIE,M_EWFT_55_59_CFW,M_EWFT_55_59_ES_NS,M_EWFT_55_59_Tot,M_EWFT_60_64_E,M_EWFT_60_64_OM_IE,M_EWFT_60_64_OM_UIE,M_EWFT_60_64_CFW,M_EWFT_60_64_ES_NS,M_EWFT_60_64_Tot,M_EWFT_65_69_E,M_EWFT_65_69_OM_IE,M_EWFT_65_69_OM_UIE,M_EWFT_65_69_CFW,M_EWFT_65_69_ES_NS,M_EWFT_65_69_Tot,M_EWFT_70_74_E,M_EWFT_70_74_OM_IE,M_EWFT_70_74_OM_UIE,M_EWFT_70_74_CFW,M_EWFT_70_74_ES_NS,M_EWFT_70_74_Tot,M_EWFT_75ov_E,M_EWFT_75ov_OM_IE,M_EWFT_75ov_OM_UIE,M_EWFT_75ov_CFW,M_EWFT_75ov_ES_NS,M_EWFT_75ov_Tot,M_EWFT_Tot_E,M_EWFT_Tot_OM_IE,M_EWFT_Tot_OM_UIE,M_EWFT_Tot_CFW,M_EWFT_Tot_ES_NS,M_EWFT_Tot_Tot,M_EWPT_15_19_E,M_EWPT_15_19_OM_IE,M_EWPT_15_19_OM_UIE,M_EWPT_15_19_CFW,M_EWPT_15_19_ES_NS,M_EWPT_15_19_Tot,M_EWPT_20_24_E,M_EWPT_20_24_OM_IE,M_EWPT_20_24_OM_UIE,M_EWPT_20_24_CFW,M_EWPT_20_24_ES_NS,M_EWPT_20_24_Tot,M_EWPT_25_29_E,M_EWPT_25_29_OM_IE,M_EWPT_25_29_OM_UIE,M_EWPT_25_29_CFW,M_EWPT_25_29_ES_NS,M_EWPT_25_29_Tot,M_EWPT_30_34_E,M_EWPT_30_34_OM_IE,M_EWPT_30_34_OM_UIE,M_EWPT_30_34_CFW,M_EWPT_30_34_ES_NS,M_EWPT_30_34_Tot,M_EWPT_35_39_E,M_EWPT_35_39_OM_IE,M_EWPT_35_39_OM_UIE,M_EWPT_35_39_CFW,M_EWPT_35_39_ES_NS,M_EWPT_35_39_Tot,M_EWPT_40_44_E,M_EWPT_40_44_OM_IE,M_EWPT_40_44_OM_UIE,M_EWPT_40_44_CFW,M_EWPT_40_44_ES_NS,M_EWPT_40_44_Tot,M_EWPT_45_49_E,M_EWPT_45_49_OM_IE,M_EWPT_45_49_OM_UIE,M_EWPT_45_49_CFW,M_EWPT_45_49_ES_NS,M_EWPT_45_49_Tot,M_EWPT_50_54_E,M_EWPT_50_54_OM_IE,M_EWPT_50_54_OM_UIE,M_EWPT_50_54_CFW,M_EWPT_50_54_ES_NS,M_EWPT_50_54_Tot,M_EWPT_55_59_E,M_EWPT_55_59_OM_IE,M_EWPT_55_59_OM_UIE,M_EWPT_55_59_CFW,M_EWPT_55_59_ES_NS,M_EWPT_55_59_Tot,M_EWPT_60_64_E,M_EWPT_60_64_OM_IE,M_EWPT_60_64_OM_UIE,M_EWPT_60_64_CFW,M_EWPT_60_64_ES_NS,M_EWPT_60_64_Tot,M_EWPT_65_69_E,M_EWPT_65_69_OM_IE,M_EWPT_65_69_OM_UIE,M_EWPT_65_69_CFW,M_EWPT_65_69_ES_NS,M_EWPT_65_69_Tot,M_EWPT_70_74_E,M_EWPT_70_74_OM_IE,M_EWPT_70_74_OM_UIE,M_EWPT_70_74_CFW,M_EWPT_70_74_ES_NS,M_EWPT_70_74_Tot,M_EWPT_75ov_E,M_EWPT_75ov_OM_IE,M_EWPT_75ov_OM_UIE,M_EWPT_75ov_CFW,M_EWPT_75ov_ES_NS,M_EWPT_75ov_Tot,M_EWPT_Tot_E,M_EWPT_Tot_OM_IE,M_EWPT_Tot_OM_UIE,M_EWPT_Tot_CFW,M_EWPT_Tot_ES_NS,M_EWPT_Tot_Tot,M_EAFW_E,M_EAFW_OM_IE,M_EAFW_OM_UIE,M_EAFW_CFW,M_EAFW_ES_NS,M_EAFW_Tot,M_H_NS_E,M_H_NS_OM_IE,M_H_NS_OM_UIE,M_H_NS_CFW,M_H_NS_ES_NS,M_H_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_EWFT_15_19_E,F_EWFT_15_19_OM_IE,F_EWFT_15_19_OM_UIE,F_EWFT_15_19_CFW,F_EWFT_15_19_ES_NS,F_EWFT_15_19_Tot,F_EWFT_20_24_E,F_EWFT_20_24_OM_IE,F_EWFT_20_24_OM_UIE,F_EWFT_20_24_CFW,F_EWFT_20_24_ES_NS,F_EWFT_20_24_Tot,F_EWFT_25_29_E,F_EWFT_25_29_OM_IE
101021007,18,0,0,0,0,18,19,0,0,0,0,21,36,3,6,0,0,44,37,6,4,0,0,43,37,6,6,0,0,56,19,3,9,0,0,29,25,9,10,3,0,44,25,21,20,4,0,61,21,5,7,8,0,45,22,9,8,10,0,51,3,0,11,6,0,26,0,6,8,9,0,19,0,0,9,3,0,15,265,63,105,51,3,492,16,0,0,0,0,15,11,0,0,0,0,11,9,0,0,0,0,10,5,8,0,0,0,12,6,0,4,0,0,12,5,0,3,0,0,11,3,0,8,0,0,10,0,0,0,0,0,0,6,3,5,0,0,16,6,7,12,3,0,25,6,3,8,8,3,17,7,0,3,5,0,12,6,0,5,8,0,19,81,25,46,28,0,180,17,0,0,3,0,20,14,4,0,4,0,22,382,89,152,88,10,716,0,0,0,0,0,0,6,0,0,0,0,10,22,0
101021008,12,0,0,0,0,12,49,0,0,0,0,46,53,0,0,0,0,61,60,10,4,0,0,72,47,13,4,0,0,60,28,5,4,0,0,47,32,9,4,0,0,47,30,13,4,0,0,47,16,6,0,0,0,30,11,4,0,0,0,11,6,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,347,62,29,3,0,446,21,0,0,0,0,21,13,0,0,0,0,13,10,0,0,0,0,11,6,3,0,0,0,13,5,0,0,0,0,6,3,0,5,0,0,4,4,0,0,0,0,5,5,0,3,0,0,10,8,0,4,0,0,7,0,0,6,0,0,10,0,0,0,0,0,0,4,4,0,0,0,8,0,0,0,0,0,3,77,15,22,0,0,106,7,5,0,0,0,13,5,0,0,0,4,10,434,79,53,3,4,575,0,0,0,0,0,0,20,0,0,0,0,18,24,3
101021009,53,0,0,0,0,50,143,0,3,0,0,151,184,9,6,0,0,191,210,20,11,0,0,239,168,25,6,0,0,208,158,21,16,3,0,199,139,24,11,0,0,177,175,18,5,0,0,198,130,13,17,0,0,161,58,13,7,0,0,84,32,14,3,0,0,50,12,0,0,0,0,16,0,0,0,0,0,3,1465,167,87,5,8,1731,122,0,0,0,0,123,92,0,0,0,0,90,56,0,3,0,0,59,64,6,8,0,0,81,46,5,4,0,0,53,31,3,7,0,6,35,22,4,6,0,0,36,23,0,0,0,0,28,19,0,6,0,4,29,29,0,5,0,0,36,14,7,0,0,0,22,9,5,5,0,0,17,6,0,3,3,0,11,533,33,47,8,3,634,81,4,5,0,0,88,30,0,0,0,0,38,2116,198,143,16,17,2492,18,0,0,0,0,18,147,0,0,0,0,147,221,3
101021010,54,0,0,0,0,54,161,0,0,0,0,162,216,10,3,0,0,228,212,25,8,0,0,247,180,25,7,3,0,220,142,23,4,0,0,178,126,22,3,0,0,160,148,26,6,0,0,177,114,35,9,0,3,161,85,7,4,0,0,97,37,8,3,0,0,55,8,5,0,0,0,16,0,0,0,0,0,3,1503,195,54,7,10,1769,75,0,0,0,0,76,57,0,0,0,0,56,38,5,0,0,0,35,22,0,4,0,0,26,28,0,0,0,0,35,25,4,0,0,0,25,23,0,7,0,0,28,22,6,5,0,0,26,16,0,0,5,0,17,25,3,3,0,0,33,19,5,7,0,0,29,8,3,4,0,0,15,7,3,3,0,0,16,345,27,40,6,0,424,47,0,3,0,0,54,28,0,3,0,4,41,1921,227,99,12,20,2283,18,0,0,0,0,18,48,0,0,0,0,55,57,0
101021012,41,0,0,0,0,41,135,6,0,0,0,138,168,8,7,0,0,190,155,20,6,0,0,187,119,34,10,0,0,163,114,19,13,0,0,143,97,34,13,0,0,144,95,39,9,0,3,146,57,32,9,6,0,100,47,25,13,0,0,86,16,4,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1054,218,80,8,4,1362,98,0,3,0,0,104,52,0,4,0,0,57,27,0,5,0,0,35,15,0,3,0,0,19,10,3,3,0,0,17,3,0,0,0,0,8,15,3,3,0,0,25,11,3,3,0,0,17,6,0,0,0,0,17,11,0,4,3,0,18,8,3,11,0,0,22,0,0,0,0,0,5,0,4,0,0,0,3,265,38,33,3,0,332,46,0,0,0,0,49,14,0,4,0,0,22,1374,257,116,9,7,1771,13,0,0,0,0,13,36,0,0,0,0,36,41,0
101021610,12,0,0,0,0,12,33,0,0,0,0,34,32,6,0,0,0,34,25,12,4,0,0,45,18,4,4,0,0,30,11,9,0,0,0,18,10,5,0,0,0,13,9,6,0,0,0,16,11,0,0,0,0,12,3,4,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,164,40,17,0,0,229,24,0,0,0,0,24,13,0,0,0,0,21,4,0,0,0,0,4,7,0,0,0,0,6,0,0,0,0,0,3,0,0,6,0,0,6,3,0,0,0,0,3,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,65,5,12,0,0,79,11,0,0,0,0,8,8,0,0,0,0,8,245,48,30,0,0,326,0,0,0,0,0,0,9,0,0,0,0,9,16,0
101021611,25,0,0,0,0,25,82,3,3,0,0,90,112,6,9,0,0,128,125,8,18,0,0,156,133,32,6,0,0,172,138,30,14,0,0,182,132,37,8,5,0,179,129,31,18,7,0,185,82,29,18,3,4,132,38,18,11,0,4,74,17,16,15,7,0,49,8,4,4,10,0,27,0,3,9,3,0,19,1019,222,131,35,13,1416,57,0,0,0,0,56,41,0,0,0,0,42,17,0,4,0,0,22,16,0,0,0,0,13,12,4,0,0,0,20,14,4,3,0,0,23,3,3,6,0,0,18,13,7,8,0,0,32,16,9,15,4,0,48,10,9,14,7,0,44,15,3,21,3,0,43,10,7,8,7,0,28,3,4,12,10,0,26,222,60,89,41,0,409,63,6,7,0,0,84,18,7,7,6,5,35,1321,296,228,79,21,1942,15,0,0,0,0,15,43,0,0,0,0,48,55,0
101031013,9,0,0,0,0,9,18,0,0,0,0,18,40,0,3,0,0,45,32,0,0,4,0,45,27,6,3,0,0,44,32,3,3,0,0,44,31,5,8,0,0,41,33,6,8,0,0,49,38,6,11,3,3,59,32,7,7,3,0,51,3,8,13,3,4,22,3,3,7,4,0,16,0,0,3,0,0,11,302,46,75,19,10,449,12,0,0,0,0,10,3,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,3,5,0,0,0,0,7,3,0,0,0,0,3,7,0,0,0,0,6,0,0,0,0,0,3,4,0,0,0,0,9,10,0,0,0,0,11,8,0,0,0,0,11,4,0,5,3,0,12,4,0,3,3,0,13,67,0,14,14,6,102,13,0,0,0,0,19,9,5,0,0,5,16,395,51,91,39,15,588,5,0,0,0,0,5,19,0,0,0,0,18,16,0
101031014,43,0,0,0,0,43,101,0,3,0,0,106,129,0,4,0,0,133,153,10,10,0,0,171,129,9,7,0,0,146,130,18,3,0,0,154,143,11,10,0,0,161,145,15,11,0,0,180,132,15,14,0,0,161,87,18,11,0,0,122,33,5,9,0,0,48,6,7,4,0,0,26,0,4,0,5,0,13,1226,115,88,14,8,1458,82,0,0,0,3,84,59,0,0,0,0,59,33,0,3,0,0,41,22,0,6,0,0,29,21,4,4,0,0,30,13,0,0,0,0,15,26,0,5,0,0,29,26,0,4,0,0,37,21,0,5,0,0,24,29,3,9,0,0,41,28,0,7,0,0,40,11,0,6,0,0,21,9,0,6,0,0,11,379,19,49,3,3,454,64,0,4,0,0,67,31,0,4,0,4,40,1705,132,146,25,19,2018,37,0,0,0,0,40,88,0,0,0,0,94,94,0
101031015,8,0,0,0,0,8,10,0,0,0,0,10,20,0,0,0,0,24,27,0,0,0,0,33,25,4,4,0,0,35,17,3,3,5,0,20,15,4,12,5,0,35,14,13,16,0,0,45,15,8,12,6,0,47,9,10,13,7,0,38,10,3,10,0,0,23,0,4,8,6,0,12,0,0,12,9,0,18,173,45,90,42,7,354,8,0,0,3,0,10,5,0,0,0,0,4,3,0,0,0,0,3,5,0,0,0,0,4,0,0,0,0,0,5,0,0,4,0,0,0,4,0,4,0,0,5,0,0,0,0,0,5,4,0,6,3,0,14,4,0,0,0,0,7,0,0,5,0,0,13,5,4,0,4,0,11,0,0,11,4,0,12,42,8,32,16,0,97,9,0,5,0,0,17,0,0,0,0,0,0,226,56,123,58,6,469,0,0,0,0,0,0,0,0,0,0,0,4,7,0
