POW_SA2_CODE_2021,Tot_16_Other_FT,Tot_16_Other_PT,Tot_16_Other_NS,Tot_16_Other_Tot,Tot_16_Not_Stated,Tot_16_Tot,Tot_17_TertVE_TPTP_FT,Tot_17_TertVE_TPTP_PT,Tot_17_TertVE_TPTP_NS,Tot_17_TertVE_TPTP_Tot,Tot_17_TertUni_or_OHE_FT,Tot_17_TertUni_or_OHE_PT,Tot_17_TertUni_or_OHE_NS,Tot_17_TertUni_or_OHE_Tot,Tot_17_Other_FT,Tot_17_Other_PT,Tot_17_Other_NS,Tot_17_Other_Tot,Tot_17_Not_Stated,Tot_17_Tot,Tot_18_TertVE_TPTP_FT,Tot_18_TertVE_TPTP_PT,Tot_18_TertVE_TPTP_NS,Tot_18_TertVE_TPTP_Tot,Tot_18_TertUni_or_OHE_FT,Tot_18_TertUni_or_OHE_PT,Tot_18_TertUni_or_OHE_NS,Tot_18_TertUni_or_OHE_Tot,Tot_18_Other_FT,Tot_18_Other_PT,Tot_18_Other_NS,Tot_18_Other_Tot,Tot_18_Not_Stated,Tot_18_Tot,Tot_19_TertVE_TPTP_FT,Tot_19_TertVE_TPTP_PT,Tot_19_TertVE_TPTP_NS,Tot_19_TertVE_TPTP_Tot,Tot_19_TertUni_or_OHE_FT,Tot_19_TertUni_or_OHE_PT,Tot_19_TertUni_or_OHE_NS,Tot_19_TertUni_or_OHE_Tot,Tot_19_Other_FT,Tot_19_Other_PT,Tot_19_Other_NS,Tot_19_Other_Tot,Tot_19_Not_Stated,Tot_19_Tot,Tot_20_24_TertVE_TPTP_FT,Tot_20_24_TertVE_TPTP_PT,Tot_20_24_TertVE_TPTP_NS,Tot_20_24_TertVE_TPTP_Tot,Tot_20_24_TertUni_or_OHE_FT,Tot_20_24_TertUni_or_OHE_PT,Tot_20_24_TertUni_or_OHE_NS,Tot_20_24_TertUni_or_OHE_Tot,Tot_20_24_Other_FT,Tot_20_24_Other_PT,Tot_20_24_Other_NS,Tot_20_24_Other_Tot,Tot_20_24_Not_Stated,Tot_20_24_Tot,Tot_25_29_TertVE_TPTP_FT,Tot_25_29_TertVE_TPTP_PT,Tot_25_29_TertVE_TPTP_NS,Tot_25_29_TertVE_TPTP_Tot,Tot_25_29_TertUni_or_OHE_FT,Tot_25_29_TertUni_or_OHE_PT,Tot_25_29_TertUni_or_OHE_NS,Tot_25_29_TertUni_or_OHE_Tot,Tot_25_29_Other_FT,Tot_25_29_Other_PT,Tot_25_29_Other_NS,Tot_25_29_Other_Tot,Tot_25_29_Not_Stated,Tot_25_29_Tot,Tot_30ov_TertVE_TPTP_FT,Tot_30ov_TertVE_TPTP_PT,Tot_30ov_TertVE_TPTP_NS,Tot_30ov_TertVE_TPTP_Tot,Tot_30ov_TertUni_or_OHE_FT,Tot_30ov_TertUni_or_OHE_PT,Tot_30ov_TertUni_or_OHE_NS,Tot_30ov_TertUni_or_OHE_Tot,Tot_30ov_Other_FT,Tot_30ov_Other_PT,Tot_30ov_Other_NS,Tot_30ov_Other_Tot,Tot_30ov_Not_Stated,Tot_30ov_Tot,Tot_Tot_TertVE_TPTP_FT,Tot_Tot_TertVE_TPTP_PT,Tot_Tot_TertVE_TPTP_NS,Tot_Tot_TertVE_TPTP_Tot,Tot_Tot_TertUni_or_OHE_FT,Tot_Tot_TertUni_or_OHE_PT,Tot_Tot_TertUni_or_OHE_NS,Tot_Tot_TertUni_or_OHE_Tot,Tot_Tot_Other_FT,Tot_Tot_Other_PT,Tot_Tot_Other_NS,Tot_Tot_Other_Tot,Tot_Tot_Not_Stated,Tot_Tot_Tot
505031106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,3,0,0,0,0,0,0,0,0,0,3
505031107,17,0,0,17,0,17,0,0,0,0,0,0,0,0,18,0,0,18,0,22,0,0,0,6,5,0,0,5,3,0,0,3,0,13,0,0,0,0,9,3,0,10,0,0,0,0,0,13,0,3,0,9,30,0,0,34,0,3,0,3,0,46,3,0,0,3,4,4,0,8,0,0,0,0,0,7,4,14,0,18,8,23,0,28,0,9,0,12,8,69,10,26,0,37,55,33,0,83,57,11,0,72,8,202
505031255,15,0,0,15,0,18,0,0,0,4,0,0,0,0,25,0,0,25,0,24,6,4,0,7,3,0,0,3,3,0,0,3,0,15,4,6,0,8,17,0,0,17,0,0,0,0,0,22,13,9,0,24,34,7,0,45,0,0,0,0,0,65,7,3,0,8,3,3,0,9,0,0,0,0,0,23,4,21,0,27,17,31,0,45,0,9,0,9,3,87,27,44,0,72,73,45,0,116,49,11,0,58,3,254
505031256,5,0,0,5,0,5,0,0,0,0,0,0,0,0,8,0,0,8,0,8,0,0,0,0,0,0,0,0,5,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,6,9,7,0,13,0,0,0,0,0,22,5,0,0,0,5,0,0,0,3,0,0,0,0,12,4,6,0,9,3,0,0,3,4,3,0,10,8,29,10,15,0,19,13,8,0,26,22,4,0,26,10,84
505031257,8,0,0,8,0,8,0,0,0,0,0,0,0,0,5,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,5,0,0,0,3,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,3,0,7,0,3,0,5,0,0,0,0,0,14,3,9,0,11,5,11,0,15,15,0,0,15,5,51
505031258,21,0,0,21,0,19,0,3,0,3,0,0,0,0,23,0,0,23,0,25,6,0,0,0,9,0,0,13,3,0,0,3,0,20,0,0,0,7,7,0,0,7,0,0,0,0,0,8,7,15,0,21,28,8,0,37,3,0,0,3,0,63,9,3,0,5,11,6,0,9,0,0,0,0,0,24,4,33,0,37,10,13,0,30,3,12,0,14,0,74,22,49,0,69,69,25,0,97,67,15,0,79,0,253
505031303,16,0,0,16,0,16,0,0,0,3,0,0,0,0,19,0,0,19,0,23,3,0,0,8,12,0,0,12,0,0,0,4,0,24,0,14,0,14,4,0,0,4,0,0,0,3,0,23,12,19,0,29,50,11,0,58,3,5,0,9,0,93,5,12,0,20,8,4,0,14,0,0,0,0,0,32,4,26,0,31,6,22,0,26,6,10,0,21,3,83,27,70,0,97,89,36,0,124,56,15,0,78,3,303
505031304,11,0,0,11,0,11,0,0,0,0,0,0,0,0,22,0,0,22,0,20,0,0,0,0,3,4,0,3,0,0,0,0,0,3,0,0,0,3,10,0,0,10,0,0,0,0,0,12,0,4,0,4,23,3,0,24,0,0,0,0,0,37,0,5,0,7,6,4,0,12,0,0,0,0,0,21,7,11,0,13,5,12,0,13,0,3,0,6,3,41,6,28,0,32,43,22,0,70,38,3,0,45,3,147
505031305,99,0,0,99,0,109,5,20,0,27,0,0,0,0,110,0,0,112,0,139,16,60,0,75,68,9,0,77,10,3,0,15,0,174,8,57,0,66,85,12,0,97,3,0,0,6,0,168,77,172,0,247,280,81,0,367,15,8,0,28,3,643,43,71,0,119,76,46,0,114,8,20,0,25,3,261,69,190,0,257,58,93,0,153,20,71,0,87,32,537,217,583,0,806,568,246,0,814,355,101,0,462,46,2119
505031306,83,0,0,83,0,91,0,3,0,5,0,0,0,0,92,0,0,92,0,95,9,4,0,9,32,8,0,38,14,3,0,13,0,61,6,4,0,7,38,4,0,44,0,0,0,3,0,54,18,16,0,39,119,30,0,141,5,5,0,8,4,190,4,10,0,17,22,16,0,43,0,3,0,3,0,66,20,41,0,61,29,56,5,81,3,21,0,27,4,170,56,83,0,138,241,111,5,355,254,33,0,287,13,787
