POW_SA2_CODE_2021,Ag_For_Fish_ATSI,Ag_For_Fish_Non_Indig,Ag_For_Fish_Indig_Status_NS,Ag_For_Fish_Tot,Min_ATSI,Min_Non_Indig,Min_Indig_Status_NS,Min_Total,Mnf_ATSI,Mnf_Non_Indig,Mnf_Indig_Status_NS,Mnf_Tot,EGWWS_ATSI,EGWWS_Non_Indig,EGWWS_Indig_Status_NS,EGWWS_Tot,Const_ATSI,Const_Non_Indig,Const_Indig_Status_NS,Const_Tot,WST_ATSI,WST_Non_Indig,WST_Indig_Status_NS,WST_Tot,RetT_ATSI,RetT_Non_Indig,RetT_Indig_Status_NS,RetT_Tot,AcFd_ATSI,AcFd_Non_Indig,AcFd_Indig_Status_NS,AcFd_Tot,TPW_ATSI,TPW_Non_Indig,TPW_Indig_Status_NS,TPW_Tot,IMT_ATSI,IMT_Non_Indig,IMT_Indig_Status_NS,IMT_Tot,FinIns_ATSI,FinIns_Non_Indig,FinIns_Indig_Status_NS,FinIns_Tot,RHRE_ATSI,RHRE_Non_Indig,RHRE_Indig_Status_NS,RHRE_Tot,ProSTS_ATSI,ProSTS_Non_Indig,ProSTS_Indig_Status_NS,ProSTS_Tot,AdSup_ATSI,AdSup_Non_Indig,AdSup_Indig_Status_NS,AdSup_Tot,PubAS_ATSI,PubAS_Non_Indig,PubAS_Indig_Status_NS,PubAS_Tot,EdTrn_ATSI,EdTrn_Non_Indig,EdTrn_Indig_Status_NS,EdTrn_Tot,HltHC_SA_ATSI,HltHC_SA_Non_Indig,HltHC_SA_Indig_Status_NS,HltHC_SA_Tot,ArtsR_ATSI,ArtsR_Non_Indig,ArtsR_Indig_Status_NS,ArtsR_Tot,OthSvs_ATSI,OthSvs_Non_Indig,OthSvs_Indig_Status_NS,OthSvs_Tot,IDNS_ATSI,IDNS_Non_Indig,IDNS_Indig_Status_NS,IDNS_Tot,Tot_ATSI,Tot_Non_Indig,Tot_Indig_Status_NS,Tot_Tot
115011555,0,8,0,8,0,0,0,0,0,52,0,56,0,7,0,7,0,148,0,151,0,64,0,64,8,1716,0,1722,3,572,0,581,0,50,0,50,0,78,0,80,0,205,0,207,0,65,0,65,0,201,0,201,0,129,0,127,0,129,0,136,3,494,0,500,0,403,0,405,0,97,0,97,0,165,0,165,0,126,0,126,32,4706,9,4744
115011556,0,4,0,4,0,0,0,0,0,46,0,46,0,7,0,7,0,155,0,155,0,19,0,19,0,161,0,161,0,130,0,136,0,14,0,14,0,14,0,14,0,90,0,90,0,161,0,164,0,305,0,306,0,46,0,46,0,35,0,35,0,232,0,233,0,489,0,490,0,21,0,21,0,97,0,100,0,57,0,57,13,2094,0,2109
115011557,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,54,0,54,0,13,0,13,0,27,0,27,0,7,0,7,0,4,0,6,0,6,0,6,0,38,0,38,0,14,0,14,0,121,0,121,0,13,0,16,0,9,0,9,0,126,0,126,0,92,0,92,0,14,0,14,0,24,0,24,0,32,0,32,6,602,0,604
115011558,0,5,0,5,0,0,0,0,0,47,0,53,0,5,0,5,0,124,0,124,0,38,0,41,0,339,0,340,0,147,0,147,0,47,0,47,0,27,0,27,0,106,0,106,0,41,0,41,0,324,0,327,0,65,0,68,0,29,0,29,6,631,0,631,3,485,0,485,0,16,0,16,0,76,0,76,0,82,0,87,11,2636,7,2650
115011621,0,3,0,3,0,0,0,0,0,73,0,73,0,9,0,9,0,186,0,190,0,41,0,41,9,525,0,531,0,153,0,153,0,56,0,56,0,29,0,29,0,99,0,99,0,57,0,54,0,270,0,270,0,83,0,80,4,56,0,57,11,818,0,835,3,336,0,342,0,24,0,24,0,112,0,112,5,88,6,92,31,3010,0,3043
115011622,0,0,0,0,0,0,0,0,0,25,0,25,0,6,0,6,0,186,0,190,0,27,0,27,0,60,0,60,0,77,0,77,0,30,0,30,0,15,0,15,0,74,0,74,0,83,0,81,0,144,0,144,0,48,0,52,0,17,0,17,0,109,0,109,3,555,0,557,5,55,0,57,0,36,0,36,0,69,0,69,5,1613,0,1624
115021297,7,578,5,588,3,68,0,72,3,364,0,371,0,38,0,37,23,1370,8,1402,5,390,0,393,6,881,3,899,3,611,0,619,0,438,0,440,0,54,0,52,0,121,0,122,5,232,0,243,0,526,0,524,4,181,0,184,4,62,0,68,14,1309,0,1315,8,794,0,798,3,164,0,169,7,361,0,371,10,401,5,415,105,8949,23,9078
115021298,0,162,0,164,0,0,0,0,0,166,0,164,0,0,0,0,4,225,0,228,0,37,0,38,6,89,0,92,5,143,0,146,0,30,0,30,0,13,0,13,0,45,0,46,0,28,0,26,0,142,0,146,0,32,0,32,0,33,0,33,5,260,3,267,4,176,0,179,0,59,0,59,0,95,0,89,0,83,0,86,24,1818,6,1844
115031299,0,96,0,93,0,3,0,3,3,43,0,46,0,0,0,0,6,90,0,95,0,4,0,4,0,19,0,19,3,57,0,60,0,20,0,20,0,16,0,14,0,20,0,20,0,3,0,11,0,32,0,32,0,29,3,29,0,14,0,14,4,58,0,61,0,37,0,38,0,37,0,37,0,14,0,16,0,44,0,43,22,627,7,649
115031300,10,474,0,481,0,26,0,26,5,286,4,292,0,34,0,37,45,898,0,945,3,105,0,107,4,235,0,240,3,220,0,222,9,158,0,164,0,26,0,25,0,51,0,51,0,60,3,62,8,201,3,209,6,136,0,146,0,88,0,89,15,499,0,513,13,351,0,364,8,66,0,74,0,218,0,223,13,251,0,260,153,4362,12,4534
