POW_SA2_CODE_2021,SG_300_399_Mng,SG_300_399_Pro,SG_300_399_TecTW,SG_300_399_CoPSW,SG_300_399_ClAW,SG_300_399_SWks,SG_300_399_MaOpDv,SG_300_399_Lab,SG_300_399_IDNS,SG_300_399_Tot,SG_400_499_Mng,SG_400_499_Pro,SG_400_499_TecTW,SG_400_499_CoPSW,SG_400_499_ClAW,SG_400_499_SWks,SG_400_499_MaOpDv,SG_400_499_Lab,SG_400_499_IDNS,SG_400_499_Tot,SG_500_649_Mng,SG_500_649_Pro,SG_500_649_TecTW,SG_500_649_CoPSW,SG_500_649_ClAW,SG_500_649_SWks,SG_500_649_MaOpDv,SG_500_649_Lab,SG_500_649_IDNS,SG_500_649_Tot,SG_650_799_Mng,SG_650_799_Pro,SG_650_799_TecTW,SG_650_799_CoPSW,SG_650_799_ClAW,SG_650_799_SWks,SG_650_799_MaOpDv,SG_650_799_Lab,SG_650_799_IDNS,SG_650_799_Tot,SG_800_999_Mng,SG_800_999_Pro,SG_800_999_TecTW,SG_800_999_CoPSW,SG_800_999_ClAW,SG_800_999_SWks,SG_800_999_MaOpDv,SG_800_999_Lab,SG_800_999_IDNS,SG_800_999_Tot,SG_1000_1249_Mng,SG_1000_1249_Pro,SG_1000_1249_TecTW,SG_1000_1249_CoPSW,SG_1000_1249_ClAW,SG_1000_1249_SWks,SG_1000_1249_MaOpDv,SG_1000_1249_Lab,SG_1000_1249_IDNS,SG_1000_1249_Tot,SG_1250_1499_Mng,SG_1250_1499_Pro,SG_1250_1499_TecTW,SG_1250_1499_CoPSW,SG_1250_1499_ClAW,SG_1250_1499_SWks,SG_1250_1499_MaOpDv,SG_1250_1499_Lab,SG_1250_1499_IDNS,SG_1250_1499_Tot,SG_1500_1749_Mng,SG_1500_1749_Pro,SG_1500_1749_TecTW,SG_1500_1749_CoPSW,SG_1500_1749_ClAW,SG_1500_1749_SWks,SG_1500_1749_MaOpDv,SG_1500_1749_Lab,SG_1500_1749_IDNS,SG_1500_1749_Tot,SG_1750_1999_Mng,SG_1750_1999_Pro,SG_1750_1999_TecTW,SG_1750_1999_CoPSW,SG_1750_1999_ClAW,SG_1750_1999_SWks,SG_1750_1999_MaOpDv,SG_1750_1999_Lab,SG_1750_1999_IDNS,SG_1750_1999_Tot,SG_2000_2999_Mng,SG_2000_2999_Pro,SG_2000_2999_TecTW,SG_2000_2999_CoPSW,SG_2000_2999_ClAW,SG_2000_2999_SWks,SG_2000_2999_MaOpDv,SG_2000_2999_Lab,SG_2000_2999_IDNS,SG_2000_2999_Tot,SG_3000_3499_Mng,SG_3000_3499_Pro,SG_3000_3499_TecTW,SG_3000_3499_CoPSW,SG_3000_3499_ClAW,SG_3000_3499_SWks,SG_3000_3499_MaOpDv,SG_3000_3499_Lab,SG_3000_3499_IDNS,SG_3000_3499_Tot,SG_3500mo_Mng,SG_3500mo_Pro,SG_3500mo_TecTW,SG_3500mo_CoPSW,SG_3500mo_ClAW,SG_3500mo_SWks,SG_3500mo_MaOpDv,SG_3500mo_Lab,SG_3500mo_IDNS,SG_3500mo_Tot,SG_PINS_Mng,SG_PINS_Pro,SG_PINS_TecTW,SG_PINS_CoPSW,SG_PINS_ClAW,SG_PINS_SWks,SG_PINS_MaOpDv,SG_PINS_Lab,SG_PINS_IDNS,SG_PINS_Tot,SG_Tot_Mng,SG_Tot_Pro,SG_Tot_TecTW,SG_Tot_CoPSW,SG_Tot_ClAW,SG_Tot_SWks,SG_Tot_MaOpDv,SG_Tot_Lab,SG_Tot_IDNS,SG_Tot_Tot,LG_NNI_Mng,LG_NNI_Pro,LG_NNI_TecTW,LG_NNI_CoPSW,LG_NNI_ClAW,LG_NNI_SWks,LG_NNI_MaOpDv,LG_NNI_Lab,LG_NNI_IDNS,LG_NNI_Tot,LG_1_149_Mng,LG_1_149_Pro,LG_1_149_TecTW,LG_1_149_CoPSW,LG_1_149_ClAW,LG_1_149_SWks,LG_1_149_MaOpDv,LG_1_149_Lab,LG_1_149_IDNS,LG_1_149_Tot,LG_150_299_Mng,LG_150_299_Pro,LG_150_299_TecTW,LG_150_299_CoPSW,LG_150_299_ClAW,LG_150_299_SWks,LG_150_299_MaOpDv,LG_150_299_Lab,LG_150_299_IDNS,LG_150_299_Tot,LG_300_399_Mng,LG_300_399_Pro,LG_300_399_TecTW,LG_300_399_CoPSW,LG_300_399_ClAW,LG_300_399_SWks,LG_300_399_MaOpDv,LG_300_399_Lab,LG_300_399_IDNS,LG_300_399_Tot,LG_400_499_Mng,LG_400_499_Pro,LG_400_499_TecTW,LG_400_499_CoPSW,LG_400_499_ClAW,LG_400_499_SWks,LG_400_499_MaOpDv,LG_400_499_Lab,LG_400_499_IDNS,LG_400_499_Tot,LG_500_649_Mng,LG_500_649_Pro,LG_500_649_TecTW,LG_500_649_CoPSW,LG_500_649_ClAW,LG_500_649_SWks,LG_500_649_MaOpDv,LG_500_649_Lab,LG_500_649_IDNS,LG_500_649_Tot
128011604,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,3,11,0,0,0,0,19,0,12,0,0,7,0,0,0,0,24,0,19,0,0,3,0,0,5,0,27,0,34,3,5,3,0,0,4,0,51,4,28,0,4,10,0,0,8,0,50,0,43,0,15,0,5,4,0,0,63,3,43,0,15,0,0,8,8,0,76,23,63,0,22,0,0,17,4,0,119,5,7,0,4,0,0,0,0,0,16,6,6,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,40,241,13,86,41,5,28,31,4,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
128011605,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,30,0,3,7,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128011606,0,0,0,0,4,0,0,0,0,3,0,3,0,4,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,7,0,6,0,0,3,0,0,0,0,6,0,6,0,0,5,0,0,0,0,17,0,16,0,0,5,0,0,0,0,17,0,18,0,0,4,0,0,0,0,18,0,13,0,0,0,0,0,0,0,13,0,19,0,0,0,0,0,0,0,22,5,32,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,113,0,10,22,0,0,4,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128021533,0,0,0,3,0,0,0,4,0,8,0,0,0,3,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,9,0,3,0,7,0,0,0,8,0,22,0,4,0,19,8,0,0,4,0,32,0,17,0,10,7,0,0,0,3,39,4,11,0,3,3,0,0,4,0,32,5,19,0,4,3,0,0,6,0,34,4,21,0,0,0,0,10,12,0,45,3,35,0,0,0,0,22,8,0,78,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,123,7,67,26,0,31,46,6,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128021534,0,0,0,3,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,9,0,4,0,0,0,0,0,0,0,4,0,5,0,3,8,0,0,0,0,21,0,16,0,0,4,0,0,0,0,24,0,19,0,0,0,0,0,0,0,18,0,17,0,0,5,0,0,0,0,22,5,37,0,3,0,0,0,0,0,40,7,32,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,17,130,3,18,16,0,0,10,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
128021535,0,0,0,5,0,0,0,0,0,13,0,6,0,6,4,0,0,4,0,11,0,11,0,4,3,0,0,0,0,19,0,9,0,18,9,0,0,4,0,39,0,19,5,6,7,0,0,0,0,33,0,30,0,17,8,0,0,0,0,63,0,35,7,9,3,0,0,0,0,53,0,41,4,3,4,0,0,0,0,52,3,51,0,11,6,0,0,0,0,74,16,80,0,46,4,0,0,0,0,143,5,5,0,0,0,0,0,0,0,11,0,3,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,38,293,15,127,47,5,0,10,3,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
128021536,0,5,0,3,0,0,0,0,0,4,0,3,0,9,0,0,0,0,0,18,0,4,0,10,7,0,0,0,0,20,0,11,0,4,3,0,0,0,0,31,0,14,0,14,4,0,0,0,0,35,0,26,0,3,9,0,0,0,0,45,0,41,0,0,10,0,0,0,0,55,0,39,0,4,4,0,0,0,0,41,5,50,0,0,6,0,0,0,0,61,9,51,0,3,0,0,0,0,0,67,9,7,0,0,0,0,0,0,0,18,3,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,35,256,4,50,46,0,0,11,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128021537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,5,5,0,15,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128021538,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,9,0,8,6,0,0,0,0,18,0,16,4,13,6,0,0,0,3,39,0,23,8,20,13,0,0,10,0,63,4,29,7,30,22,0,0,6,7,97,0,38,3,50,25,3,0,0,0,124,3,32,4,55,14,0,0,3,0,115,3,65,8,47,3,0,0,3,0,135,34,80,16,87,13,0,0,3,7,230,14,13,3,9,4,0,0,0,0,35,7,10,6,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,0,0,68,314,38,323,117,5,5,28,13,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,7,4,0,0,0,0,7,0,0,0,5,0,0,0,0,0,6,0,0,0,12,3,0,0,0,0,17,0,11,0,19,6,0,0,4,0,36
128021607,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,4,0,10,0,7,0,8,0,0,0,0,0,18,0,9,0,6,0,0,0,0,0,20,0,4,0,8,6,0,0,4,0,24,0,13,0,7,3,0,0,8,0,38,0,18,0,4,12,0,0,0,5,39,0,21,3,4,8,0,0,0,0,33,0,25,0,13,5,0,0,0,0,51,13,37,0,27,0,0,0,0,0,89,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,33,137,7,101,35,3,3,16,7,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8
