POW_SA2_CODE_2021,Tot_Bf_91,Tot_91_95,Tot_96_00,Tot_01_05,Tot_06_10,Tot_11_15,Tot_16_20,Tot_2021,Tot_NS,Tot_Tot
119031665,246,71,103,111,149,122,110,4,7,920
119031666,204,67,91,87,112,107,110,3,8,793
119031667,165,47,58,70,80,48,65,0,5,532
119041377,283,58,78,78,88,82,105,0,10,775
119041378,1340,407,538,650,863,788,831,12,67,5493
119041379,322,90,108,130,175,131,171,0,9,1135
119041380,272,58,88,67,121,154,184,0,8,948
119041381,695,181,259,279,381,395,549,5,38,2789
119041382,253,56,64,89,106,101,129,0,19,808
119041668,412,102,136,115,187,186,261,0,18,1422
119041669,235,46,85,89,126,110,193,0,13,900
119041670,220,63,67,73,149,110,160,4,13,855
119041671,104,45,67,84,147,180,269,0,9,908
120011383,543,109,158,196,224,253,262,0,24,1760
120011385,463,99,140,173,217,216,369,0,22,1694
120011386,589,137,165,216,272,289,417,5,26,2110
120011672,1003,395,507,612,826,561,599,8,52,4567
120011673,846,314,512,655,930,898,1023,20,46,5244
120021387,495,119,184,199,296,323,361,4,19,2001
120021389,550,173,206,249,338,415,552,3,32,2509
120021674,307,77,107,121,155,151,239,0,16,1174
120021675,997,230,325,352,535,526,618,0,49,3630
120031392,224,47,81,76,88,94,136,0,0,747
120031393,403,101,111,118,190,152,197,3,26,1309
120031394,404,81,119,110,141,182,201,0,20,1256
120031395,462,108,156,169,228,231,397,0,16,1763
120031396,1178,351,510,550,767,735,1154,11,62,5314
120031576,457,125,190,177,265,250,348,0,24,1845
120031676,186,55,82,78,139,97,142,0,12,796
120031677,646,219,270,327,441,382,466,0,31,2777
120031678,1130,400,530,725,831,816,1060,10,79,5578
120031679,320,108,170,134,184,130,201,3,18,1265
120031680,616,181,282,321,411,371,560,7,33,2775
120031681,666,205,184,134,142,116,162,0,21,1631
121011399,476,159,258,334,443,369,412,10,22,2480
121011401,3390,1238,1642,1937,2551,2613,2660,42,137,16207
121011682,140,38,69,96,97,120,167,0,6,743
121011683,454,75,102,138,171,168,226,0,6,1352
121011684,2387,827,1276,1660,2190,2083,2535,25,109,13089
121011685,492,136,186,209,285,277,297,5,26,1907
121011686,945,331,464,533,671,667,963,21,51,4634
121011687,401,104,134,167,208,169,195,9,13,1402
121021403,510,135,211,229,315,261,237,0,18,1920
121021404,150,27,62,53,69,67,58,0,8,486
121021406,524,170,265,263,362,301,315,5,26,2233
121021577,917,308,472,586,846,645,730,6,42,4547
121021578,289,97,146,173,227,167,153,0,12,1260
121021579,227,84,112,161,216,156,212,3,9,1179
121031407,739,209,317,343,471,369,514,12,35,3016
121031408,665,169,260,284,369,317,345,0,20,2432
121031409,641,202,293,377,476,396,341,3,24,2756
121031410,574,152,267,309,402,269,363,5,17,2357
121031411,477,112,235,248,304,224,322,0,6,1925
121031412,771,219,324,397,514,374,346,7,23,2984
121041413,414,93,142,174,223,252,327,4,18,1654
121041414,900,275,392,403,621,651,822,23,40,4129
121041416,739,209,347,414,519,555,824,17,32,3647
121041417,4504,1774,2773,3425,4760,5883,6906,185,207,30413
121041688,357,103,131,162,200,218,371,3,18,1561
121041689,513,133,166,231,255,291,421,10,21,2039
122011418,546,134,229,253,332,279,392,4,19,2175
122011419,597,156,281,372,532,552,964,19,44,3524
122021420,348,70,113,134,137,122,165,0,3,1094
