POW_SA2_CODE_2021,P_OthSvs_H_0,P_OthSvs_H_1_19,P_OthSvs_H_20_29,P_OthSvs_H_30_34,P_OthSvs_H_35_39,P_OthSvs_H_40_44,P_OthSvs_H_45_49,P_OthSvs_H_50ov,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_19,P_IDNS_H_20_29,P_IDNS_H_30_34,P_IDNS_H_35_39,P_IDNS_H_40_44,P_IDNS_H_45_49,P_IDNS_H_50ov,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_19,P_Tot_H_20_29,P_Tot_H_30_34,P_Tot_H_35_39,P_Tot_H_40_44,P_Tot_H_45_49,P_Tot_H_50ov,P_Tot_H_NS,P_Tot_H_Tot
102011042,48,20,10,6,30,33,5,18,0,176,10,27,13,8,23,12,3,9,23,126,431,893,652,388,666,587,157,299,64,4138
102011043,21,27,12,8,36,19,9,17,4,148,5,9,10,5,19,7,4,0,20,90,231,621,418,249,440,289,79,145,37,2505
102021044,51,30,10,8,17,16,0,7,5,153,8,16,16,9,15,29,0,9,26,124,529,1085,709,403,724,595,172,273,66,4555
102021045,20,9,3,0,18,9,0,0,0,58,5,12,0,0,5,3,0,0,9,36,212,248,173,116,197,177,51,115,22,1308
102021046,22,3,0,0,4,7,0,0,0,42,5,8,3,0,9,0,0,4,7,37,161,251,169,85,146,120,33,79,15,1065
102021047,53,33,17,6,48,25,9,20,7,213,17,25,35,11,57,45,6,26,37,255,532,802,619,346,1063,1100,300,551,90,5412
102021048,58,10,9,10,16,13,4,8,4,124,13,15,13,4,17,11,0,8,34,124,657,1004,616,443,756,522,125,237,73,4421
102021049,4,9,8,5,17,4,0,9,0,61,4,4,3,0,10,3,0,6,3,37,130,153,112,73,133,166,28,99,21,912
102021050,20,11,0,5,3,8,0,4,3,61,4,10,4,4,9,8,0,0,9,55,181,300,253,148,429,286,89,171,26,1873
102021051,17,11,17,3,25,27,3,6,0,119,8,17,12,0,27,19,0,12,12,110,169,285,236,144,481,424,100,206,34,2078
102021052,8,7,7,0,5,7,0,4,0,36,0,5,0,0,4,0,0,5,3,21,71,134,81,46,118,95,12,66,9,633
102021053,75,30,13,5,23,24,9,9,4,186,18,28,13,6,13,18,0,3,33,133,530,761,408,224,519,434,130,235,65,3313
102021054,50,5,3,8,20,13,0,3,0,106,8,13,9,0,9,8,0,3,25,81,350,409,337,187,380,300,92,164,46,2261
102021055,100,57,35,25,85,68,15,26,11,430,45,47,34,25,75,87,15,37,77,448,1419,1461,1148,725,2241,1711,415,784,164,10063
102021056,38,31,21,5,31,25,10,12,4,173,17,24,27,20,52,53,7,12,52,259,706,897,889,777,1611,1500,366,704,133,7577
102021057,52,46,17,15,47,39,20,19,8,247,21,36,23,12,84,42,11,29,57,305,531,880,623,410,1613,924,305,510,121,5926
103011059,6,14,15,9,33,30,17,37,0,148,14,25,16,6,31,35,12,26,26,197,175,433,430,284,848,817,307,661,57,4014
103011060,0,6,0,0,10,3,0,3,0,31,5,5,8,3,5,8,0,3,14,43,58,210,126,110,157,239,65,278,28,1262
103011061,4,8,3,0,0,8,0,7,0,40,4,11,3,4,26,31,5,24,20,136,97,229,196,105,432,395,167,526,59,2206
103011612,22,74,66,34,120,84,21,54,0,474,19,42,18,17,75,53,13,30,82,352,537,1922,1467,903,2815,1892,592,1093,176,11397
103011613,5,20,7,6,28,17,6,10,0,105,5,16,11,8,17,32,0,10,19,125,127,332,295,270,603,692,229,385,42,2975
103021062,0,13,8,5,13,18,8,17,0,83,7,11,12,11,21,20,6,19,23,136,94,322,272,188,312,496,182,672,57,2602
103021063,3,24,23,16,50,36,10,33,0,191,10,12,12,15,22,32,14,27,32,169,184,580,516,356,855,711,219,492,77,3983
103021064,0,0,5,3,3,5,3,8,0,25,0,17,0,7,14,10,0,12,12,79,57,245,204,132,207,317,102,441,37,1739
103021065,0,18,17,13,34,45,22,25,4,179,3,23,8,11,35,35,3,27,32,178,147,522,437,362,783,821,259,760,96,4195
103021066,0,3,3,3,3,7,0,0,0,29,0,6,0,0,5,12,4,3,8,34,55,166,153,98,137,221,77,275,17,1198
103021067,9,23,20,15,49,53,21,24,0,214,4,22,16,12,26,30,8,15,32,164,179,583,509,355,989,747,270,631,59,4315
103021068,0,10,3,0,3,5,3,4,0,35,0,3,0,0,3,13,4,5,12,41,50,119,126,83,156,305,180,501,36,1552
103021069,0,17,13,6,19,22,6,24,3,107,6,14,0,11,25,12,9,6,24,109,112,312,253,192,356,408,145,844,67,2688
103031070,10,55,19,14,32,35,14,21,4,198,10,22,16,9,26,31,11,18,44,189,297,799,678,420,1166,978,254,449,92,5138
103031071,0,14,9,0,10,4,5,12,0,52,4,9,10,10,13,10,6,12,19,83,172,276,257,149,461,631,224,441,51,2661
103031072,15,48,37,21,66,72,18,56,5,331,8,46,16,5,30,34,4,26,44,213,322,986,866,522,1191,1095,309,763,119,6173
103031073,0,5,0,3,0,5,4,5,0,19,0,9,0,8,7,10,4,5,6,47,31,153,141,90,107,156,49,159,21,908
103031074,3,5,7,11,12,13,9,26,3,93,9,17,8,5,18,16,6,24,41,141,232,390,358,206,504,857,420,1308,119,4378
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,4,12,11,3,16,12,4,16,5,76,3,12,12,0,15,11,8,27,20,119,127,347,279,148,430,497,273,875,55,3032
103041077,27,88,87,57,165,167,53,108,4,764,12,53,28,23,103,89,14,50,114,497,820,2328,1993,1260,4005,3411,1139,2519,250,17722
103041078,9,30,30,11,31,36,15,57,4,218,5,11,11,5,24,30,11,21,35,162,149,554,465,312,862,800,291,752,81,4255
103041079,3,16,10,5,5,11,10,14,4,81,12,16,19,6,13,21,10,26,22,154,135,486,379,225,447,659,265,852,63,3515
104011080,13,55,45,38,107,80,23,39,7,409,11,42,28,16,74,54,11,30,94,366,459,1415,1249,943,2394,1657,481,965,210,9775
104011081,3,8,10,7,9,9,0,17,0,62,10,29,12,8,19,17,3,15,22,140,108,430,355,229,501,462,126,582,60,2853
104011082,7,48,42,14,45,48,13,13,5,230,14,32,20,13,34,28,5,24,67,235,253,1034,839,564,969,918,266,578,123,5548
104021083,0,12,7,8,6,6,0,9,3,55,8,10,9,3,9,5,0,11,12,65,96,448,343,230,336,256,69,180,35,1993
104021084,10,46,39,28,96,88,11,24,0,351,14,44,24,11,49,38,3,12,55,245,321,1327,1010,639,1449,1034,338,525,123,6758
104021085,10,94,67,57,148,115,43,71,9,619,30,81,51,34,110,79,24,45,120,577,700,2090,2011,1514,3581,2742,831,1413,268,15155
104021086,3,3,6,0,7,3,0,0,0,28,7,3,3,0,10,0,0,3,3,31,31,156,125,73,128,108,45,107,23,813
104021087,0,8,0,4,4,5,5,3,0,32,0,10,10,0,0,4,0,8,14,49,33,194,142,103,116,158,38,190,33,999
104021088,3,5,13,10,9,10,0,8,0,53,4,12,10,5,5,12,0,8,10,62,75,360,260,147,220,214,53,130,29,1483
104021089,15,29,19,17,45,38,9,6,0,187,6,35,16,19,45,32,3,21,37,217,216,984,676,502,868,776,211,478,89,4799
104021090,5,7,10,9,4,17,0,6,0,51,5,9,10,3,9,29,5,6,9,82,56,243,187,139,197,205,54,127,22,1225
104021091,4,27,21,10,36,25,7,10,0,144,5,31,17,14,22,16,0,12,33,151,125,647,573,359,698,587,155,368,87,3600
105011092,0,4,0,0,8,10,3,11,3,35,0,6,0,0,14,10,5,8,21,63,53,125,82,89,273,276,80,365,54,1392
105011093,3,8,3,3,8,14,3,17,0,59,10,12,0,3,6,15,3,13,20,83,164,187,172,98,237,349,175,873,52,2300
105011094,5,3,3,4,9,6,0,3,0,36,0,17,3,0,6,3,0,9,18,63,57,153,125,127,219,280,98,385,40,1488
105011095,3,5,5,4,8,16,5,12,0,50,9,18,13,3,16,13,3,14,25,111,93,203,188,147,377,459,157,747,64,2445
105011096,0,0,3,0,9,16,5,11,0,39,3,3,7,7,0,8,5,13,14,56,86,211,179,133,300,305,91,500,46,1852
105021097,7,49,24,18,71,56,12,35,0,288,7,26,14,13,34,43,3,22,77,234,388,938,674,498,1551,1387,389,1125,166,7121
105021098,0,3,5,0,0,0,0,3,0,10,0,5,3,0,0,3,0,8,9,37,33,89,64,46,106,175,40,367,23,936
105031099,0,7,4,3,14,20,4,9,0,68,11,17,4,13,10,14,3,12,20,108,86,399,311,216,405,442,163,564,59,2652
105031100,8,23,21,16,95,90,23,54,0,331,9,36,15,10,68,55,20,42,68,316,298,655,593,469,1525,1862,506,1133,138,7184
105031101,11,71,61,34,97,69,21,40,7,409,20,33,34,16,99,73,14,34,104,425,543,1495,1269,904,3196,2124,650,1223,222,11624
105031102,0,20,6,10,29,24,9,12,0,121,3,18,5,3,20,7,4,12,29,100,113,358,311,203,608,500,160,336,57,2644
105031103,0,6,3,0,4,4,0,7,0,26,4,8,4,0,8,5,0,10,10,38,25,137,86,69,148,180,60,303,21,1034
105031104,0,7,4,0,11,9,0,14,0,45,6,14,5,4,13,13,0,11,16,71,64,216,170,135,218,249,72,382,47,1558
105031105,0,6,3,3,16,15,11,17,0,71,4,8,3,4,17,24,7,24,21,107,87,206,227,157,337,388,138,649,58,2241
105031106,5,8,11,3,15,16,8,16,0,82,11,16,7,4,12,8,6,16,43,126,115,371,272,207,606,527,160,525,80,2861
106011107,11,39,20,14,15,16,4,14,4,142,20,33,19,7,30,25,7,15,41,200,791,957,580,390,788,700,155,488,92,4941
106011108,20,60,46,32,77,51,13,23,3,321,13,34,15,17,30,36,8,18,60,228,512,1285,1053,664,1634,1225,375,585,123,7459
106011109,3,10,9,0,0,6,0,5,0,34,11,25,9,9,6,10,0,3,12,86,106,308,176,124,268,331,113,236,31,1688
106011110,5,20,17,14,9,20,0,17,0,97,9,15,13,13,11,12,0,12,16,98,115,465,347,221,327,391,120,374,52,2412
106011111,18,37,34,16,28,25,10,10,5,182,5,14,6,13,43,41,7,24,28,181,196,700,591,425,741,702,192,415,63,4034
106011112,22,44,54,23,89,89,42,73,11,444,12,33,30,16,49,42,16,45,79,322,418,1259,1005,550,1532,1726,564,1444,167,8664
106011113,5,10,9,4,18,47,15,46,3,163,14,23,9,5,27,52,9,28,51,214,449,296,421,185,1185,1826,964,2675,154,8152
106021114,24,63,50,26,57,54,19,25,3,311,12,12,19,17,38,39,9,19,53,215,491,1120,1116,790,1926,1323,371,582,121,7843
106021116,0,12,12,7,5,6,0,0,0,42,4,11,4,0,3,4,0,3,11,39,58,245,187,111,225,229,43,152,18,1278
106021614,26,69,70,45,79,73,33,37,9,434,9,31,15,9,32,34,5,16,63,208,561,1711,1238,699,1357,1198,351,557,104,7769
106021615,9,38,19,10,24,7,5,12,0,124,0,19,13,3,8,11,4,10,22,85,168,669,456,314,550,419,129,290,52,3048
106021616,20,32,31,21,119,164,56,97,3,551,18,27,29,14,74,96,32,50,37,376,233,528,448,348,1197,1394,488,939,87,5648
106021617,0,10,12,10,6,0,0,3,0,43,0,7,4,5,9,3,4,5,12,50,100,312,198,182,256,263,75,193,19,1606
106021618,7,27,15,19,46,57,21,33,0,240,17,31,31,18,91,70,14,42,45,349,222,791,654,426,1193,1307,379,687,99,5760
106031119,9,19,11,8,15,13,0,4,0,72,3,10,3,0,5,3,0,4,15,45,93,247,150,88,149,161,42,101,20,1058
106031120,3,16,8,7,5,16,0,3,0,60,3,4,3,0,7,3,0,0,5,32,61,245,168,95,142,117,28,78,17,947
106031121,26,65,55,20,43,53,11,20,3,311,14,60,26,17,44,32,7,22,40,257,673,1786,1100,648,1237,970,266,517,98,7303
106031122,21,39,40,26,121,126,33,42,6,449,23,44,29,25,121,101,38,68,75,532,565,1176,1029,714,2709,2569,1163,1501,187,11626
106031123,0,11,7,9,4,10,0,3,0,43,8,4,0,0,0,9,0,7,9,30,28,121,94,66,95,154,42,186,21,808
106031124,3,6,4,0,7,6,4,5,0,40,5,14,4,0,5,8,3,7,8,57,98,270,184,121,174,170,63,111,32,1222
106031125,11,32,23,18,28,20,6,20,3,161,13,21,8,8,31,28,10,20,55,185,427,783,546,366,1860,1986,527,697,110,7307
106041126,7,44,32,18,73,85,48,79,0,385,15,25,14,12,38,52,12,45,81,299,480,770,744,426,1665,1670,777,1881,183,8603
106041127,0,0,3,5,3,8,0,5,0,21,0,8,0,3,3,5,4,6,14,52,96,195,206,99,299,417,236,625,37,2206
106041128,0,18,17,8,24,22,3,17,0,112,9,15,0,3,21,21,4,3,27,98,108,465,340,247,689,569,167,350,49,2989
