POA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_rent_weekly,Median_tot_hhd_inc_weekly
3663,51,1515,274,2042
3664,49,1500,300,1418
3665,51,1000,265,1261
3666,54,1200,250,1153
3669,57,1300,250,1059
3670,52,1300,260,1312
3672,51,1253,250,1142
3673,52,1500,200,1351
3675,48,1408,250,1505
3677,44,1300,260,1218
3678,48,1600,250,1658
3682,45,1300,230,1509
3683,50,1300,260,1338
3685,49,1300,250,1351
3687,49,1473,230,1280
3688,42,1517,280,1765
3690,39,1385,285,1400
3691,36,1713,340,2076
3695,48,1517,245,1823
3697,52,1400,220,1375
3698,50,1300,285,1392
3699,41,910,280,1017
3700,49,1213,240,1223
3701,53,1300,190,1381
3704,57,1491,305,1333
3705,54,1062,130,1281
3707,52,897,200,1111
3708,58,535,250,974
3709,62,1049,170,1187
3711,53,1733,348,1367
3712,55,975,248,1067
3713,57,1188,250,946
3714,52,1324,250,1155
3715,53,1500,271,1187
3717,53,1500,300,1216
3718,61,1733,351,1249
3719,56,1240,235,1268
3720,54,1300,296,1315
3722,47,1600,331,1360
3723,47,1328,273,1293
3725,49,1421,200,1475
3726,52,953,231,1112
3727,52,1224,210,1087
3728,47,1021,150,1190
3730,51,1443,290,1192
3732,48,1300,200,1381
3733,53,1083,200,1137
3735,50,1300,265,1531
3737,50,1400,250,1211
3738,49,1454,183,1406
3739,50,1600,225,1362
3740,46,1625,380,1567
3741,48,1573,300,1389
3744,47,1400,275,1615
3746,52,1300,225,1312
3747,49,1560,300,1436
3749,50,1614,300,1663
3750,30,2000,391,1979
3751,53,3500,390,1375
3752,36,1900,390,2078
3753,32,2052,400,2266
3754,33,1962,390,2086
3755,48,2550,388,1520
3756,33,1733,360,1910
3757,41,1950,349,1754
3758,40,1900,305,2091
3759,48,2167,350,2367
3760,49,2167,278,2468
3761,46,2167,340,2216
3762,48,1800,210,2036
3763,43,1733,300,1737
3764,41,1690,338,1597
3765,41,2000,365,2088
3766,43,1950,416,2087
3767,45,2167,415,2055
3770,40,1950,360,2014
3775,44,2015,380,1875
3777,46,1733,350,1517
3778,51,1472,191,1542
3779,59,1272,300,1078
3781,36,1755,370,1993
3782,43,2000,383,2133
3783,41,1907,360,2002
3785,39,2167,401,2187
3786,45,2167,400,2393
3787,47,2032,410,2153
3788,45,2000,398,1995
3789,47,2500,355,2408
3791,47,2028,347,2003
3792,46,2085,415,2092
3793,41,1915,369,1722
3795,41,2167,350,2158
3796,38,2000,365,2045
3797,44,1797,300,1335
3799,46,1412,300,1226
3802,39,1848,375,1740
3803,36,1700,361,1489
3804,42,2250,450,2630
3805,35,1837,380,1942
3806,38,2000,400,2122
3807,39,2037,390,2303
3808,42,2230,350,2731
3809,31,2000,396,2123
3810,33,1733,351,1677
3812,42,2079,305,2014
3813,43,1965,293,2111
3814,40,1853,330,1681
3815,39,1971,311,1928
3816,37,1517,330,1491
3818,40,1649,330,1456
3820,40,1625,321,1566
3821,44,1733,280,1834
3822,41,1517,300,1790
3823,45,1517,320,1375
3824,43,1500,300,1482
3825,45,1083,215,1073
3831,48,1610,250,1391
3832,53,1334,250,1208
3833,56,1083,250,954
3835,46,1300,250,1220
3840,44,1083,215,1038
3842,38,997,230,1109
3844,40,1324,277,1551
3847,43,1235,250,1302
3850,42,1300,280,1339
3851,47,1300,205,1120
3852,24,737,75,1625
3854,41,1517,260,1967
3856,39,1400,270,1732
3857,47,1262,215,1571
3858,46,1127,216,1193
3859,42,1394,250,1579
3860,43,1300,250,1311
3862,42,1300,280,1388
3864,48,1218,190,1274
3865,43,1149,260,1292
3869,43,1419,250,1676
3870,50,1100,213,1219
3871,48,1387,258,1272
3873,41,1300,113,1485
3874,58,1000,230,1062
3875,46,1300,280,1239
3878,59,1456,310,1209
3880,63,1200,309,973
3882,47,1733,300,1390
3885,47,1300,230,1241
3886,49,1200,150,1132
3887,55,850,205,939
3888,54,1000,200,892
3889,63,1083,235,719
3890,53,705,122,806
3891,60,1084,90,756
3892,59,1148,221,1031
3893,61,1084,0,1875
3895,54,765,150,985
3896,52,1029,120,1353
3898,52,1196,231,1202
3900,59,1142,150,1017
3902,56,1320,300,1077
3903,51,1300,210,1074
3904,60,1300,346,1219
3909,54,1300,260,964
3910,38,1863,365,1919
3911,41,1800,356,1834
3912,40,1896,381,1837
3913,42,1824,383,1858
3915,42,1700,320,1211
3916,59,2167,418,2109
3918,46,1842,366,1615
3919,39,1603,340,1447
3920,21,0,260,2323
3921,52,1800,346,1014
3922,53,1517,330,1104
3923,60,1606,320,1254
3925,47,1517,330,1398
3926,49,2167,456,1871
3927,53,2167,391,1906
3928,56,2550,354,2166
3929,63,2500,451,2104
3930,45,2600,512,2547
3931,50,2000,400,1451
3933,48,3033,351,2256
3934,46,2167,496,2097
3936,51,1950,405,1398
3937,52,2167,473,2313
3938,55,2000,392,1433
3939,50,1800,350,1228
3940,59,1603,350,950
3941,49,1800,369,1351
3942,58,2000,400,1490
3943,64,2167,462,1658
3944,68,2806,577,2470
3945,50,1634,300,1582
3946,51,1733,285,1687
3950,47,1338,270,1207
3951,49,1517,216,1565
3953,46,1473,270,1316
3954,53,1517,252,1825
3956,51,1300,265,1138
3957,41,1300,260,1625
3958,47,1150,260,1649
3959,53,1408,250,1318
3960,58,1348,236,1035
3962,54,1000,240,937
3964,52,1083,200,1178
3965,62,888,220,909
3966,49,1192,220,987
3967,55,1200,190,1274
3971,54,1200,236,978
3975,33,2080,416,2328
3976,33,1583,351,1538
3977,33,1907,380,1895
3978,30,2167,406,2158
3979,45,1897,200,1731
3980,40,1815,350,1847
3981,36,1842,313,1756
3984,45,1555,300,1285
3987,41,1733,315,1828
3988,42,1713,250,1618
3990,56,2134,308,1562
3991,49,1500,225,1262
3992,43,1517,280,1402
3995,50,1300,280,1034
3996,54,1700,345,1291
4000,31,1866,450,1860
4005,38,2179,450,2258
4006,31,1800,420,1871
4007,39,2232,420,2130
4008,40,1500,350,1666
4009,38,0,450,824
4010,33,1950,410,1972
4011,38,2300,360,2115
4012,36,2041,385,2016
4013,35,2100,360,2041
4014,37,2147,450,2354
4017,41,1907,390,1934
4018,37,1679,390,1568
4019,47,1733,330,1283
4020,50,1900,360,1365
4021,43,1583,350,1297
4022,43,1676,380,1305
4025,45,1517,213,1224
4030,33,2200,390,2131
4031,35,2200,375,2146
4032,36,1886,385,1582
4034,39,1900,390,1808
4035,40,2167,470,2458
4036,36,1733,388,1931
4037,38,2151,460,2771
4051,34,2229,380,2318
4053,36,2063,410,2152
4054,38,1950,410,1949
4055,38,2100,430,2496
4059,30,2383,400,1934
4060,38,2600,440,2874
4061,42,2253,490,2573
4064,33,2528,450,2434
4065,38,2817,500,3394
4066,31,2130,410,2013
4067,25,2000,410,1761
4068,34,2100,410,2094
4069,42,2500,540,3019
4070,40,2100,460,2435
4073,43,2167,455,2543
4074,40,2000,440,2271
4075,38,2167,400,2239
4076,35,1499,350,1523
4077,32,1517,340,1342
4078,36,1664,370,1838
4101,32,2031,450,1973
4102,29,2000,430,1840
4103,33,2000,365,1909
4104,39,2167,380,1932
4105,36,2000,370,2001
4106,34,1635,335,1493
4107,35,2000,400,2133
4108,34,1729,360,1567
4109,36,1907,410,1689
4110,32,1950,370,1906
4111,28,1950,300,1682
4112,34,2100,400,2136
4113,35,1730,410,1823
4114,32,1300,290,1080
4115,36,1842,420,1967
4116,35,1842,420,1970
4117,28,1777,410,1872
4118,35,1625,360,1744
4119,34,1950,400,1992
4120,33,1900,380,1949
4121,37,2351,410,2452
4122,36,2000,415,1935
4123,35,2000,420,2089
4124,35,1950,360,2040
4125,33,1800,380,1598
4127,38,1700,342,1602
4128,38,1950,400,2125
4129,34,1668,395,1840
4130,41,2102,425,2318
4131,32,1517,350,1376
4132,29,1450,350,1437
4133,32,1651,370,1505
4151,35,2047,380,2105
4152,38,2200,450,2318
4153,39,2167,460,2431
4154,37,2383,510,3044
4155,45,3467,368,2905
4156,40,2300,490,2902
4157,40,1820,385,1794
4158,41,1787,370,1488
4159,43,2000,435,1903
4160,44,2037,450,2107
4161,38,1820,400,1829
4163,51,2000,400,1430
4164,36,2167,470,2218
4165,42,2003,460,1970
4169,35,2000,435,2057
4170,34,2383,440,2426
4171,38,2800,470,2830
4172,35,2167,450,2362
4173,38,1863,420,1940
4174,36,2000,430,2140
4178,41,2000,410,1840
4179,42,2123,420,2085
4183,52,1733,300,1147
4184,61,904,260,761
4205,48,1500,340,1074
4207,34,1655,350,1494
4208,34,2000,445,2136
4209,30,1950,445,1932
4210,36,2000,460,2133
4211,39,1907,430,1727
4212,45,2167,525,1977
4213,40,2100,500,2057
4214,40,1950,480,1740
4215,40,1560,400,1239
4216,50,1800,430,1336
4217,44,1950,437,1466
4218,41,2058,450,1751
4220,41,2028,480,1746
4221,40,2100,450,1729
4223,42,2167,475,1749
4224,39,1950,460,1737
4225,49,1842,410,1351
4226,40,1950,520,1729
4227,36,1950,485,1791
4228,43,2500,500,2330
4270,41,2167,450,2211
4272,50,1800,420,1508
4275,41,2000,400,1940
4280,35,1950,400,2095
4285,41,1742,315,1476
4287,47,1300,230,1111
4300,32,1765,380,2032
4301,28,1517,350,1556
4303,37,1100,280,1169
4304,37,1300,300,1300
4305,37,1387,300,1416
4306,34,1804,370,2114
4307,43,1517,290,1722
4309,45,1517,300,1368
4310,50,1480,291,1229
4311,43,1387,300,1334
4312,57,1300,260,990
4313,52,1300,260,1047
4314,57,983,230,831
4340,43,1517,300,1414
4341,41,1500,315,1432
4342,41,1300,300,1352
4343,36,1428,295,1356
4344,42,1517,308,1555
4346,40,1573,300,1522
4347,40,1357,280,1391
4350,38,1500,305,1428
4352,39,1733,360,2001
4353,44,1565,260,1281
4354,45,1300,253,1276
4355,55,1200,268,969
4356,42,1425,270,1417
4357,47,1083,231,1139
4358,33,1478,290,1648
4359,41,1313,255,1625
4360,46,1300,265,1215
4361,49,1300,245,1105
4362,49,1300,260,1110
4363,42,1300,255,1398
4364,41,858,235,1357
4365,53,1229,245,964
4370,45,1300,260,1145
4371,52,1367,235,1255
4372,56,1240,170,1271
4373,56,1083,240,956
4374,52,1172,230,1194
4375,42,1273,225,1078
4376,49,1225,213,955
4377,52,1040,255,1139
4378,44,1300,265,1408
4380,50,1299,250,1035
4381,47,1083,260,1036
4382,53,1343,240,1278
4383,56,863,208,825
4384,44,1169,300,1625
4385,51,910,200,868
4387,50,943,200,1019
4388,46,650,150,1050
4390,37,1517,295,1641
4400,35,1517,310,1652
4401,41,1300,265,1291
4402,57,585,140,758
4403,41,1083,225,1360
4404,41,1603,175,1699
4405,36,1300,255,1447
4406,42,988,210,1388
4407,47,927,198,1292
4408,48,900,200,1057
4410,51,971,200,1011
4411,41,600,150,1531
4412,40,800,140,1264
4413,35,1339,250,1560
4415,41,1083,200,1252
4416,37,1300,200,1466
4417,40,828,150,1285
4418,48,548,50,1125
4419,35,500,160,1428
4420,40,867,173,1529
4421,48,780,180,854
4422,47,1300,125,1239
4423,38,1860,100,1031
4424,37,1100,180,1437
4425,41,702,120,1343
4426,50,1000,110,1281
4427,50,650,182,1021
4428,42,1083,155,1483
4454,43,436,150,1509
4455,36,1408,250,1772
4461,58,0,250,1187
4462,49,205,0,1292
4465,44,997,170,1037
4467,47,0,110,1333
4468,50,150,110,1109
4470,42,876,178,1345
4472,49,867,157,1162
4474,47,750,62,1187
4477,46,450,100,1131
4478,42,771,144,1379
4479,59,3188,0,1312
4480,40,850,140,1330
4481,38,0,90,2125
4482,40,953,113,1792
4486,45,650,140,1257
4487,38,1230,210,1400
4488,43,367,155,1069
4489,51,0,155,833
4490,43,707,125,920
4491,57,1045,93,959
4492,35,696,153,1625
4493,65,3000,0,1875
4494,35,0,75,1406
4496,38,532,205,1300
4497,42,800,132,1228
4498,32,0,110,1625
4500,36,1783,375,1947
4501,37,1517,320,1371
4502,38,1725,360,1853
4503,33,1733,360,1705
4504,33,1900,415,2207
4505,37,1820,360,1753
4506,34,1560,345,1449
4507,63,1647,335,961
4508,40,1517,325,1270
4509,33,1998,410,2113
4510,38,1588,325,1318
4511,50,1733,385,1204
4512,43,2000,345,2115
4514,39,1733,350,1616
4515,42,1517,340,1403
4516,40,2000,370,2183
4517,43,1800,325,1442
4518,42,1820,400,1740
4519,41,1733,390,1534
4520,45,2459,488,2795
4521,44,2167,385,2189
4550,42,1777,390,1646
4551,44,1950,450,1489
4552,56,1700,370,1259
4553,34,2000,500,2171
4554,45,1950,363,1893
4555,43,1930,425,1768
4556,42,2000,451,1687
4557,39,1950,459,1730
4558,46,1733,410,1384
4559,43,1950,400,1785
4560,43,1733,375,1415
4561,41,1950,400,1848
4562,46,2058,465,1945
4563,50,1733,420,1436
4564,49,1804,433,1495
4565,51,1842,440,1302
4566,56,1991,490,1399
4567,49,2167,515,1833
4568,48,1731,413,1421
4569,46,1517,385,1294
4570,46,1300,295,1169
4571,49,1600,300,1254
4572,47,1820,410,1682
4573,42,2000,490,1771
4574,49,1517,300,1244
4575,43,2037,470,1696
4580,63,1200,280,772
4581,55,1560,280,1006
4600,53,1000,220,948
4601,49,1083,180,1014
4605,41,953,140,991
4606,52,1073,220,1003
4608,50,1100,240,1055
4610,41,1200,260,1249
4611,48,867,250,1125
4612,53,1300,205,732
4613,53,778,180,784
4614,54,867,220,811
4615,52,1000,225,909
4620,56,700,200,945
4621,53,971,200,791
4625,48,1083,228,1120
4626,42,1200,210,1263
4627,47,834,140,980
4630,51,867,170,990
4650,49,1150,255,1035
4655,51,1439,340,1109
4659,60,1300,270,858
4660,56,1127,280,945
4662,45,1300,270,1125
4670,46,1300,285,1194
4671,52,1000,250,958
4673,53,1200,200,1138
4674,55,1010,210,864
4676,57,1042,150,880
4677,50,1493,300,1072
4678,55,1517,233,1187
4680,36,1638,275,1746
4694,49,1127,250,1350
4695,43,1445,200,1519
4697,47,1000,175,1125
4699,44,1690,238,1262
4700,39,1300,265,1403
4701,37,1400,270,1496
4702,37,1560,330,1649
4703,43,1733,350,1636
4704,48,1700,250,1399
4705,46,0,110,1577
4706,51,1000,80,1062
4707,52,793,100,977
4709,29,33,15,3125
4710,48,1517,350,1272
4711,44,1885,350,2276
4712,45,643,115,1300
4713,23,0,120,684
4714,53,840,200,813
4715,36,1387,260,1908
4716,43,1404,200,1668
4717,31,1083,220,2358
4718,35,1083,225,1797
4719,41,1099,200,1375
4720,32,1642,300,2203
4721,36,1300,220,1882
4722,39,1192,200,1838
4723,35,1517,210,1925
4724,44,650,120,1547
4725,43,1213,200,1487
4726,41,313,94,1320
4727,43,607,190,1325
4728,38,542,100,1292
4730,39,1188,200,1623
4731,54,521,95,1036
4732,45,2000,80,1042
4733,39,0,300,1812
4735,47,867,150,1276
4736,39,1260,100,1437
4737,41,1733,300,1650
4738,48,1557,240,1510
4739,54,1300,175,966
4740,38,1733,340,1839
4741,44,1733,250,1768
4742,37,1300,277,1955
4743,35,1950,32,2394
4744,31,1300,111,3079
4745,32,672,100,2444
4746,32,1120,55,2660
4750,36,1733,380,2077
4751,37,1733,360,2156
4753,33,1924,400,2367
4754,36,1700,300,1968
4756,48,1415,250,1205
4757,48,1300,250,1013
4798,47,1300,230,1328
4799,52,1400,220,1105
4800,44,1625,280,1489
4802,36,1733,365,1622
4804,43,1000,200,1242
4805,42,1500,270,1344
4806,49,1100,220,1271
4807,44,1300,230,1353
4808,46,1228,200,1496
4809,47,1235,200,1303
4810,40,1600,300,1610
4811,36,1517,340,1807
4812,39,1400,260,1352
4814,34,1515,320,1717
4815,35,1408,295,1486
4816,44,1560,150,1300
4817,36,1517,330,1866
4818,32,1702,355,2074
4819,58,1353,290,1001
4820,41,1300,220,1341
4821,41,769,160,1352
4822,36,800,133,1770
4823,34,550,130,1735
4824,34,1200,240,1930
4825,31,1536,260,2212
4828,36,307,147,1339
4829,37,1020,141,1571
4830,26,489,123,1223
4849,60,1300,252,852
4850,51,1170,200,1161
4852,50,1400,300,1244
4854,43,1300,250,1296
4855,46,1300,260,1225
4856,47,1083,250,1171
4858,44,1409,260,1419
4859,46,882,240,1154
4860,42,1285,250,1175
4861,47,1170,230,1131
4865,38,1647,325,1750
4868,38,1517,350,1554
4869,32,1517,365,1745
4870,39,1600,310,1510
4871,42,1300,170,1250
4872,49,1374,225,1253
4873,47,1430,260,1218
4874,30,2061,295,2606
4875,28,1791,148,1362
4876,24,1300,120,1324
4877,45,1636,350,1426
4878,41,1625,360,1555
4879,44,1733,400,1701
4880,40,1500,280,1304
4881,47,1647,270,1352
4882,44,1600,300,1479
4883,46,1368,280,1153
4884,53,1489,288,1332
4885,51,1339,250,1269
4886,51,1000,230,1039
4887,50,1083,230,955
4888,52,1083,250,859
4890,30,992,170,1698
4891,55,1168,220,974
4892,30,600,120,1080
4895,40,1300,140,1028
5000,31,1733,400,1365
5006,39,1914,390,1867
5007,35,1710,365,1673
5008,37,1712,310,1489
5009,38,1700,315,1561
5010,38,1500,230,1229
5011,36,1733,340,1729
5012,35,1506,285,1320
5013,39,1441,260,1254
5014,41,1583,300,1372
5015,42,1517,315,1430
5016,43,1710,305,1655
5017,40,1400,260,1144
5018,51,1636,365,1566
5019,48,1733,300,1437
5020,48,1950,390,1758
5021,54,1788,370,1548
5022,47,2000,340,1871
5023,39,1712,310,1347
5024,45,2000,340,1672
5025,41,1814,375,1710
5031,37,1800,350,1664
5032,40,1800,300,1635
5033,37,1647,300,1418
5034,41,2105,350,2020
5035,37,1733,300,1627
5037,37,1733,320,1575
5038,36,1733,315,1553
5039,37,1821,300,1554
5040,45,2060,165,1468
5041,42,2000,320,2025
5042,36,1625,315,1476
5043,38,1614,300,1307
5044,47,2000,350,1724
5045,47,1950,330,1600
5046,40,1733,335,1421
5047,37,1733,350,1434
5048,47,1850,350,1576
5049,44,1852,375,1853
5050,45,1800,380,1871
5051,42,1950,375,2172
5052,45,2000,380,2168
5061,44,2383,375,2291
5062,44,2167,340,2194
5063,42,2078,380,1916
5064,46,2556,400,2131
5065,43,2167,335,1859
5066,45,2455,410,2399
5067,40,2150,380,1820
5068,44,2000,340,1725
5069,41,2179,330,1976
5070,41,1828,320,1507
5072,41,2000,350,1797
5073,40,1842,350,1667
5074,39,1707,335,1447
5075,43,1650,350,1477
5076,43,1733,360,1938
5081,43,2167,355,2056
5082,37,1950,340,1995
5083,37,1795,320,1779
5084,33,1517,290,1314
5085,34,1642,350,1692
5086,36,1625,300,1574
5087,36,1628,310,1536
5088,37,1500,300,1363
5089,41,1733,369,2038
5090,46,1517,320,1270
5091,42,1582,340,1713
5092,39,1471,335,1492
5093,39,1430,320,1417
5094,38,1348,310,1320
5095,34,1517,350,1659
5096,38,1320,310,1442
5097,42,1500,335,1564
5098,40,1449,320,1375
5106,79,0,309,525
5107,36,1381,300,1385
5108,36,1257,280,1226
5109,39,1300,295,1255
5110,36,1378,310,1403
5111,23,0,104,1350
5112,37,1192,230,992
5113,34,975,250,944
5114,33,1300,300,1481
5115,29,1300,300,1439
5116,38,1387,300,1301
5117,35,1827,350,2248
5118,43,1452,280,1488
5120,35,1733,300,1763
5121,37,1454,333,1390
5125,42,1635,320,1841
5126,40,1517,340,1809
5127,42,1517,310,1733
5131,49,2000,395,2243
5132,47,1950,263,2092
5133,47,2000,300,2233
5134,46,2029,350,1895
5136,41,2167,315,2316
5137,50,2016,350,2312
5138,43,1907,363,1988
5139,38,2000,330,2089
5140,40,2058,500,2625
5141,43,2167,365,2241
5142,43,1800,385,2079
5144,53,2200,300,1699
5150,44,2300,260,2666
5151,41,2100,280,2386
5152,46,2167,420,2430
5153,45,1733,340,2033
5154,45,2200,500,2561
5155,41,1733,400,2074
5156,41,1800,345,2229
5157,48,1950,285,1936
5158,41,1600,370,1857
5159,43,1590,355,1801
5160,48,2167,190,725
5161,40,1365,325,1334
5162,41,1300,300,1308
5163,40,1300,280,1209
5164,41,1148,250,889
5165,39,1395,325,1194
5166,44,1200,300,1072
5167,43,1517,340,1439
5168,40,1365,274,1250
5169,37,1562,340,1527
5170,46,1320,335,1380
5171,49,1733,330,1503
5172,47,1733,320,1809
5173,40,1400,320,1290
5174,42,1463,315,1445
5201,41,1700,340,1973
5202,40,1404,300,1537
5203,56,1300,250,1069
5204,60,1227,278,947
5210,41,1541,340,1647
5211,60,1300,290,994
5212,61,1210,280,1073
5213,49,1300,283,1330
5214,62,1198,277,938
5220,43,880,200,1100
5221,62,711,200,861
5222,56,1053,220,1004
5223,48,1083,211,1209
5231,46,1733,300,1912
5232,52,1888,120,1875
5233,48,1625,280,1787
5234,43,1602,320,1754
5235,48,1420,250,1365
5236,45,1408,250,1192
5237,50,1092,225,1192
5238,57,1083,215,838
5240,43,1733,325,1968
5241,43,1473,310,1529
5242,44,1647,335,1851
5243,48,1824,340,2024
5244,45,1625,320,1714
5245,51,1978,350,1788
5250,41,1733,370,2127
5251,37,1625,350,1634
5252,37,1500,340,1768
5253,43,1116,240,1083
5254,44,1300,250,1369
5255,47,1517,300,1364
5256,56,1083,250,874
5259,49,1127,150,1255
5260,49,879,225,912
5261,45,889,150,1163
5262,44,1017,200,1458
5263,53,1135,75,1708
5264,54,1042,198,1039
5265,48,467,150,1088
5266,37,845,150,1461
5267,42,773,170,1412
5268,41,888,220,1483
5269,38,672,138,1449
5270,47,1000,200,1829
5271,41,1083,225,1425
5272,44,758,150,1442
5273,41,1033,120,1562
5275,53,1170,200,1155
5276,54,1207,250,1227
5277,47,867,190,1253
5278,48,874,162,1179
5279,48,618,150,1175
5280,50,975,175,1095
5290,41,1083,220,1197
5291,43,1458,220,1861
5301,51,550,100,1134
5302,46,867,161,1368
5303,40,661,200,1687
5304,42,563,155,1237
5306,55,488,23,1062
5307,54,559,170,831
5308,45,589,123,924
5309,45,363,135,966
5310,42,657,0,1125
5311,49,650,155,1097
5320,57,832,180,789
5321,47,672,145,866
5322,50,975,180,1261
5330,49,1000,200,1032
5331,53,1213,150,1257
5332,52,867,190,1134
5333,45,1083,225,1243
5340,43,1083,200,1377
5341,44,1083,200,1193
5342,47,1148,230,1488
5343,43,1083,210,1075
5344,48,1083,205,1482
5345,47,1041,200,1100
5346,50,867,195,1277
5350,41,1733,300,2205
5351,43,1517,300,1786
5352,48,1500,300,1489
5353,47,1300,250,1307
5354,59,650,200,818
5355,44,1391,295,1384
5356,44,1171,252,1472
5357,57,867,170,890
5360,43,1452,315,1867
5371,38,1560,300,1985
5372,33,1400,330,1755
5373,49,1152,245,1202
5374,51,936,200,963
5381,53,542,200,739
5400,32,1473,275,1708
5401,45,1018,220,1166
5410,43,1207,233,1463
5411,45,1083,245,1388
5412,57,975,225,1012
5413,51,780,200,982
5414,51,1083,188,1152
5415,52,1475,295,1451
5416,49,835,200,1125
5417,52,875,183,919
5418,50,402,175,833
5419,45,763,130,916
5420,40,555,120,1625
5421,56,298,135,589
5422,54,585,155,731
5431,54,641,150,1053
5432,41,780,120,1187
5433,53,962,200,1031
5434,51,689,135,1220
5440,49,79,75,1024
5451,54,1207,235,1241
5452,43,1300,280,1437
5453,45,1330,250,1411
5454,43,704,150,1112
5455,38,1300,165,1437
5460,41,1083,220,1243
5461,45,1029,227,1145
5462,42,997,230,1269
5464,46,737,183,1309
5470,56,737,150,1050
5471,53,400,0,1312
5472,53,325,83,875
5473,51,650,160,935
5480,49,867,200,1034
5481,59,867,155,980
5482,55,988,180,1240
5483,48,1230,180,1416
5485,51,1083,200,1260
5490,44,520,130,1305
5491,48,975,210,1265
5493,56,888,200,833
5495,59,929,189,938
5501,40,1590,290,1708
5502,40,1213,295,1555
5510,50,867,175,1208
5520,52,630,150,862
5521,49,602,175,916
5522,62,1300,225,931
5523,49,970,189,1131
5540,44,960,185,1060
5550,42,867,223,1174
5552,41,729,193,1288
5554,45,1127,250,1169
5555,55,835,190,1025
5556,56,1213,250,916
5558,59,1200,250,969
5560,49,823,150,946
5570,60,796,200,790
5571,61,1083,230,916
5572,48,650,170,1437
5573,51,899,180,1088
5575,57,1050,200,1001
5576,55,964,200,932
5577,53,728,160,968
5580,54,859,200,1093
5581,65,1170,250,938
5582,61,1127,250,937
5583,62,997,205,794
5600,45,1300,200,1548
5601,66,1300,0,1125
5602,51,1005,200,1197
5603,47,898,178,1105
5604,56,1250,194,850
5605,56,1200,220,1067
5606,41,1300,240,1243
5607,44,1387,250,1504
5608,41,975,170,974
5609,33,1580,265,1970
5611,54,412,130,584
5630,42,650,150,1687
5631,41,1083,180,1587
5632,32,758,163,1978
5633,38,433,123,1125
5640,49,905,165,1141
5641,43,860,150,1273
5642,42,228,100,1051
5650,33,1517,350,1812
5651,52,1390,100,1125
5652,43,932,160,1389
5653,42,564,100,1749
5654,46,511,100,1166
5655,39,433,55,1125
5660,30,0,50,2124
5661,39,325,111,1149
5670,45,1083,200,1256
5671,44,823,100,774
5680,49,1264,240,1130
5690,39,1224,160,1357
5700,40,1083,200,1199
5701,44,0,200,899
5710,35,1306,250,1831
5713,36,0,12,1375
5715,43,0,0,1625
5717,47,0,75,1208
5719,33,0,330,2166
5720,40,0,100,1761
5722,57,867,150,703
5723,46,628,160,766
5724,35,1540,113,2083
5725,31,1517,260,3140
5730,43,330,98,1375
5731,39,1600,84,1541
5732,46,792,90,641
5733,48,3900,80,900
5734,39,0,75,706
5950,51,0,0,0
6000,33,1959,400,1964
6003,33,1733,380,1843
6004,35,1950,410,2005
6005,35,1772,400,1918
6006,38,2473,400,2323
6007,36,2167,420,2349
6008,40,2600,420,2234
6009,37,3521,450,2610
6010,43,3000,460,2417
6011,44,4000,550,3454
6012,42,3000,300,2132
6014,39,2732,312,2289
6015,47,4000,750,3700
6016,36,2266,343,2328
6017,34,1546,290,1475
6018,39,2200,400,2210
6019,37,2167,415,2188
6020,45,2500,425,2374
6021,40,2000,350,1796
6022,39,2000,380,1856
6023,42,2208,460,2394
6024,40,1950,400,1897
6025,40,2000,400,2108
6026,44,2100,440,2138
6027,40,2000,380,2016
6028,41,2167,420,2540
6029,43,3000,485,2779
6030,37,1800,352,1825
6031,32,1907,380,2116
6032,47,2000,241,1708
6033,44,2600,300,2307
6034,29,1950,350,2024
6035,35,1842,340,1699
6036,33,1937,350,1907
6037,39,1800,330,1526
6038,31,1950,360,2035
6041,51,1733,300,1311
6042,64,1250,280,959
6043,59,1217,250,1136
6044,54,1644,250,1086
6050,41,2383,350,2088
6051,36,1733,300,1623
6052,39,2167,340,2051
6053,39,2000,350,2037
6054,39,1733,320,1600
6055,33,2000,373,2159
6056,40,1705,300,1470
6057,39,1800,380,1816
6058,38,1733,350,1614
6059,43,2000,340,1684
6060,37,1842,323,1643
6061,34,1517,320,1374
6062,40,1780,351,1617
6063,36,1686,340,1632
6064,37,1517,300,1422
6065,36,2000,400,2133
6066,37,1703,350,1726
6067,33,0,150,849
6068,54,0,120,1375
6069,33,1950,365,2043
6070,44,2100,420,2388
6071,47,2000,400,2163
6072,46,2000,350,2169
6073,50,2000,343,1773
6074,46,2000,440,1845
6076,47,2139,360,1944
6077,55,2200,300,1448
6078,43,2817,375,2170
6079,66,1000,280,2062
6081,43,2000,400,2225
6082,41,2058,383,1941
6083,48,2167,340,2247
6084,40,2000,350,2076
6090,43,0,775,1749
6100,36,2000,350,1896
6101,35,2000,350,1974
6102,32,1733,320,1410
6103,34,1760,350,1723
6104,38,1754,350,1666
6105,35,1733,340,1558
6106,53,1000,265,575
6107,33,1733,350,1727
6108,38,1625,330,1571
6109,36,1517,300,1358
6110,36,1733,315,1618
6111,41,1625,295,1543
6112,33,1800,320,1853
6121,43,2500,375,2380
6122,31,1950,380,2104
6123,32,1950,370,1973
6124,43,1965,325,2057
6125,45,2200,350,2007
6126,51,1834,250,1458
6147,38,1525,320,1458
6148,42,2000,375,1904
6149,43,2167,430,2155
6150,43,2167,460,2112
6151,40,2388,375,2113
