POA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_rent_weekly,Median_tot_hhd_inc_weekly
2319,50,1517,365,1111
2320,37,1850,373,1807
2321,34,1950,427,1963
2322,34,1800,370,1811
2323,39,1733,350,1541
2324,47,1560,330,1254
2325,39,1530,320,1360
2326,38,1517,315,1373
2327,39,1430,320,1248
2328,42,1733,280,1473
2329,45,1224,240,1224
2330,37,1820,335,1952
2331,21,0,0,1625
2333,36,1517,300,1640
2334,33,1755,360,1929
2335,34,1963,415,2207
2336,42,1602,270,1505
2337,40,1668,290,1561
2338,52,1100,250,1006
2339,45,1500,190,1312
2340,38,1517,300,1468
2341,50,906,220,941
2342,43,1543,255,1487
2343,46,1138,240,1229
2344,47,1562,320,1712
2345,43,1300,290,1493
2346,48,1170,260,1083
2347,55,758,187,852
2350,36,1500,290,1459
2352,40,1400,320,1396
2353,50,1484,220,1354
2354,50,1083,200,1242
2355,53,1067,300,949
2356,54,698,23,860
2357,50,1000,206,1145
2358,47,1300,250,1213
2359,48,910,190,987
2360,42,1261,270,1212
2361,52,658,185,917
2365,45,1192,250,1146
2369,47,867,180,890
2370,48,1083,225,955
2371,57,867,163,765
2372,56,1159,250,933
2379,43,575,200,1474
2380,37,1517,300,1590
2381,42,968,250,1284
2382,43,1200,290,1477
2386,48,0,110,1328
2387,33,0,50,1781
2388,40,1040,200,1292
2390,40,1454,260,1604
2395,54,613,150,777
2396,50,672,157,1033
2397,45,680,165,1292
2398,42,618,200,1562
2399,42,867,190,1615
2400,38,1300,230,1592
2401,42,815,160,1406
2402,49,1000,228,972
2403,44,1008,200,1062
2404,57,1083,200,889
2405,43,600,173,1343
2406,41,884,170,1204
2408,40,0,140,1839
2409,36,867,160,1150
2410,49,600,150,1055
2411,38,269,200,2416
2415,50,1625,220,1366
2420,50,1600,300,1235
2421,42,2167,300,1867
2422,55,1300,275,1053
2423,55,1300,300,1040
2424,48,1133,235,1105
2425,47,1733,310,1366
2426,46,1387,300,1125
2427,64,1517,340,889
2428,58,1517,330,980
2429,51,1387,300,1126
2430,49,1500,305,1107
2431,58,1517,330,997
2439,54,1600,350,1242
2440,45,1300,295,1126
2441,50,1500,290,1123
2443,61,1517,330,913
2444,47,1800,385,1306
2445,52,1842,410,1330
2446,44,1733,350,1347
2447,50,1400,320,1048
2448,55,1495,297,931
2449,48,1083,250,965
2450,44,1733,370,1386
2452,45,1603,370,1260
2453,55,1220,280,965
2454,47,1517,370,1327
2455,55,1647,340,1071
2456,43,1798,395,1404
2460,45,1300,300,1165
2462,53,1200,280,944
2463,52,1517,340,1129
2464,56,1608,400,1141
2465,45,1300,330,1101
2466,62,1300,300,834
2469,54,1065,240,847
2470,44,1300,280,1145
2471,44,1517,300,1258
2472,45,1517,300,1218
2473,54,1601,320,1058
2474,51,1300,280,1003
2475,53,867,210,845
2476,53,1083,200,918
2477,47,1733,390,1451
2478,48,2000,430,1403
2479,43,2315,550,2048
2480,44,1517,310,1326
2481,40,2383,600,1792
2482,46,1950,460,1333
2483,44,1898,480,1442
2484,47,1733,350,1263
2485,52,1700,380,1096
2486,48,1891,420,1278
2487,46,2230,480,1542
2488,41,1860,450,1610
2489,43,2036,500,1430
2490,40,2167,350,1989
2500,34,2056,400,1621
2502,39,1755,330,1138
2505,42,1950,340,1308
2506,40,1733,290,1217
2508,39,2540,530,2548
2515,42,2600,550,2418
2516,40,2525,370,2331
2517,42,2167,400,1806
2518,41,2167,340,1434
2519,41,2240,400,1685
2525,40,2229,430,2042
2526,39,2167,370,2000
2527,35,2167,450,1884
2528,45,1842,350,1166
2529,40,2167,470,1878
2530,39,2000,410,1653
2533,48,2240,480,1805
2534,47,2167,500,1925
2535,57,2167,400,1384
2536,53,1550,350,1184
2537,55,1517,320,1222
2538,54,1733,380,1353
2539,53,1625,350,1141
2540,49,1733,360,1275
2541,40,1692,320,1235
2545,55,1300,300,1187
2546,59,1473,290,1019
2548,55,1625,343,1228
2549,51,1517,330,1307
2550,49,1421,300,1245
2551,53,1517,270,1015
2555,40,1300,505,1271
2556,42,2167,500,1833
2557,31,2600,530,2453
2558,36,1950,400,1878
2559,28,2500,222,1141
2560,35,2000,380,1609
2563,37,2167,500,1924
2564,36,1800,340,1378
2565,34,2470,420,2025
2566,35,2000,380,1772
2567,34,2379,470,2423
2568,54,2500,450,1476
2569,42,2368,446,2250
2570,33,2513,500,2281
2571,36,2400,415,2326
2572,39,2318,420,1756
2573,34,2167,410,1739
2574,40,2167,415,1841
2575,42,2167,430,1772
2576,56,2370,495,1677
2577,47,2004,400,1667
2578,59,1820,400,1289
2579,46,2000,380,1589
2580,42,1700,320,1470
2581,42,1885,300,2118
2582,42,2100,350,2175
2583,52,1300,270,1267
2584,45,1300,280,1433
2585,44,1047,200,1111
2586,50,1300,240,1232
2587,49,1027,220,1126
2588,54,1042,200,1416
2590,51,1128,220,1035
2594,42,1300,250,1186
2619,38,2405,490,3403
2620,37,2167,340,2181
2621,40,2383,500,2939
2622,50,1733,350,1428
2623,40,1309,300,1644
2624,31,0,252,1437
2625,37,2659,400,1666
2626,45,1902,350,2202
2627,35,1800,410,2124
2628,45,1336,280,1531
2629,58,1083,285,1008
2630,46,1300,290,1446
2631,50,934,260,1222
2632,47,1083,200,1307
2633,55,806,150,817
2640,39,1517,280,1570
2641,39,1300,250,1172
2642,41,1473,256,1786
2643,49,1300,290,1293
2644,49,1250,200,1301
2645,58,490,110,933
2646,51,1192,220,1165
2647,53,1509,270,1185
2648,51,910,200,1066
2649,38,1000,0,1375
2650,36,1517,300,1629
2651,25,1300,310,1788
2652,42,1257,225,1504
2653,46,1146,220,1304
2655,42,1300,245,1382
2656,49,867,194,1184
2658,49,997,200,1069
2659,45,953,230,1209
2660,44,1021,203,1190
2661,23,0,254,2386
2663,39,1250,260,1375
2665,48,700,150,1087
2666,47,1183,230,1231
2668,48,650,190,864
2669,43,520,100,1167
2671,42,1200,225,1432
2672,40,867,160,1116
2675,36,884,220,1506
2678,20,0,315,2750
2680,37,1500,300,1743
2681,40,1300,250,1685
2700,44,1083,209,1164
2701,42,1498,265,1444
2702,48,867,200,1175
2703,25,1083,200,1256
2705,38,1300,250,1429
2706,44,1083,200,1312
2707,43,867,180,1559
2710,47,1083,220,1211
2711,47,884,175,1269
2712,53,943,178,1020
2713,49,953,168,1085
2714,59,1300,250,1069
2715,46,936,200,1253
2716,50,842,175,1239
2717,45,1083,180,1095
2720,43,1387,250,1336
2721,45,433,140,959
2722,44,1213,220,1327
2725,53,1013,155,986
2726,43,964,185,1303
2727,38,997,125,1781
2729,47,1240,200,1345
2730,50,867,180,1049
2731,49,1625,311,1347
2732,56,1102,180,1058
2733,46,800,150,1187
2734,45,1628,275,2012
2735,45,867,220,1218
2736,40,1083,210,1431
2737,36,1083,250,1612
2738,37,1733,250,2064
2739,38,1300,203,1438
2745,35,2429,480,2498
2747,33,2200,400,1925
2748,47,2550,450,2279
2749,34,2167,410,2118
2750,37,2079,390,1654
2752,35,2383,410,2335
2753,39,2167,400,1848
2754,39,2372,410,1764
2756,36,2200,400,2055
2757,43,2500,460,1941
2758,43,2530,440,2386
2759,36,2167,440,2134
2760,34,2000,380,1575
2761,33,2167,430,2223
2762,31,2757,550,2716
2763,35,2383,450,2369
2765,33,2817,540,2572
2766,37,2167,420,1996
2767,36,2200,380,2004
2768,37,2600,580,2981
2769,35,3000,643,3285
2770,33,1800,320,1326
2773,45,2500,480,2472
2774,40,2214,420,2228
2775,53,1684,295,1188
2776,40,2077,420,2152
2777,44,2167,425,2014
2778,45,2000,420,1942
2779,41,1950,400,1794
2780,50,1733,380,1238
2782,50,2080,430,1528
2783,45,1849,387,1519
2784,45,1900,400,1765
2785,53,1733,380,1343
2786,51,1590,380,1225
2787,48,1517,280,1380
2790,47,1517,270,1184
2791,53,1549,195,1359
2792,49,1517,240,1481
2793,55,867,185,916
2794,46,1231,230,1115
2795,39,1733,320,1593
2797,47,1318,250,1488
2798,44,1993,320,2074
2799,40,1408,260,1426
2800,37,1733,330,1713
2803,54,1192,200,1187
2804,48,1206,220,1164
2805,47,1029,208,992
2806,50,1192,210,1245
2807,52,940,220,806
2808,57,867,200,1034
2809,53,582,200,1037
2810,52,1033,200,1048
2817,45,1083,148,1166
2818,41,1387,300,1469
2820,41,1083,230,1122
2821,39,1213,250,1318
2822,45,1300,200,1292
2823,43,1056,180,1306
2824,46,1050,200,1276
2825,41,1083,200,1451
2826,46,1520,165,1375
2827,46,1083,200,1133
2828,44,460,160,1107
2829,38,906,190,1279
2830,36,1582,310,1695
2831,41,1300,250,1528
2832,38,867,175,1359
2833,39,759,180,1042
2834,53,867,195,793
2835,36,1159,200,1811
2836,36,894,150,1071
2838,41,1300,170,780
2839,35,733,150,1017
2840,36,940,180,1536
2842,46,737,200,941
2843,47,1000,170,1162
2844,51,1083,200,1020
2845,39,1517,275,1424
2846,55,1062,230,787
2847,46,1272,250,1150
2848,54,871,220,703
2849,52,1394,270,1172
2850,40,1733,360,1671
2852,42,1517,300,1365
2864,44,1517,265,1375
2865,44,1300,210,1434
2866,42,1621,270,1397
2867,41,940,210,1257
2868,45,1000,195,1190
2869,49,975,195,1056
2870,39,1300,260,1405
2871,42,1257,230,1249
2873,52,813,120,962
2874,50,345,100,931
2875,50,780,160,1160
2876,40,1100,200,1353
2877,39,952,200,1282
2878,42,100,150,1395
2879,52,650,176,841
2880,44,867,220,1182
2898,46,1400,310,1699
3000,28,1733,370,1306
3002,42,2383,480,2345
3003,31,2106,388,1788
3004,37,2000,451,2090
3006,31,1900,411,1927
3008,32,2000,411,1957
3011,34,2000,369,1896
3012,35,2100,370,1987
3013,37,2500,462,2485
3015,38,2500,460,2556
3016,45,2600,450,2382
3018,42,2200,390,1861
3019,34,1859,312,1451
3020,37,1733,340,1428
3021,37,1500,325,1238
3022,37,1700,340,1452
3023,35,1869,381,1905
3024,31,1800,350,1995
3025,37,2167,400,1695
3026,32,1976,397,2242
3027,31,2167,420,2582
3028,38,1733,341,1634
3029,31,1900,371,1960
3030,34,2000,371,2057
3031,35,2119,361,1947
3032,36,2167,381,2057
3033,43,2167,406,1911
3034,45,2167,400,1587
3036,46,2167,400,2043
3037,36,1838,370,2047
3038,44,1800,381,1922
3039,38,2167,400,2111
3040,39,2383,385,2199
3041,40,2383,391,2191
3042,40,2113,410,1853
3043,41,1900,375,1505
3044,37,2167,401,2095
3045,37,1700,0,0
3046,35,2000,371,1727
3047,32,1449,330,1159
3048,34,1443,341,1225
3049,40,1820,360,1741
3051,31,2035,381,1717
3052,26,2000,396,1885
3053,27,1875,365,1291
3054,34,2600,541,2355
3055,34,2000,366,1797
3056,34,2156,441,2095
3057,33,2000,421,2088
3058,37,2167,421,2046
3059,35,2167,430,2262
3060,35,1876,376,1428
3061,38,1600,320,1110
3062,52,800,115,1187
3063,45,2167,356,2410
3064,31,1900,381,1822
3065,35,2500,451,2194
3066,33,2167,425,2130
3067,33,2167,424,2196
3068,36,2600,500,2406
3070,37,2400,475,2287
3071,37,2200,391,1971
3072,37,2000,392,1844
3073,38,1986,360,1541
3074,39,1690,350,1225
3075,37,1775,351,1348
3076,35,1733,361,1671
3078,38,2277,396,2166
3079,41,2500,431,2328
3081,35,2080,351,1597
3082,40,1748,366,1735
3083,37,1988,380,1632
3084,41,2383,411,2175
3085,39,2250,381,2069
3087,39,2037,390,1962
3088,41,2167,401,2076
3089,39,2167,430,2508
3090,44,2600,392,3190
3091,47,2600,450,2600
3093,45,2200,400,2160
3094,41,2167,420,2076
3095,43,2288,450,2506
3096,42,2167,420,2425
3097,44,3000,365,2706
3099,43,2025,391,2162
3101,41,3000,476,2497
3102,41,3000,471,2490
3103,43,3000,460,2014
3104,42,3078,554,2346
3105,45,2400,459,1813
3106,46,2700,513,2163
3107,45,2500,476,1919
3108,41,2167,450,1593
3109,41,2400,462,1792
3111,45,2500,450,2100
3113,44,2300,500,2751
3114,45,3000,601,3155
3115,45,2300,491,2790
3116,38,2167,443,2084
3121,34,2298,450,2283
3122,34,2259,400,2145
3123,36,2500,415,2253
3124,43,3000,486,2457
3125,34,2500,411,1684
3126,46,3500,515,2875
3127,42,2817,461,2448
3128,34,2088,391,1441
3129,39,2492,438,1920
3130,41,2300,415,1987
3131,40,2167,395,1806
3132,39,2167,406,2030
3133,43,2383,460,1995
3134,39,2100,386,1949
3135,39,2100,386,1964
3136,40,2000,391,1806
3137,39,1966,395,1758
3138,37,2000,400,1994
3139,39,1820,355,1887
3140,40,1950,369,1764
3141,33,2100,415,2063
3142,47,3152,486,2533
3143,38,2458,421,2196
3144,44,3200,451,2654
3145,38,2801,416,2339
3146,40,2830,450,2491
3147,40,2751,410,2273
3148,35,2250,421,1991
3149,40,2600,476,2066
3150,43,2500,480,1882
3151,41,2147,439,1610
3152,42,2167,431,1901
3153,38,1824,370,1631
